crew_id,department,gang_designation,home_depot,assigned_section_id,latitude,longitude,shift_start,shift_end,headcount,skill_certification,is_available,safety_certification_valid,corridor_id,source_type,source
RB-CREW-000001,TRACTION,Substation & Switching Post Maintenance Team,Tambaram,SEC_064,9.896398,78.084431,12:00:00,20:00:00,7,LINEMAN_P-WAY,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000002,SIGNAL,Signal & Interlocking Maintenance Gang,Chennai Egmore,SEC_009,12.944203,80.13568,00:00:00,14:00:00,13,SENIOR_TECHNICIAN,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000003,SIGNAL,Axle Counter & Point Machine Team,Thoothukudi,SEC_029,12.037594,79.537803,12:00:00,20:00:00,14,CERTIFIED_WELD_FITTER,False,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000004,TRACTION,Substation & Switching Post Maintenance Team,Madurai,SEC_027,12.145938,79.589688,00:00:00,08:00:00,16,CERTIFIED_WELD_FITTER,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000005,SIGNAL,Axle Counter & Point Machine Team,Tiruchirappalli,SEC_014,12.865017,80.070497,00:00:00,20:00:00,22,LINEMAN_P-WAY,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000006,ENGINEERING,Track Maintenance Gang (SSE/P-Way),Thoothukudi,SEC_031,11.917808,79.475089,18:00:00,20:00:00,9,CERTIFIED_WELD_FITTER,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000007,ENGINEERING,Track Maintenance Gang (SSE/P-Way),Viluppuram,SEC_041,11.153295,79.070753,12:00:00,14:00:00,16,SENIOR_TECHNICIAN,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000008,SIGNAL,Signal & Interlocking Maintenance Gang,Viluppuram,SEC_033,11.713476,79.361303,00:00:00,14:00:00,6,SENIOR_TECHNICIAN,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000009,SIGNAL,Signal & Interlocking Maintenance Gang,Madurai,SEC_010,12.929113,80.121721,06:00:00,20:00:00,6,LINEMAN_P-WAY,False,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000010,SIGNAL,Signal & Interlocking Maintenance Gang,Chennai Egmore,SEC_016,12.769278,80.005138,00:00:00,14:00:00,15,GRADE_A_LEAD,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000011,SIGNAL,Axle Counter & Point Machine Team,Tambaram,SEC_049,10.869158,78.743816,06:00:00,08:00:00,6,CERTIFIED_WELD_FITTER,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000012,SIGNAL,Signal & Interlocking Maintenance Gang,Tambaram,SEC_028,12.051146,79.543638,06:00:00,02:00:00,21,GRADE_A_LEAD,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
RB-CREW-000013,TRACTION,Substation & Switching Post Maintenance Team,Tambaram,SEC_002,13.030942,80.224099,06:00:00,20:00:00,20,CERTIFIED_WELD_FITTER,True,True,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Workforce Management Model / CAG Gang Audit
