station_code,ogd_name,osm_name,osm_id,match_method,match_confidence,match_status,lat,lon,wikidata
STR,Satara,Tondiarpet,node/8430632416,exact_code,HIGH,MATCHED,13.1245276,80.2888557,
SSA,Sirsa,சைதாப்பேட்டை,node/6285857244,exact_code,HIGH,MATCHED,13.0239952,80.2281244,Q55632346
SNP,Sonipat,Nehru Park,node/5329907490,exact_code,HIGH,MATCHED,13.0787841,80.250473,Q30638924
SEG,Shegaon,Egmore,node/5329907499,exact_code,HIGH,MATCHED,13.0802807,80.2630546,Q30638926
SA,Salem Jn.,Salem Junction,node/2671295576,exact_code,HIGH,MATCHED,11.6707553,78.1135427,Q4520604
JTJ,Jolarpettai,Jolarpettai Junction,node/5311732452,exact_code,HIGH,MATCHED,12.5639905,78.5783902,Q15229704
AJJ,Arakkonam Jn,Arakkonam Junction,node/5273664184,exact_code,HIGH,MATCHED,13.0823386,79.6685253,Q15185945
MAS,Chennai Cent,Puratchi Thalaivar Dr. M. G. Ramachandran Central,node/2481969291,exact_code,HIGH,MATCHED,13.0824232,80.2759622,Q257382
SOT,Shohratgarh,Nanganallur Road,node/6285857237,exact_code,HIGH,MATCHED,12.9998798,80.1940099,Q19894462
SWA,Sahjanwa,Washermanpet,node/5337658099,exact_code,HIGH,MATCHED,13.1078469,80.280949,Q48732079
SHC,Saharsa Jn.,High Court,node/5337658083,exact_code,HIGH,MATCHED,13.0872681,80.2849845,Q62005403
MS,Chennai Egmo,Chennai Egmore,node/5275790188,exact_code,HIGH,MATCHED,13.0777493,80.2612572,Q3536643
TBM,Tambaram,Tambaram,node/5286945822,exact_code,HIGH,MATCHED,12.9257923,80.1179194,Q7681017
CGL,Chengalpattu,Chengalpatttu Junction,node/5273662388,exact_code,HIGH,MATCHED,12.6934653,79.9805157,Q15209396
VM,Villupuram J,Viluppuram Junction,node/5301034189,exact_code,HIGH,MATCHED,11.941697,79.4991491,Q16902720
VRI,Vridha Chala,Vriddhachalam Junction,node/5302069335,exact_code,HIGH,MATCHED,11.5333359,79.3165229,Q15616178
TPJ,Tiruchirappa,Tiruchchirappalli Junction,node/2669085028,exact_code,HIGH,MATCHED,10.7942683,78.6852944,Q7809309
MDU,Madurai Jn,Madurai Junction,way/757974347,exact_code,HIGH,MATCHED,9.9195505,78.1102197,Q6728812
MBM,Mambalam,Mambalam,node/2481259006,exact_code,HIGH,MATCHED,13.0380662,80.2277752,Q6745495
PER,Perambur,Perambur,node/5276205560,exact_code,HIGH,MATCHED,13.107719,80.2444143,Q7166920
PDY,Pondicherry,Puducherry,node/5301762168,exact_code,HIGH,MATCHED,11.92503,79.8281565,Q16898659
MLMR,Melmaruvathu,Melmaruvattur,node/3383990519,exact_code,HIGH,MATCHED,12.4286748,79.8328664,Q63355692
TDPR,Tiruppadirip,Tiruppadirippuliyur,node/5300620020,exact_code,HIGH,MATCHED,11.748206,79.7540567,Q24938021
CUPJ,Cuddalore Po,Cuddalore Port Junction,node/5300621421,exact_code,HIGH,MATCHED,11.7159501,79.7670526,Q17065711
MV,Mayiladutura,Mayiladuthurai Junction,node/5300704886,exact_code,HIGH,MATCHED,11.0954989,79.6288292,Q15252284
KMU,Kumbakonam,Kumbakonam,node/5300783994,exact_code,HIGH,MATCHED,10.954175,79.3900701,Q12420127
TJ,Thanjavur Jn,Thanjavur Junction,node/5300821213,exact_code,HIGH,MATCHED,10.7781963,79.1396716,Q16901472
MPA,Manaparai,Manaparai,node/5315603266,exact_code,HIGH,MATCHED,10.6073393,78.4181106,Q63356096
KRR,Karur Jn.,Karur Junction,node/367556637,exact_code,HIGH,MATCHED,10.9658076,78.0849562,Q18126624
MKM,Marikuppam,Marikuppam,node/4133754822,exact_code,HIGH,MATCHED,12.9187951,78.263739,Q63357529
CHU,Champion,Champion,node/6068892361,exact_code,HIGH,MATCHED,12.9363711,78.2629408,Q63357986
OGM,Oorgaum,Oorgaum,node/1844248845,exact_code,HIGH,MATCHED,12.9542839,78.2599832,Q63355421
COL,Coromandel,Coromandel,node/1722769520,exact_code,HIGH,MATCHED,12.9756551,78.2578048,Q87923613
BWT,Bangarpet Jn,Bangarpet Junction,node/5760183667,exact_code,HIGH,MATCHED,12.9854946,78.178224,Q17049573
TCL,Tyakal,Tyakal,node/5760183640,exact_code,HIGH,MATCHED,12.9845826,78.0711128,Q63369886
BFW,Byatrayanhal,Byatrayanahalli,node/6065388673,exact_code,HIGH,MATCHED,12.9955268,78.0174938,Q63369884
TPT,Tirupattur,Tirupattur,node/5353573546,exact_code,HIGH,MATCHED,12.4983561,78.5618167,Q24943571
KPN,Kuppam,Kuppam,node/248543645,exact_code,HIGH,MATCHED,12.74728,78.3403626,Q63369901
KIK,Karaikal,Karaikal,node/4947078339,exact_code,HIGH,MATCHED,10.9170705,79.8389621,Q16893133
NCR,Nagore,Nagore,node/5303104783,exact_code,HIGH,MATCHED,10.8189873,79.8460145,Q63356767
SAP,Sattenapalle,Chennai International Airport,node/6285857241,exact_code,HIGH,MATCHED,12.9808092,80.1642026,Q5091440
VLNK,Velankanni,Velankanni,node/3850728157,exact_code,HIGH,MATCHED,10.6868771,79.8461807,Q13119476
NGT,Nagappattina,Nagappattinam Junction,node/5303104780,exact_code,HIGH,MATCHED,10.7598214,79.8456137,Q24943209
TVR,Thiruvarur J,Thiruvarur Junction,node/3829101957,exact_code,HIGH,MATCHED,10.7650016,79.6336962,Q16901577
SY,Sirkazhi,Sirkazhi,node/5300686653,exact_code,HIGH,MATCHED,11.2430382,79.7283976,Q18359109
CDM,Chidambaram,Chidambaram,node/5300686639,exact_code,HIGH,MATCHED,11.3920706,79.703025,Q18111143
CJ,Kanchipuram,Kanchipuram,node/256777901,exact_code,HIGH,MATCHED,12.8483107,79.705073,Q15233410
TRT,Tiruttani,Tiruttani,node/5286998287,exact_code,HIGH,MATCHED,13.1792949,79.6121808,Q63369567
VN,Vaniyambadi,Vaniyambadi,node/5311732450,exact_code,HIGH,MATCHED,12.679344,78.6227478,Q63355617
SKP,Shankarpalli,Kaladipet,node/8430636715,exact_code,HIGH,MATCHED,13.1506672,80.2993928,
SLI,Sangli,எல் ஐ சி,node/5337407350,exact_code,HIGH,MATCHED,13.0643716,80.2658465,Q62005418
VLR,Vellore Cant,Vellore Cantonment,node/5301740207,exact_code,HIGH,MATCHED,12.910651,79.1278469,Q7919208
ARV,Arni Road,Arni Road,node/5301740197,exact_code,HIGH,MATCHED,12.6320942,79.2092743,Q63355739
PRL,Polur,Polur,node/5301740166,exact_code,HIGH,MATCHED,12.5103441,79.1301703,Q63357564
TNM,Tiruvannamal,Tiruvannamalai,node/5301337997,exact_code,HIGH,MATCHED,12.2384579,79.0778617,Q16867977
TRK,Tirukkovilur,Tirukkovilur,node/5301337891,exact_code,HIGH,MATCHED,11.9757138,79.223494,Q63369197
DPJ,Dharmapuri,Dharmapuri,node/358800211,exact_code,HIGH,MATCHED,12.1258613,78.154221,Q15213879
OML,Omalur,Omalur Junction,node/367666445,exact_code,HIGH,MATCHED,11.7382934,78.0449299,Q18128961
TRL,Tiruvallur,Tiruvallur,node/5310778041,exact_code,HIGH,MATCHED,13.1161924,79.9121601,Q7809454
TMV,Tindivanam,Tindivanam,node/5306585646,exact_code,HIGH,MATCHED,12.2291607,79.6515314,Q18394505
CHSM,Chinnasalem,Chinna Salem,node/1072726279,exact_code,HIGH,MATCHED,11.6314243,78.8743248,Q31292125
ATU,Attur,Attur,node/5349010077,exact_code,HIGH,MATCHED,11.595226,78.5935039,Q63371891
ETP,Ettapur Road,Ettapur Road,node/5349010103,exact_code,HIGH,MATCHED,11.6509608,78.4683602,Q63371894
APN,Ayodhyapatti,Ayodhyapattanam,node/5349010118,exact_code,HIGH,MATCHED,11.6715816,78.2342048,Q63371900
SXT,Salem Town,Salem Town,node/5349010252,exact_code,HIGH,MATCHED,11.6600537,78.1619935,Q21406838
PML,Papanasam,Papanasam,node/5300821196,exact_code,HIGH,MATCHED,10.9232734,79.2689297,Q63356875
WJR,Walajah Road,Walaja Road Junction,node/4740275882,exact_code,HIGH,MATCHED,12.9709314,79.3601973,Q63355884
SCC,Sitapur Cant,Central Metro,node/6285857253,exact_code,HIGH,MATCHED,13.0817254,80.273916,Q5091428
SVA,Suwasra,Vadapalani,node/5319972798,exact_code,HIGH,MATCHED,13.0509367,80.212065,Q17075798
SKM,Singarayakon,Kilpauk,node/5329907487,exact_code,HIGH,MATCHED,13.0776371,80.2426191,Q30638925
ALU,Ariyalur,Ariyalur,node/5303839984,exact_code,HIGH,MATCHED,11.1489062,79.0686377,Q18109776
LLI,Lalgudi,Lalgudi,node/5303840006,exact_code,HIGH,MATCHED,10.8754197,78.8153244,Q39050066
SRGM,Srirangam,Srirangam,node/5303840008,exact_code,HIGH,MATCHED,10.8577026,78.6959617,Q63356181
GOC,Ponmalai (Go,Ponmalai (Golden Rock),node/5300868168,exact_code,HIGH,MATCHED,10.7915686,78.7104342,Q16898675
PDKT,Pudukkottai,Pudukkotai,node/5304625848,exact_code,HIGH,MATCHED,10.3721881,78.8019821,Q17073332
KKDI,Karaikkudi,Karaikkudi Junction,node/1435161822,exact_code,HIGH,MATCHED,10.0696672,78.793967,Q17064041
AB,Ambur,Ambur,node/5300488135,exact_code,HIGH,MATCHED,12.784066,78.7217855,Q16868946
SHU,Sholingur,Sholinghur,node/5310778046,exact_code,HIGH,MATCHED,13.0141131,79.4867622,Q63355447
MCN,Mukundarayap,Mukundarayapuram,node/3480915452,exact_code,HIGH,MATCHED,12.9782491,79.2892009,Q63355886
GYM,Gudiattam,Gudiyattam,node/5310778049,exact_code,HIGH,MATCHED,12.9372959,78.9143466,Q31295667
AVD,Avadi,Avadi,node/3678939665,exact_code,HIGH,MATCHED,13.1182744,80.1015427,Q4827409
KKPM,Kallakkudi-P,Kallakkudi Palanganatham,node/5303839987,exact_code,HIGH,MATCHED,10.9664852,78.9497032,Q63356189
