section_id,from_station,to_station,start_km,end_km,section_length_km,line_type,num_lines,max_speed_kmph,passenger_trains_daily,freight_rakes_daily,total_trains_daily,average_headway_minutes,capacity_utilization_percent,corridor_id,source_type,source
SEC_001,MS,MBM,0.0,6.229,6.23,HDN,2,130,53,16,69,20.9,115.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_002,MBM,GDY,6.229,10.022,3.79,HDN,2,130,58,12,70,20.6,116.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_003,GDY,STM,10.022,12.22,2.2,HDN,2,130,50,10,60,24.0,100.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_004,STM,PZA,12.22,14.803,2.58,HDN,2,130,56,14,70,20.6,116.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_005,PZA,MN,14.803,16.348,1.54,HDN,2,130,60,12,72,20.0,120.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_006,MN,TLM,16.348,17.464,1.12,HDN,2,130,52,10,62,23.2,103.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_007,TLM,PV,17.464,19.536,2.07,HDN,2,130,26,14,40,36.0,66.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_008,PV,CMP,19.536,21.616,2.08,HDN,2,130,40,10,50,28.8,83.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_009,CMP,TBMS,21.616,23.657,2.04,HDN,2,130,35,12,47,30.6,78.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_010,TBMS,TBM,23.657,25.616,1.96,HDN,2,130,38,10,48,30.0,80.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_011,TBM,PRGL,25.616,29.014,3.4,HDN,2,130,57,16,73,19.7,121.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_012,PRGL,VDR,29.014,30.888,1.87,HDN,2,130,53,16,69,20.9,115.0,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_013,VDR,UPM,30.888,33.94,3.05,HDN,2,130,42,8,50,28.8,83.3,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
SEC_014,UPM,GI,33.94,36.855,2.91,HDN,2,130,45,10,55,26.2,91.7,CHENNAI_THOOTHUKUDI,DERIVED,RailBlock Corridor Traffic Integration Engine
