section_id,temperature_c,rainfall_mm,wind_speed_kmh,timestamp
SEC_001,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_002,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_003,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_004,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_005,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_006,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_007,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_008,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_009,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_010,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_011,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_012,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_013,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_014,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_015,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_016,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_017,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_018,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_019,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_020,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_021,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_022,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_023,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_024,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_025,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_026,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_027,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_028,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_029,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_030,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_031,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_032,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_033,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_034,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_035,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_036,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_037,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_038,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_039,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_040,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_041,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_042,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_043,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_044,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_045,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_046,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_047,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_048,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_049,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_050,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_051,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_052,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_053,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_054,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_055,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_056,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_057,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_058,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_059,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_060,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_061,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_062,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_063,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_064,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_065,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_066,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_067,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
SEC_068,31.5,2.0,14.5,2026-09-06T15:04:17.151765+00:00
