block_id,plan_run_id,plan_version,horizon,week_number,month_week,generated_at,plan_date,section_id,start_time,end_time,duration_minutes,task_ids,departments,priority,optimization_score,utilization,overdue_days_projected,deferred_count_projected,seasonal_risk_score_projected,maintenance_type,resources,crew,train_impact,status,xai_reason,source,source_record_id,dataset_name,optimizer_status
RB-M-W01-SEC_001-01,MONTHLY-4W-b177228284,1,MONTHLY,1,1,2026-09-18T20:56:27.162939,2026-09-01,SEC_001,2026-09-01 10:00:00,2026-09-01 13:00:00,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,144,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_001,LOW,PROPOSED,"Monthly Week 1 block on SEC_001. Projected overdue=144d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W01-SEC_002-02,MONTHLY-4W-b177228284,1,MONTHLY,1,1,2026-09-18T20:56:27.162939,2026-09-02,SEC_002,2026-09-02 12:00:00,2026-09-02 14:30:00,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,37,4,25.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_002,LOW,PROPOSED,"Monthly Week 1 block on SEC_002. Projected overdue=37d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W01-SEC_003-03,MONTHLY-4W-b177228284,2,MONTHLY,1,1,2026-09-18T20:56:27.162939,2026-09-03,SEC_003,2026-09-03 14:00:00,2026-09-03 17:00:00,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,287,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_003,LOW,REJECTED,"Monthly Week 1 block on SEC_003. Projected overdue=287d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W02-SEC_003-01,MONTHLY-4W-b177228284,1,MONTHLY,2,2,2026-09-18T20:56:27.162939,2026-09-08,SEC_003,2026-09-08 10:00:00,2026-09-08 13:00:00,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,151,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_003,LOW,PROPOSED,"Monthly Week 2 block on SEC_003. Projected overdue=151d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W02-SEC_004-02,MONTHLY-4W-b177228284,1,MONTHLY,2,2,2026-09-18T20:56:27.162939,2026-09-09,SEC_004,2026-09-09 12:00:00,2026-09-09 14:30:00,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,44,4,25.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_004,LOW,PROPOSED,"Monthly Week 2 block on SEC_004. Projected overdue=44d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W02-SEC_005-03,MONTHLY-4W-b177228284,2,MONTHLY,2,2,2026-09-18T20:56:27.162939,2026-09-10,SEC_005,2026-09-10 14:00:00,2026-09-10 17:00:00,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,294,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_005,LOW,REJECTED,"Monthly Week 2 block on SEC_005. Projected overdue=294d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W03-SEC_005-01,MONTHLY-4W-b177228284,1,MONTHLY,3,3,2026-09-18T20:56:27.162939,2026-09-15,SEC_005,2026-09-15 10:00:00,2026-09-15 13:00:00,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,158,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_005,LOW,PROPOSED,"Monthly Week 3 block on SEC_005. Projected overdue=158d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W03-SEC_006-02,MONTHLY-4W-b177228284,1,MONTHLY,3,3,2026-09-18T20:56:27.162939,2026-09-16,SEC_006,2026-09-16 12:00:00,2026-09-16 14:30:00,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,51,4,25.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_006,LOW,PROPOSED,"Monthly Week 3 block on SEC_006. Projected overdue=51d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W03-SEC_007-03,MONTHLY-4W-b177228284,2,MONTHLY,3,3,2026-09-18T20:56:27.162939,2026-09-17,SEC_007,2026-09-17 14:00:00,2026-09-17 17:00:00,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,301,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_007,LOW,REJECTED,"Monthly Week 3 block on SEC_007. Projected overdue=301d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-M-W04-SEC_007-01,MONTHLY-4W-b177228284,1,MONTHLY,4,4,2026-09-18T20:56:27.162939,2026-09-22,SEC_007,2026-09-22 10:00:00,2026-09-22 13:00:00,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,165,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_007,LOW,PROPOSED,"Monthly Week 4 block on SEC_007. Projected overdue=165d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
