section_id,train_count,passenger_train_count,freight_train_count,freight_demand,traffic_density,average_delay,max_delay,peak_hour_flag,traffic_pressure_score
SEC_001,1028.0,732.0,296.0,5107.0,0.943,9.1,167.7,1,97.15
SEC_002,1070.0,817.0,253.0,5571.0,0.982,9.1,167.7,1,99.1
SEC_003,1034.0,800.0,234.0,5289.0,0.949,9.1,167.7,1,97.45
SEC_004,979.0,729.0,250.0,4868.0,0.898,9.1,167.7,1,94.9
SEC_005,971.0,720.0,251.0,4799.0,0.891,9.1,167.7,1,94.55
SEC_006,1050.0,791.0,259.0,5277.0,0.963,9.1,167.7,1,98.15
SEC_007,1028.0,737.0,291.0,5246.0,0.943,9.1,167.7,1,97.15
SEC_008,1060.0,797.0,263.0,5408.0,0.972,9.1,167.7,1,98.6
SEC_009,1011.0,710.0,301.0,5231.0,0.928,9.1,167.7,1,96.4
SEC_010,1006.0,775.0,231.0,5282.0,0.923,9.1,167.7,1,96.15
SEC_011,1035.0,802.0,233.0,5338.0,0.95,9.1,167.7,1,97.5
SEC_012,1053.0,812.0,241.0,5094.0,0.966,9.1,167.7,1,98.3
SEC_013,999.0,757.0,242.0,5017.0,0.917,9.1,167.7,1,95.85
SEC_014,1042.0,796.0,246.0,4918.0,0.956,9.1,167.7,1,97.8
SEC_015,1033.0,784.0,249.0,5186.0,0.948,9.1,167.7,1,97.4
SEC_016,1012.0,759.0,253.0,5287.0,0.928,9.1,167.7,1,96.4
SEC_017,1034.0,760.0,274.0,5582.0,0.949,9.1,167.7,1,97.45
SEC_018,1021.0,756.0,265.0,4959.0,0.937,9.1,167.7,1,96.85
SEC_019,936.0,692.0,244.0,4775.0,0.859,9.1,167.7,1,92.95
SEC_020,1025.0,793.0,232.0,5383.0,0.94,9.1,167.7,1,97.0
SEC_021,1020.0,775.0,245.0,5395.0,0.936,9.1,167.7,1,96.8
SEC_022,1025.0,760.0,265.0,5352.0,0.94,9.1,167.7,1,97.0
SEC_023,987.0,728.0,259.0,5011.0,0.906,9.1,167.7,1,95.3
SEC_024,1005.0,764.0,241.0,4824.0,0.922,9.1,167.7,1,96.1
SEC_025,1065.0,801.0,264.0,5339.0,0.977,9.1,167.7,1,98.85
