task_id,department,section_id,severity_num,priority_rank,estimated_duration_hours,deferred_count,days_until_target,total_trains_daily,capacity_utilization_percent,festival_traffic_multiplier
TMS_TASK_000001,ENGINEERING,SEC_052,4,4,2.7,0,7,52,86.7,1.0
TMS_TASK_000002,ENGINEERING,SEC_015,4,4,2.9,0,7,50,83.3,1.0
TMS_TASK_000003,ENGINEERING,SEC_061,2,2,3.5,4,7,37,61.7,1.0
TMS_TASK_000004,ENGINEERING,SEC_021,4,4,4.1,0,7,36,60.0,1.0
TMS_TASK_000005,ENGINEERING,SEC_024,4,4,3.6,0,7,68,113.3,1.0
TMS_TASK_000006,ENGINEERING,SEC_003,4,4,2.6,0,7,60,100.0,1.0
TMS_TASK_000007,ENGINEERING,SEC_022,3,3,4.6,0,7,54,90.0,1.5
TMS_TASK_000008,ENGINEERING,SEC_053,2,2,3.4,1,7,57,95.0,1.0
TMS_TASK_000009,ENGINEERING,SEC_002,3,3,2.1,0,7,70,116.7,1.0
TMS_TASK_000010,ENGINEERING,SEC_030,2,2,2.0,2,7,56,93.3,1.0
TMS_TASK_000011,ENGINEERING,SEC_038,2,2,3.8,0,7,48,80.0,1.0
TMS_TASK_000012,ENGINEERING,SEC_002,4,4,3.8,0,7,70,116.7,1.0
TMS_TASK_000013,ENGINEERING,SEC_064,2,2,3.3,3,7,56,93.3,1.0
TMS_TASK_000014,ENGINEERING,SEC_060,4,4,2.3,0,7,47,78.3,1.0
TMS_TASK_000015,ENGINEERING,SEC_021,3,3,2.4,0,7,36,60.0,1.0
TMS_TASK_000016,ENGINEERING,SEC_033,2,2,3.2,0,7,70,116.7,1.0
TMS_TASK_000017,ENGINEERING,SEC_058,3,3,4.4,0,7,72,120.0,1.0
TMS_TASK_000018,ENGINEERING,SEC_022,4,4,2.0,0,7,54,90.0,1.0
TMS_TASK_000019,ENGINEERING,SEC_049,3,3,2.8,0,7,71,118.3,1.0
TMS_TASK_000020,ENGINEERING,SEC_059,3,3,2.0,0,7,51,85.0,1.0
TMS_TASK_000021,ENGINEERING,SEC_042,3,3,4.8,1,7,60,100.0,1.0
TMS_TASK_000022,ENGINEERING,SEC_060,4,4,4.2,0,7,47,78.3,1.0
TMS_TASK_000023,ENGINEERING,SEC_015,4,4,4.0,0,7,50,83.3,1.0
TMS_TASK_000024,ENGINEERING,SEC_062,2,2,2.5,4,7,64,106.7,1.0
TMS_TASK_000025,ENGINEERING,SEC_062,4,4,2.1,0,7,64,106.7,1.0
TMS_TASK_000026,ENGINEERING,SEC_047,2,2,3.6,0,7,55,91.7,1.0
TMS_TASK_000027,ENGINEERING,SEC_062,3,3,2.4,0,7,64,106.7,1.8
TMS_TASK_000028,ENGINEERING,SEC_051,3,3,4.6,1,7,47,78.3,1.0
TMS_TASK_000029,ENGINEERING,SEC_055,3,3,3.5,0,7,69,115.0,1.0
TMS_TASK_000030,ENGINEERING,SEC_064,2,2,2.1,3,7,56,93.3,1.0
TMS_TASK_000031,ENGINEERING,SEC_003,2,2,3.8,0,7,60,100.0,1.0
TMS_TASK_000032,ENGINEERING,SEC_051,2,2,3.4,0,7,47,78.3,1.0
TMS_TASK_000033,ENGINEERING,SEC_007,2,2,4.1,0,7,40,66.7,1.0
TMS_TASK_000034,ENGINEERING,SEC_021,4,4,2.5,0,7,36,60.0,1.0
TMS_TASK_000035,ENGINEERING,SEC_039,4,4,2.3,0,7,60,100.0,1.0
TMS_TASK_000036,ENGINEERING,SEC_018,2,2,3.6,0,7,44,73.3,1.0
TMS_TASK_000037,ENGINEERING,SEC_004,4,4,1.8,0,7,70,116.7,1.0
TMS_TASK_000038,ENGINEERING,SEC_060,4,4,4.0,1,7,47,78.3,1.0
TMS_TASK_000039,ENGINEERING,SEC_014,3,3,4.8,0,7,55,91.7,1.3
TMS_TASK_000040,ENGINEERING,SEC_009,3,3,2.9,2,7,47,78.3,1.0
TMS_TASK_000041,ENGINEERING,SEC_053,2,2,3.6,0,7,57,95.0,1.0
TMS_TASK_000042,ENGINEERING,SEC_002,2,2,3.3,1,7,70,116.7,1.0
TMS_TASK_000043,ENGINEERING,SEC_060,4,4,4.2,0,7,47,78.3,1.0
TMS_TASK_000044,ENGINEERING,SEC_044,3,3,3.4,3,7,45,75.0,1.0
TMS_TASK_000045,ENGINEERING,SEC_008,3,3,3.2,0,7,50,83.3,1.0
