station_code,station_name,osm_name,lat,lon,wikidata,match_status,match_method,match_confidence,source_ogd,source_osm
STR,Satara,Tondiarpet,13.1245276,80.2888557,,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SSA,Sirsa,சைதாப்பேட்டை,13.0239952,80.2281244,Q55632346,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SNP,Sonipat,Nehru Park,13.0787841,80.250473,Q30638924,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SEG,Shegaon,Egmore,13.0802807,80.2630546,Q30638926,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SA,Salem Jn.,Salem Junction,11.6707553,78.1135427,Q4520604,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
JTJ,Jolarpettai,Jolarpettai Junction,12.5639905,78.5783902,Q15229704,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
AJJ,Arakkonam Jn,Arakkonam Junction,13.0823386,79.6685253,Q15185945,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MAS,Chennai Cent,Puratchi Thalaivar Dr. M. G. Ramachandran Central,13.0824232,80.2759622,Q257382,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SOT,Shohratgarh,Nanganallur Road,12.9998798,80.1940099,Q19894462,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SWA,Sahjanwa,Washermanpet,13.1078469,80.280949,Q48732079,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SHC,Saharsa Jn.,High Court,13.0872681,80.2849845,Q62005403,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
MS,Chennai Egmo,Chennai Egmore,13.0777493,80.2612572,Q3536643,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TBM,Tambaram,Tambaram,12.9257923,80.1179194,Q7681017,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
