task_id,section_id,required_resource_type,nearest_machine,machine_distance_km,machine_available,crew_available,resource_feasible,utilization_rate
SMMS_TASK_000001,SEC_004,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000002,SEC_038,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000003,SEC_031,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000004,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000005,SEC_019,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000006,SEC_042,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000007,SEC_004,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000008,SEC_034,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000009,SEC_010,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000010,SEC_004,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000011,SEC_024,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000012,SEC_048,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000013,SEC_036,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000014,SEC_037,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000015,SEC_034,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000016,SEC_038,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000017,SEC_023,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000018,SEC_006,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000019,SEC_041,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000020,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000021,SEC_023,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000022,SEC_017,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000023,SEC_009,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000024,SEC_046,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000025,SEC_038,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000026,SEC_030,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000027,SEC_018,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000028,SEC_040,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000029,SEC_025,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000030,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000031,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000032,SEC_010,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000033,SEC_004,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000034,SEC_025,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000035,SEC_044,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000036,SEC_003,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000037,SEC_042,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000038,SEC_040,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000039,SEC_013,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000040,SEC_029,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000041,SEC_008,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000042,SEC_037,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000043,SEC_034,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000044,SEC_016,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000045,SEC_003,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000046,SEC_048,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000047,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000048,SEC_044,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000049,SEC_033,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000050,SEC_038,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000051,SEC_037,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000052,SEC_009,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000053,SEC_016,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000054,SEC_021,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000055,SEC_022,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000056,SEC_002,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000057,SEC_025,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000058,SEC_007,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000059,SEC_036,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000060,SEC_033,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000061,SEC_046,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000062,SEC_036,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000063,SEC_017,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000064,SEC_048,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000065,SEC_018,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000066,SEC_015,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000067,SEC_044,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000068,SEC_017,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000069,SEC_003,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000070,SEC_021,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000071,SEC_039,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000072,SEC_009,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000073,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000074,SEC_006,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000075,SEC_033,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000076,SEC_021,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000077,SEC_015,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000078,SEC_010,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000079,SEC_026,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000080,SEC_032,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000081,SEC_047,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000082,SEC_020,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000083,SEC_008,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000084,SEC_041,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000085,SEC_029,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000086,SEC_034,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000087,SEC_004,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000088,SEC_014,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000089,SEC_037,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000090,SEC_041,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000091,SEC_019,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000092,SEC_039,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000093,SEC_041,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000094,SEC_017,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000095,SEC_044,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000096,SEC_013,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000097,SEC_011,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000098,SEC_033,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000099,SEC_030,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000100,SEC_006,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000101,SEC_041,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000102,SEC_009,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000103,SEC_039,S&T crew,NONE,0.0,True,True,True,0.75
SMMS_TASK_000104,SEC_001,S&T crew,NONE,0.0,True,True,True,0.75
