date,location,station_code,latitude,longitude,event_type,severity,rainfall_mm,temperature_c,humidity,wind_speed,visibility,pressure,monsoon_phase,spatial_resolution,source,source_url
2024-01-01,Chennai Egmore,MS,13.0777,80.2613,normal_weather,LOW,0.0,26.0,53,9.6,8.4,1010.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tambaram,TBM,12.9248,80.1202,normal_weather,LOW,0.0,23.1,59,10.3,7.9,1008.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Chengalpattu,CGL,12.6934,79.9757,normal_weather,LOW,0.0,23.9,43,7.1,7.9,1008.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tindivanam,TMV,12.2312,79.6508,normal_weather,LOW,0.0,24.8,51,13.3,6.8,1010.2,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Viluppuram Junction,VM,11.9398,79.4975,normal_weather,LOW,0.0,23.9,56,11.6,7.6,1012.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Vriddhachalam Junction,VRI,11.5305,79.3242,normal_weather,LOW,0.0,23.4,68,15.5,9.0,1009.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Ariyalur,ALU,11.1401,79.0768,normal_weather,LOW,0.0,22.5,68,8.7,8.3,1010.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tiruchchirappalli Junction,TPJ,10.7937,78.6853,normal_weather,LOW,0.0,27.4,57,15.3,8.1,1009.7,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Dindigul Junction,DG,10.3644,77.9803,normal_weather,LOW,0.0,22.0,46,8.6,7.4,1007.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Madurai Junction,MDU,9.9195,78.1111,normal_weather,LOW,0.0,22.9,54,12.9,9.6,1011.5,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
