task_id,section_id,mast_number,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status
TDMS_TASK_000001,SEC_003,OHE_SEC_003_0356,Insulator Damage,C,2024-09-26,2024-10-10,0,Open
TDMS_TASK_000002,SEC_036,OHE_SEC_036_3082,Substation Feed Issue,C,2024-11-18,2024-12-20,0,Completed
TDMS_TASK_000003,SEC_028,OHE_SEC_028_2606,Neutral Section Fault,B,2024-07-28,2024-08-14,0,Completed
TDMS_TASK_000004,SEC_019,OHE_SEC_019_1748,Catenary Wear,B,2024-05-31,2024-06-16,1,Deferred
TDMS_TASK_000005,SEC_018,OHE_SEC_018_1724,Catenary Wear,B,2024-01-02,2024-01-10,2,Deferred
TDMS_TASK_000006,SEC_044,OHE_SEC_044_3419,Catenary Wear,B,2024-08-12,2024-08-25,3,Deferred
TDMS_TASK_000007,SEC_003,OHE_SEC_003_0343,Neutral Section Fault,A,2024-11-28,2024-11-30,0,Completed
TDMS_TASK_000008,SEC_031,OHE_SEC_031_2777,Insulator Damage,C,2024-02-21,2024-03-10,2,Deferred
TDMS_TASK_000009,SEC_009,OHE_SEC_009_0803,Catenary Wear,B,2024-03-30,2024-04-11,4,Open
TDMS_TASK_000010,SEC_003,OHE_SEC_003_0375,Substation Feed Issue,A,2024-07-11,2024-07-15,3,In-Progress
TDMS_TASK_000011,SEC_025,OHE_SEC_025_2096,Neutral Section Fault,A,2024-07-14,2024-07-17,0,Deferred
TDMS_TASK_000012,SEC_049,OHE_SEC_049_3884,Catenary Wear,A,2024-06-04,2024-06-08,0,Completed
TDMS_TASK_000013,SEC_032,OHE_SEC_032_2930,Substation Feed Issue,B,2024-02-24,2024-03-12,0,In-Progress
TDMS_TASK_000014,SEC_035,OHE_SEC_035_3031,Substation Feed Issue,A,2024-06-26,2024-06-28,0,In-Progress
TDMS_TASK_000015,SEC_032,OHE_SEC_032_2857,Insulator Damage,A,2024-07-03,2024-07-07,0,Open
TDMS_TASK_000016,SEC_038,OHE_SEC_038_3130,Substation Feed Issue,A,2024-03-08,2024-03-10,0,Completed
TDMS_TASK_000017,SEC_025,OHE_SEC_025_2044,Neutral Section Fault,B,2024-08-10,2024-08-22,4,Deferred
TDMS_TASK_000018,SEC_004,OHE_SEC_004_0511,Insulator Damage,A,2024-11-13,2024-11-19,0,Open
TDMS_TASK_000019,SEC_043,OHE_SEC_043_3344,Catenary Wear,A,2024-02-01,2024-02-06,0,Open
