task_id,severity_class,overdue_days,traffic_density_class,deferred_count,actual_priority_rank
SMMS_TASK_005303,B,3,Medium,4,48.57
SMMS_TASK_015434,B,32,Medium,3,76.59
SMMS_TASK_024688,B,1,Low,3,41.49
SMMS_TASK_020912,A,8,Low,1,67.56
TDMS_TASK_021098,C,33,Medium,4,64.15
TMS_TASK_007783,B,25,Low,0,55.2
SMMS_TASK_013248,B,23,High,0,63.26
TDMS_TASK_018257,B,31,Low,5,85.51
TMS_TASK_004653,A,9,Low,2,68.55
SMMS_TASK_023049,C,8,Medium,1,30.18
SMMS_TASK_007593,B,15,Medium,4,64.47
TDMS_TASK_018928,B,24,Critical Peak,1,69.58
TMS_TASK_001293,B,1,Critical Peak,0,41.94
SMMS_TASK_007591,B,15,Medium,4,66.98
TMS_TASK_024307,B,39,Medium,5,80.14
TDMS_TASK_007673,B,4,Critical Peak,2,52.7
TDMS_TASK_013773,C,36,Critical Peak,5,83.94
SMMS_TASK_010762,A,35,Critical Peak,0,92.31
SMMS_TASK_014644,A,39,Medium,5,100.0
TDMS_TASK_022585,C,41,Low,2,58.74
SMMS_TASK_017123,B,14,Medium,0,41.83
TMS_TASK_013289,B,19,High,2,64.74
TMS_TASK_023996,B,26,Medium,5,79.67
TDMS_TASK_012241,A,27,Critical Peak,0,96.1
TMS_TASK_026311,C,28,Low,2,56.36
TDMS_TASK_018915,C,12,Medium,4,43.17
TDMS_TASK_002780,C,18,Low,1,38.41
SMMS_TASK_021650,A,40,High,3,100.0
SMMS_TASK_017449,A,36,Low,2,90.01
TMS_TASK_014486,B,25,Critical Peak,4,86.23
SMMS_TASK_005663,B,5,Low,2,46.03
SMMS_TASK_002343,B,21,Medium,0,52.13
TMS_TASK_003914,B,39,Low,1,70.94
TDMS_TASK_009398,C,41,Low,4,63.31
SMMS_TASK_006947,B,8,High,2,47.61
SMMS_TASK_011227,A,7,High,1,67.99
SMMS_TASK_023428,C,26,High,1,54.4
TDMS_TASK_023330,B,14,High,3,64.22
SMMS_TASK_015458,C,43,Medium,1,58.56
TMS_TASK_026222,B,13,Low,4,62.23
SMMS_TASK_016034,B,25,High,2,77.25
SMMS_TASK_019185,B,42,High,1,67.55
TDMS_TASK_016202,C,29,Critical Peak,3,66.88
TMS_TASK_003897,C,18,Critical Peak,2,54.95
SMMS_TASK_006771,A,31,Medium,1,86.25
TMS_TASK_021820,B,41,Medium,2,77.0
TDMS_TASK_000150,C,5,High,0,25.35
TMS_TASK_027579,C,44,High,0,54.59
SMMS_TASK_010483,B,14,Low,5,61.82
TMS_TASK_016694,A,34,Medium,1,88.54
TDMS_TASK_008051,C,29,Medium,5,70.08
SMMS_TASK_022153,C,5,High,4,45.02
TDMS_TASK_019661,B,33,Medium,2,76.56
TDMS_TASK_013231,B,11,High,0,44.46
TDMS_TASK_000964,C,33,Low,0,44.1
SMMS_TASK_021794,B,22,Critical Peak,0,62.82
TMS_TASK_019387,C,14,High,2,45.74
SMMS_TASK_004447,B,11,Critical Peak,0,53.41
TMS_TASK_020916,C,7,Low,0,26.39
TDMS_TASK_010132,A,14,Low,0,61.55
SMMS_TASK_007096,A,17,Medium,2,82.32
TDMS_TASK_008945,B,17,Medium,3,68.06
TMS_TASK_020301,A,31,Medium,3,94.07
TMS_TASK_007906,A,31,Medium,3,97.59
TMS_TASK_019502,A,30,Medium,3,95.59
SMMS_TASK_020380,C,7,High,4,46.24
SMMS_TASK_011972,C,29,Low,0,43.9
TMS_TASK_017869,B,22,Medium,4,73.71
TMS_TASK_003188,A,15,Critical Peak,0,75.24
SMMS_TASK_014813,A,29,High,5,100.0
