mast_number,section_id,equivalent_km
OHE_SEC_001_0001,SEC_001,0.02
OHE_SEC_001_0002,SEC_001,0.07
OHE_SEC_001_0003,SEC_001,0.12
OHE_SEC_001_0004,SEC_001,0.171
OHE_SEC_001_0005,SEC_001,0.221
OHE_SEC_001_0006,SEC_001,0.271
OHE_SEC_001_0007,SEC_001,0.321
OHE_SEC_001_0008,SEC_001,0.371
OHE_SEC_001_0009,SEC_001,0.421
OHE_SEC_001_0010,SEC_001,0.472
OHE_SEC_001_0011,SEC_001,0.522
OHE_SEC_001_0012,SEC_001,0.572
OHE_SEC_001_0013,SEC_001,0.622
OHE_SEC_001_0014,SEC_001,0.672
OHE_SEC_001_0015,SEC_001,0.722
OHE_SEC_001_0016,SEC_001,0.773
OHE_SEC_001_0017,SEC_001,0.823
OHE_SEC_001_0018,SEC_001,0.873
OHE_SEC_001_0019,SEC_001,0.923
OHE_SEC_001_0020,SEC_001,0.973
OHE_SEC_001_0021,SEC_001,1.023
OHE_SEC_001_0022,SEC_001,1.074
OHE_SEC_001_0023,SEC_001,1.124
OHE_SEC_001_0024,SEC_001,1.174
OHE_SEC_001_0025,SEC_001,1.224
OHE_SEC_001_0026,SEC_001,1.274
OHE_SEC_001_0027,SEC_001,1.324
OHE_SEC_001_0028,SEC_001,1.375
OHE_SEC_001_0029,SEC_001,1.425
OHE_SEC_001_0030,SEC_001,1.475
OHE_SEC_001_0031,SEC_001,1.525
OHE_SEC_001_0032,SEC_001,1.575
OHE_SEC_001_0033,SEC_001,1.626
OHE_SEC_001_0034,SEC_001,1.676
OHE_SEC_001_0035,SEC_001,1.726
OHE_SEC_001_0036,SEC_001,1.776
OHE_SEC_001_0037,SEC_001,1.826
OHE_SEC_001_0038,SEC_001,1.876
OHE_SEC_001_0039,SEC_001,1.927
OHE_SEC_001_0040,SEC_001,1.977
OHE_SEC_001_0041,SEC_001,2.027
OHE_SEC_001_0042,SEC_001,2.077
OHE_SEC_001_0043,SEC_001,2.127
OHE_SEC_001_0044,SEC_001,2.177
OHE_SEC_001_0045,SEC_001,2.228
OHE_SEC_001_0046,SEC_001,2.278
OHE_SEC_001_0047,SEC_001,2.328
OHE_SEC_001_0048,SEC_001,2.378
OHE_SEC_001_0049,SEC_001,2.428
OHE_SEC_001_0050,SEC_001,2.478
OHE_SEC_001_0051,SEC_001,2.529
OHE_SEC_001_0052,SEC_001,2.579
OHE_SEC_001_0053,SEC_001,2.629
OHE_SEC_001_0054,SEC_001,2.679
OHE_SEC_001_0055,SEC_001,2.729
OHE_SEC_001_0056,SEC_001,2.779
OHE_SEC_001_0057,SEC_001,2.83
OHE_SEC_001_0058,SEC_001,2.88
OHE_SEC_001_0059,SEC_001,2.93
OHE_SEC_001_0060,SEC_001,2.98
OHE_SEC_001_0061,SEC_001,3.03
OHE_SEC_001_0062,SEC_001,3.08
OHE_SEC_001_0063,SEC_001,3.131
OHE_SEC_001_0064,SEC_001,3.181
OHE_SEC_001_0065,SEC_001,3.231
OHE_SEC_001_0066,SEC_001,3.281
OHE_SEC_001_0067,SEC_001,3.331
OHE_SEC_001_0068,SEC_001,3.382
OHE_SEC_001_0069,SEC_001,3.432
OHE_SEC_001_0070,SEC_001,3.482
OHE_SEC_001_0071,SEC_001,3.532
OHE_SEC_001_0072,SEC_001,3.582
OHE_SEC_001_0073,SEC_001,3.632
OHE_SEC_001_0074,SEC_001,3.683
OHE_SEC_001_0075,SEC_001,3.733
OHE_SEC_001_0076,SEC_001,3.783
OHE_SEC_001_0077,SEC_001,3.833
OHE_SEC_001_0078,SEC_001,3.883
OHE_SEC_001_0079,SEC_001,3.933
OHE_SEC_001_0080,SEC_001,3.984
OHE_SEC_001_0081,SEC_001,4.034
OHE_SEC_001_0082,SEC_001,4.084
OHE_SEC_001_0083,SEC_001,4.134
OHE_SEC_001_0084,SEC_001,4.184
OHE_SEC_001_0085,SEC_001,4.234
OHE_SEC_001_0086,SEC_001,4.285
OHE_SEC_001_0087,SEC_001,4.335
OHE_SEC_001_0088,SEC_001,4.385
OHE_SEC_001_0089,SEC_001,4.435
OHE_SEC_001_0090,SEC_001,4.485
