segment_id,section_id,start_km,end_km,latitude_start,longitude_start,latitude_end,longitude_end
SEG_00001,SEC_001,0.0,0.221,13.077749,80.261257,13.078083,80.259245
SEG_00002,SEC_001,0.221,0.425,13.078083,80.259245,13.077644,80.257414
SEG_00003,SEC_001,0.425,0.636,13.077644,80.257414,13.077237,80.255511
SEG_00004,SEC_001,0.636,0.922,13.077237,80.255511,13.076766,80.252918
SEG_00005,SEC_001,0.922,1.14,13.076766,80.252918,13.076437,80.250938
SEG_00006,SEC_001,1.14,4.49,13.076437,80.250938,13.05332,80.231106
SEG_00007,SEC_001,4.49,4.719,13.05332,80.231106,13.051283,80.230801
SEG_00008,SEC_001,4.719,4.993,13.051283,80.230801,13.048845,80.230441
SEG_00009,SEC_001,4.993,5.342,13.048845,80.230441,13.04574,80.22996
SEG_00010,SEC_001,5.342,5.569,13.04574,80.22996,13.043754,80.229488
SEG_00011,SEC_001,5.569,5.85,13.043754,80.229488,13.041313,80.228822
SEG_00012,SEC_001,5.85,6.079,13.041313,80.228822,13.039397,80.228044
SEG_00013,SEC_001,6.079,6.229,13.039397,80.228044,13.038066,80.227775
SEG_00014,SEC_002,6.229,6.531,13.038066,80.227775,13.035407,80.227213
SEG_00015,SEC_002,6.531,7.341,13.035407,80.227213,13.028364,80.225286
SEG_00016,SEC_002,7.341,7.543,13.028364,80.225286,13.026608,80.224809
SEG_00017,SEC_002,7.543,7.743,13.026608,80.224809,13.024862,80.22435
SEG_00018,SEC_002,7.743,8.011,13.024862,80.22435,13.022532,80.223713
SEG_00019,SEC_002,8.011,8.31,13.022532,80.223713,13.020115,80.222498
SEG_00020,SEC_002,8.31,8.725,13.020115,80.222498,13.016755,80.220834
SEG_00021,SEC_002,8.725,9.05,13.016755,80.220834,13.014128,80.219522
SEG_00022,SEC_002,9.05,9.271,13.014128,80.219522,13.012583,80.21824
SEG_00023,SEC_002,9.271,9.569,13.012583,80.21824,13.010929,80.216075
SEG_00024,SEC_002,9.569,9.794,13.010929,80.216075,13.009718,80.214405
SEG_00025,SEC_002,9.794,10.021,13.009718,80.214405,13.008669,80.212606
SEG_00026,SEC_003,10.022,10.224,13.008669,80.212606,13.007417,80.211261
SEG_00027,SEC_003,10.224,10.48,13.007417,80.211261,13.005368,80.210194
