resource_id,resource_type,home_depot,current_latitude,current_longitude,is_available,last_updated
MCH_0001,Tower Wagon,Rura Stn-26,27.266543,79.196599,True,2024-06-09 12:00:00
MCH_0002,Tower Wagon,Rura Khas,27.678428,78.596591,True,2024-07-01 08:00:00
MCH_0003,Rail Grinder,Shujatpur Purani,27.436936,78.954997,True,2024-08-23 02:00:00
MCH_0004,Tamping Machine,Manauri Stn-48,26.523669,80.257077,True,2024-09-12 08:00:00
MCH_0005,Rail Grinder,Dadri Stn-17,27.790436,78.434042,True,2024-11-21 11:00:00
MCH_0006,Tamping Machine,Etawah Stn-13,27.927764,78.254688,False,2024-05-29 07:00:00
MCH_0007,Tamping Machine,Etawah Stn-13,27.931255,78.24341,True,2024-06-20 07:00:00
MCH_0008,Tower Wagon,Shikohabad Purani,27.126764,79.39915,False,2024-06-07 19:00:00
MCH_0009,Tamping Machine,Jhinjhak North,27.023416,79.544082,True,2024-04-15 19:00:00
MCH_0010,Tower Wagon,Etawah Stn-13,27.928766,78.236694,True,2024-07-21 11:00:00
MCH_0011,Ballast Cleaning Machine,Etawah Stn-13,27.933085,78.239651,True,2024-02-21 20:00:00
MCH_0012,Tower Wagon,Manauri Stn-48,26.520091,80.260258,True,2024-10-17 07:00:00
MCH_0013,Tamping Machine,Shikohabad Stn-45,26.628293,80.108283,False,2024-06-08 00:00:00
MCH_0014,Tamping Machine,Shikohabad Purani,27.125534,79.397146,True,2024-02-16 13:00:00
MCH_0015,Tower Wagon,Rura Khas,27.678462,78.598959,True,2024-08-30 08:00:00
MCH_0016,Tamping Machine,Etawah Stn-13,27.919631,78.246415,True,2024-11-24 12:00:00
MCH_0017,Tamping Machine,Dadri Stn-17,27.795905,78.435311,True,2024-09-11 16:00:00
MCH_0018,Tamping Machine,Rura Stn-26,27.255555,79.185283,False,2024-05-13 21:00:00
MCH_0019,Tower Wagon,Dadri Stn-17,27.799074,78.434022,True,2024-04-07 18:00:00
MCH_0020,Tamping Machine,Dadri Stn-17,27.787828,78.434108,True,2024-09-13 04:00:00
MCH_0021,Tamping Machine,Jhinjhak North,27.016088,79.535734,True,2024-07-30 11:00:00
MCH_0022,Ballast Cleaning Machine,Shujatpur Purani,27.431409,78.960668,True,2024-08-17 02:00:00
MCH_0023,Ballast Cleaning Machine,Shujatpur Purani,27.438096,78.956835,True,2024-01-16 16:00:00
MCH_0024,Ballast Cleaning Machine,Aligarh Naya,26.846449,79.780646,True,2024-06-12 08:00:00
MCH_0025,Ballast Cleaning Machine,Shikohabad Purani,27.115694,79.391356,True,2024-01-09 01:00:00
MCH_0026,Ballast Cleaning Machine,Etawah Stn-13,27.940179,78.246052,True,2024-07-16 11:00:00
MCH_0027,Tamping Machine,Rura Khas,27.677932,78.593615,True,2024-05-01 08:00:00
