year,coal_total,steel_raw_material,pig_iron_steel_total,iron_ore_total,cement,food_grains,fertilisers,mineral_oil,container_total,other_goods,total_revenue_traffic,total_traffic,source,source_type
2010-11,420.37,13.06,32.84,118.46,99.08,43.45,48.22,39.29,37.6,69.16,921.53,926.43,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2011-12,455.8,14.77,35.21,104.71,107.66,46.39,52.7,39.77,37.88,74.84,969.73,975.24,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2012-13,496.42,15.31,35.31,111.41,105.87,49.03,46.21,40.61,41.08,66.83,1008.08,1014.15,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2013-14,508.06,16.53,38.95,124.27,109.8,55.1,44.7,41.16,43.58,69.75,1051.9,1058.81,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2014-15,545.81,18.28,42.84,112.77,109.8,55.46,47.41,41.1,48.83,72.96,1095.26,1101.07,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2015-16,551.83,20.29,45.32,116.94,105.35,45.73,52.23,43.24,45.24,75.9,1102.07,1107.82,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2016-17,532.83,21.05,48.33,137.55,103.29,44.86,48.34,42.42,47.36,79.94,1105.97,1110.95,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2017-18,555.2,23.4,54.0,139.8,112.96,43.79,48.53,43.11,54.34,84.44,1159.57,1164.2,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2018-19,605.9,25.7,54.9,137.4,117.4,39.3,51.9,43.0,60.2,85.9,1221.6,1225.29,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2019-20,586.6,26.1,58.0,153.4,110.1,38.3,50.8,40.8,61.1,85.2,1210.4,1213.26,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2020-21,542.2,25.8,60.1,152.4,121.2,65.4,56.4,41.2,58.7,108.9,1232.3,1234.31,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2021-22,653.1,27.2,63.4,168.2,141.2,75.3,50.6,44.1,74.3,120.6,1418.0,1420.21,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2022-23,727.8,28.9,67.2,160.5,145.4,56.8,56.9,48.6,79.5,140.4,1512.0,1514.07,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
2023-24,787.6,30.1,71.4,174.5,153.2,52.4,58.2,51.3,85.1,147.1,1610.9,1613.15,Indian Railways Annual Statistical Statements (Ministry of Railways),REAL
