date,station,station_code,district,latitude,longitude,temperature_c,rainfall_mm,humidity,wind_speed,wind_direction,pressure,visibility,monsoon_phase,spatial_resolution,source,source_url
2024-01-01,Chennai Egmore,MS,Chennai,13.0777,80.2613,26.0,0.0,53,9.6,SE,1010.8,8.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tambaram,TBM,Chengalpattu,12.9248,80.1202,23.1,0.0,59,10.3,SW,1008.5,7.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,23.9,0.0,43,7.1,SE,1008.6,7.9,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tindivanam,TMV,Viluppuram,12.2312,79.6508,24.8,0.0,51,13.3,W,1010.2,6.8,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Viluppuram Junction,VM,Viluppuram,11.9398,79.4975,23.9,0.0,56,11.6,SW,1012.4,7.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Vriddhachalam Junction,VRI,Cuddalore,11.5305,79.3242,23.4,0.0,68,15.5,SE,1009.4,9.0,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Ariyalur,ALU,Ariyalur,11.1401,79.0768,22.5,0.0,68,8.7,NW,1010.5,8.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,27.4,0.0,57,15.3,NW,1009.7,8.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Dindigul Junction,DG,Dindigul,10.3644,77.9803,22.0,0.0,46,8.6,S,1007.8,7.4,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Madurai Junction,MDU,Madurai,9.9195,78.1111,22.9,0.0,54,12.9,NE,1011.5,9.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Virudhunagar Junction,VPT,Virudhunagar,9.5872,77.9575,26.8,0.0,64,10.6,NW,1009.2,8.3,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Satur,SRT,Virudhunagar,9.3592,77.9255,27.3,0.0,72,9.5,SW,1012.0,10.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,24.9,0.0,67,17.9,E,1012.0,7.6,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
2024-01-01,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,23.3,3.7,68,10.1,SE,1010.2,8.1,Winter,station,IMD Daily Climatological Observations,https://mausam.imd.gov.in
