date,location,station_code,district,latitude,longitude,rainfall_mm,rainfall_category,spatial_resolution,source,source_url
2024-01-01,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,3.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-02,Maniyachchi Junction,MEJ,Thoothukudi,8.8658,77.8931,0.3,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-04,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,8.9,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-05,Tindivanam,TMV,Viluppuram,12.2312,79.6508,7.8,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-05,Tiruchchirappalli Junction,TPJ,Tiruchirappalli,10.7937,78.6853,1.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-06,Ariyalur,ALU,Ariyalur,11.1401,79.0768,6.1,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-11,Madurai Junction,MDU,Madurai,9.9195,78.1111,4.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-11,Thoothukudi,TN,Thoothukudi,8.8053,78.146,1.2,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-13,Tambaram,TBM,Chengalpattu,12.9248,80.1202,13.0,Moderate Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-13,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,0.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-13,Satur,SRT,Virudhunagar,9.3592,77.9255,2.7,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-14,Tindivanam,TMV,Viluppuram,12.2312,79.6508,3.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-15,Thoothukudi,TN,Thoothukudi,8.8053,78.146,0.8,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-19,Chengalpattu,CGL,Chengalpattu,12.6934,79.9757,2.5,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-19,Kovilpatti,CVP,Thoothukudi,9.1725,77.8683,4.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
2024-01-21,Chennai Egmore,MS,Chennai,13.0777,80.2613,3.0,Light Rain,station,IMD Gridded Rainfall Records,https://mausam.imd.gov.in
