event_id,event_type,section_id,detected_at,affected_block_id,impact_description,severity,latitude,longitude,corridor_id,source_type,source
RB-DIS-000001,Emergency Defect,SEC_003,2024-02-01 04:59:00,SLOT_028315,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low,12.999526,80.203903,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000002,Late Train,SEC_027,2024-11-21 21:44:00,,Late express train delay cascading in section SEC_038 (Severity Medium),Medium,12.143996,79.587999,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000003,Late Train,SEC_060,2024-03-06 21:19:00,,Late express train delay cascading in section SEC_033 (Severity Low),Low,10.516541,78.230774,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000004,Machine Breakdown,SEC_001,2024-12-06 03:03:00,SLOT_018995,Tamping/BCM machine breakdown during block operation in SEC_022,Medium,13.066165,80.251483,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000005,Emergency Defect,SEC_053,2024-05-31 16:09:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_022,Medium,10.806638,78.69338,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000006,Late Train,SEC_030,2024-03-03 15:15:00,,Late express train delay cascading in section SEC_043 (Severity High),High,11.969167,79.50553,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000007,Emergency Defect,SEC_037,2024-01-17 10:03:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low,11.395269,79.220781,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000008,Emergency Defect,SEC_035,2024-11-18 15:47:00,SLOT_028230,Emergency rail/OHE defect detected requiring urgent track access in SEC_035,Low,11.483411,79.279494,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000009,Machine Breakdown,SEC_035,2024-09-22 13:58:00,SLOT_014884,Tamping/BCM machine breakdown during block operation in SEC_010,Low,11.476039,79.274027,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000010,Emergency Defect,SEC_062,2024-06-05 09:37:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low,10.123545,78.104243,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000011,Late Train,SEC_036,2024-12-07 01:42:00,,Late express train delay cascading in section SEC_026 (Severity Medium),Medium,11.414517,79.231874,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000012,Late Train,SEC_007,2024-11-07 11:42:00,SLOT_018873,Late express train delay cascading in section SEC_048 (Severity Low),Low,12.976901,80.161996,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000013,Late Train,SEC_020,2024-03-05 23:49:00,SLOT_047791,Late express train delay cascading in section SEC_037 (Severity High),High,12.526811,79.907999,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000014,Emergency Defect,SEC_039,2024-07-05 09:58:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,Low,11.280187,79.182757,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000015,Emergency Defect,SEC_039,2024-08-23 14:44:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_036,Medium,11.287264,79.187078,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000016,Emergency Defect,SEC_038,2024-09-01 03:06:00,SLOT_024699,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Medium,11.353021,79.21492,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000017,Emergency Defect,SEC_022,2024-07-03 02:32:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_026,High,12.418058,79.824315,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000018,Late Train,SEC_036,2024-04-01 03:58:00,SLOT_010235,Late express train delay cascading in section SEC_007 (Severity Medium),Medium,11.411523,79.229842,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000019,Late Train,SEC_045,2024-03-27 17:26:00,SLOT_008111,Late express train delay cascading in section SEC_042 (Severity Medium),Medium,10.95596,78.936905,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000020,Late Train,SEC_008,2024-03-12 20:49:00,SLOT_042285,Late express train delay cascading in section SEC_023 (Severity Low),Low,12.954535,80.142827,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000021,Late Train,SEC_037,2024-06-24 16:35:00,SLOT_012346,Late express train delay cascading in section SEC_025 (Severity Low),Low,11.372175,79.219466,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000022,Emergency Defect,SEC_037,2024-07-23 15:57:00,SLOT_012935,Emergency rail/OHE defect detected requiring urgent track access in SEC_019,Medium,11.383265,79.220098,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000023,Machine Breakdown,SEC_064,2024-12-11 15:05:00,,Tamping/BCM machine breakdown during block operation in SEC_009,Low,9.883606,78.070183,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000024,Late Train,SEC_036,2024-02-22 07:29:00,,Late express train delay cascading in section SEC_046 (Severity Medium),Medium,11.440073,79.249219,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000025,Emergency Defect,SEC_063,2024-06-22 04:33:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low,9.921917,78.10978,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
RB-DIS-000026,Late Train,SEC_019,2024-08-16 21:42:00,SLOT_021626,Late express train delay cascading in section SEC_032 (Severity Low),Low,12.595655,79.95622,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Disruption Event Engine
