operational_event_id,event_timestamp,event_type,section_id,latitude,longitude,train_number,delay_minutes,subsequent_block_impact,corridor_id,source_type,source
RB-OPS-000001,2023-06-01 00:00:00,Locomotive Power Inefficiency,SEC_052,10.824705,78.689334,16101,45,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000002,2023-06-02 03:00:00,Unscheduled Halt at Home Signal,SEC_045,10.950499,78.930266,16128,36,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000003,2023-06-03 06:00:00,Speed Restriction Slowdown,SEC_047,10.87936,78.822985,20606,23,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000004,2023-06-04 09:00:00,Speed Restriction Slowdown,SEC_054,10.783328,78.669825,16127,31,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000005,2023-06-05 12:00:00,Crew Changeover Delay,SEC_003,13.005744,80.209822,16102,7,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000006,2023-06-06 15:00:00,Precedence Crossing at Loop Line,SEC_062,10.17618,78.103969,20605,40,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000007,2023-06-07 18:00:00,Precedence Crossing at Loop Line,SEC_024,12.32638,79.742175,16101,11,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000008,2023-06-08 21:00:00,Locomotive Power Inefficiency,SEC_004,12.992051,80.191852,16127,28,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000009,2023-06-09 00:00:00,Unscheduled Halt at Home Signal,SEC_007,12.970187,80.154836,20605,10,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000010,2023-06-10 03:00:00,Locomotive Power Inefficiency,SEC_048,10.874869,78.804303,16128,17,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000011,2023-06-11 06:00:00,Locomotive Power Inefficiency,SEC_037,11.376502,79.219713,20606,18,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000012,2023-06-12 09:00:00,Locomotive Power Inefficiency,SEC_027,12.13888,79.583551,20605,51,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000013,2023-06-13 12:00:00,Precedence Crossing at Loop Line,SEC_031,11.926493,79.483837,20606,7,MINOR,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
RB-OPS-000014,2023-06-14 15:00:00,Unscheduled Halt at Home Signal,SEC_058,10.55669,78.333271,16128,21,NONE,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Real-time Operations Simulator
