scenario_id,scenario_type,primary_section_id,latitude,longitude,simulated_duration_hours,affected_train_count,required_machines_count,required_gangs_count,urgency_level,corridor_id,source_type,source
RB-SCN-000001,Post-Derailment Caution Speed Order,SEC_022,12.380804,79.794312,5.3,17,3,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000002,OHE Catenary Parting Incident,SEC_010,12.933405,80.126634,2.2,19,2,5,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000003,Peak Festival Unscheduled Surge,SEC_042,11.132842,79.05897,5.7,11,1,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000004,High Ambient Temperature Rail Expansion Risk,SEC_057,10.604538,78.413648,1.7,21,2,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000005,Monsoon Heavy Flood Waterlogging,SEC_047,10.891889,78.847346,4.7,14,2,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000006,Peak Festival Unscheduled Surge,SEC_007,12.968368,80.152896,3.2,17,3,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000007,Post-Derailment Caution Speed Order,SEC_023,12.344465,79.760211,7.9,13,2,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000008,Monsoon Heavy Flood Waterlogging,SEC_018,12.665293,79.978424,1.6,21,1,1,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000009,Peak Festival Unscheduled Surge,SEC_065,9.855566,78.067656,6.8,6,1,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000010,Peak Festival Unscheduled Surge,SEC_011,12.913492,80.104228,5.8,13,3,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000011,Post-Derailment Caution Speed Order,SEC_051,10.828795,78.701065,2.1,10,3,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000012,Post-Derailment Caution Speed Order,SEC_029,12.022277,79.528332,6.3,4,3,4,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000013,OHE Catenary Parting Incident,SEC_005,12.986363,80.178695,6.5,21,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000014,OHE Catenary Parting Incident,SEC_023,12.342602,79.758342,7.0,19,2,2,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000015,Post-Derailment Caution Speed Order,SEC_032,11.889451,79.448874,6.6,3,1,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000016,OHE Catenary Parting Incident,SEC_058,10.561471,78.342136,5.3,2,3,2,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000017,Post-Derailment Caution Speed Order,SEC_051,10.82822,78.698836,1.8,13,2,4,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000018,Monsoon Heavy Flood Waterlogging,SEC_027,12.119183,79.566423,5.9,12,3,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000019,Signal Cable Cut by Road Construction,SEC_001,13.056871,80.243641,2.5,14,1,4,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000020,Signal Cable Cut by Road Construction,SEC_050,10.854008,78.696883,6.1,2,1,5,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000021,OHE Catenary Parting Incident,SEC_050,10.850482,78.697762,5.3,6,3,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000022,Emergency Broken Rail Renewal,SEC_061,10.461978,78.131412,5.5,13,3,2,LOW,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000023,Monsoon Heavy Flood Waterlogging,SEC_003,13.007025,80.211041,7.5,9,2,3,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000024,High Ambient Temperature Rail Expansion Risk,SEC_057,10.598026,78.403273,7.7,17,3,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000025,OHE Catenary Parting Incident,SEC_020,12.51874,79.902636,7.9,18,1,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000026,Post-Derailment Caution Speed Order,SEC_025,12.265802,79.685092,6.0,15,1,1,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000027,OHE Catenary Parting Incident,SEC_046,10.927493,78.899891,2.6,20,1,1,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000028,Peak Festival Unscheduled Surge,SEC_047,10.883829,78.831675,6.1,3,1,3,MEDIUM,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000029,Peak Festival Unscheduled Surge,SEC_030,11.984711,79.50914,1.8,9,2,1,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000030,Monsoon Heavy Flood Waterlogging,SEC_003,12.995833,80.200388,5.0,18,2,3,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000031,OHE Catenary Parting Incident,SEC_027,12.123558,79.570228,6.1,12,1,2,HIGH,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
RB-SCN-000032,Peak Festival Unscheduled Surge,SEC_054,10.791245,78.68102,7.6,6,2,3,CRITICAL,CHENNAI_THOOTHUKUDI,SYNTHETIC,RailBlock Simulation Scenario Matrix
