machine_id,machine_type,home_depot,assigned_section_id,latitude,longitude,operational_status,daily_productivity_meters,fuel_consumption_litres_per_hour,last_overhaul_date,next_calibration_date,corridor_id,source_type,source
RB-MCH-000001,Ballast Regulating Machine (BRM),Thoothukudi,SEC_013,12.881871,80.079772,ACTIVE,827,71,2023-04-13,2024-11-18,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000002,Utility Track Vehicle (UTV),Chennai Egmore,SEC_049,10.867958,78.738807,ACTIVE,600,39,2023-01-03,2024-07-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000003,Ballast Regulating Machine (BRM),Tambaram,SEC_038,11.350736,79.21434,UNDER_MAINTENANCE,496,35,2023-09-02,2024-09-18,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000004,Utility Track Vehicle (UTV),Thoothukudi,SEC_028,12.054866,79.544257,UNDER_MAINTENANCE,2066,86,2023-09-29,2024-09-27,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000005,Mobile Flash Butt Welding Plant,Tiruchirappalli,SEC_023,12.349336,79.765097,ACTIVE,999,66,2023-07-05,2024-10-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000006,Ballast Regulating Machine (BRM),Thoothukudi,SEC_020,12.51171,79.897964,ACTIVE,2136,31,2023-11-15,2024-06-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000007,Dynamic Track Stabilizer (DTS),Chennai Egmore,SEC_007,12.974971,80.159938,IDLE_STANDBY,1661,78,2023-04-04,2024-06-24,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000008,Dynamic Track Stabilizer (DTS),Tambaram,SEC_021,12.478208,79.87224,IDLE_STANDBY,1505,76,2023-11-29,2024-06-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000009,Track Relaying Train (TRT),Tiruchirappalli,SEC_005,12.987863,80.181938,IDLE_STANDBY,1099,68,2023-03-20,2024-09-26,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000010,Track Relaying Train (TRT),Tambaram,SEC_056,10.670331,78.50544,IDLE_STANDBY,1060,79,2023-10-11,2024-07-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000011,OHE Tower Wagon (8-Wheeler),Madurai,SEC_012,12.894053,80.086781,ACTIVE,929,70,2023-06-27,2024-08-30,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000012,Utility Track Vehicle (UTV),Tiruchirappalli,SEC_035,11.490509,79.284759,IDLE_STANDBY,2034,77,2023-05-31,2024-08-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000013,Mobile Flash Butt Welding Plant,Chennai Egmore,SEC_033,11.760348,79.380284,ACTIVE,654,65,2023-04-21,2024-07-19,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000014,Track Relaying Train (TRT),Chennai Egmore,SEC_057,10.583793,78.380595,UNDER_MAINTENANCE,459,86,2023-06-12,2024-09-21,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000015,Track Tamping Machine (CSM/Duomatic),Tiruchirappalli,SEC_056,10.66021,78.491409,ACTIVE,775,86,2023-03-06,2024-09-16,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000016,Utility Track Vehicle (UTV),Tiruchirappalli,SEC_030,11.97565,79.507035,IDLE_STANDBY,2004,32,2023-03-05,2024-06-21,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000017,OHE Tower Wagon (8-Wheeler),Tambaram,SEC_025,12.283479,79.701284,EN_ROUTE,778,88,2023-09-14,2024-11-18,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000018,Dynamic Track Stabilizer (DTS),Chennai Egmore,SEC_001,13.04937,80.237312,IDLE_STANDBY,2012,86,2023-09-02,2024-08-24,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000019,Mobile Flash Butt Welding Plant,Tambaram,SEC_022,12.389741,79.801509,ACTIVE,539,50,2023-10-14,2024-11-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000020,Ballast Regulating Machine (BRM),Thoothukudi,SEC_043,11.046675,79.014707,ACTIVE,1480,38,2023-09-14,2024-10-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000021,Ballast Cleaning Machine (BCM),Chennai Egmore,SEC_019,12.559739,79.930955,ACTIVE,1310,61,2023-07-15,2024-10-18,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000022,Dynamic Track Stabilizer (DTS),Thoothukudi,SEC_011,12.91613,80.107164,IDLE_STANDBY,871,29,2023-02-22,2024-10-13,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000023,Utility Track Vehicle (UTV),Tiruchirappalli,SEC_060,10.492752,78.174405,IDLE_STANDBY,1826,94,2023-04-20,2024-10-20,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000024,Track Tamping Machine (CSM/Duomatic),Viluppuram,SEC_028,12.062142,79.545467,ACTIVE,2192,87,2023-06-07,2024-09-17,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000025,Track Relaying Train (TRT),Thoothukudi,SEC_039,11.304651,79.197694,ACTIVE,1788,34,2023-11-12,2024-08-27,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000026,Mobile Flash Butt Welding Plant,Viluppuram,SEC_004,12.99095,80.188805,IDLE_STANDBY,1580,75,2023-04-29,2024-08-15,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000027,Dynamic Track Stabilizer (DTS),Tiruchirappalli,SEC_032,11.890345,79.449538,ACTIVE,1181,26,2023-03-29,2024-09-29,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
RB-MCH-000028,Ballast Regulating Machine (BRM),Viluppuram,SEC_063,9.922661,78.109641,IDLE_STANDBY,1058,88,2023-09-02,2024-10-28,CHENNAI_THOOTHUKUDI,CALIBRATED_SYNTHETIC,RailBlock Specialized Plant Roster / CAG Machine Availability Model
