station_code,field,severity,description,raw_value,detected_at
SWV,station_code,MEDIUM,OGD station code 'SWV' not found in OSM dataset.,SWV,2026-09-06T11:41:48.133697
THVM,station_code,MEDIUM,OGD station code 'THVM' not found in OSM dataset.,THVM,2026-09-06T11:41:48.133697
KRMI,station_code,MEDIUM,OGD station code 'KRMI' not found in OSM dataset.,KRMI,2026-09-06T11:41:48.133697
MAO,station_code,MEDIUM,OGD station code 'MAO' not found in OSM dataset.,MAO,2026-09-06T11:41:48.133697
KUDL,station_name,LOW,Name matched by fuzzy substring (OGD='Kudal' ~ OSM='Kudalnagar'); verify manually.,,2026-09-06T11:41:48.133697
SNDD,station_code,MEDIUM,OGD station code 'SNDD' not found in OSM dataset.,SNDD,2026-09-06T11:41:48.133697
KKW,station_code,MEDIUM,OGD station code 'KKW' not found in OSM dataset.,KKW,2026-09-06T11:41:48.133697
VBW,station_code,MEDIUM,OGD station code 'VBW' not found in OSM dataset.,VBW,2026-09-06T11:41:48.133697
RAJP,station_code,MEDIUM,OGD station code 'RAJP' not found in OSM dataset.,RAJP,2026-09-06T11:41:48.133697
RN,station_code,MEDIUM,OGD station code 'RN' not found in OSM dataset.,RN,2026-09-06T11:41:48.133697
SGR,station_code,MEDIUM,OGD station code 'SGR' not found in OSM dataset.,SGR,2026-09-06T11:41:48.133697
CHI,station_code,MEDIUM,OGD station code 'CHI' not found in OSM dataset.,CHI,2026-09-06T11:41:48.133697
KHED,station_code,MEDIUM,OGD station code 'KHED' not found in OSM dataset.,KHED,2026-09-06T11:41:48.133697
MNI,station_code,MEDIUM,OGD station code 'MNI' not found in OSM dataset.,MNI,2026-09-06T11:41:48.133697
ROHA,station_code,MEDIUM,OGD station code 'ROHA' not found in OSM dataset.,ROHA,2026-09-06T11:41:48.133697
PNVL,station_code,MEDIUM,OGD station code 'PNVL' not found in OSM dataset.,PNVL,2026-09-06T11:41:48.133697
KJT,station_code,MEDIUM,OGD station code 'KJT' not found in OSM dataset.,KJT,2026-09-06T11:41:48.133697
LNL,station_code,MEDIUM,OGD station code 'LNL' not found in OSM dataset.,LNL,2026-09-06T11:41:48.133697
PUNE,station_code,MEDIUM,OGD station code 'PUNE' not found in OSM dataset.,PUNE,2026-09-06T11:41:48.133697
MRJ,station_code,MEDIUM,OGD station code 'MRJ' not found in OSM dataset.,MRJ,2026-09-06T11:41:48.133697
KOP,station_code,MEDIUM,OGD station code 'KOP' not found in OSM dataset.,KOP,2026-09-06T11:41:48.133697
DSJ,station_code,MEDIUM,OGD station code 'DSJ' not found in OSM dataset.,DSJ,2026-09-06T11:41:48.133697
GADJ,station_code,MEDIUM,OGD station code 'GADJ' not found in OSM dataset.,GADJ,2026-09-06T11:41:48.133697
JP,station_code,MEDIUM,OGD station code 'JP' not found in OSM dataset.,JP,2026-09-06T11:41:48.133697
