year,zone,division,activity_type,block_demanded_hours,block_granted_hours,shortfall_hours,shortfall_percent,block_count,source_report,source_page,source
2015-16,SR,Chennai & Madurai,Track Machine & Manual Maintenance,1420.0,892.0,528.0,37.18,486,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2014-15,SR,Chennai & Madurai,Track Machine & Manual Maintenance,1380.0,910.0,470.0,34.06,465,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,SCR,Secunderabad & Vijayawada,Integrated Corridor Block,2150.0,1340.0,810.0,37.67,720,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2014-15,SCR,Secunderabad & Vijayawada,Integrated Corridor Block,1980.0,1280.0,700.0,35.35,680,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,NCR,Allahabad,Track Machine Tamping & Ballast Cleaning,3240.0,1458.0,1782.0,55.0,890,CAG Report 45 of 2017,100,CAG Audit of Heavy Traffic Sections
2016-17,NCR,Allahabad,Track Machine Shifting & Working,6878.0,4537.0,2341.0,34.04,1420,CAG Report 45 of 2017,100,CAG Audit of Heavy Traffic Sections
2015-16,CR,Mumbai & Bhusawal,Corridor Maintenance Block,2840.0,1760.0,1080.0,38.03,910,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,ER,Howrah & Asansol,Corridor Maintenance Block,2410.0,1520.0,890.0,36.93,830,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,ECR,Dhanbad & Danapur,Heavy Freight Track Tamping,2980.0,1690.0,1290.0,43.29,940,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,SER,Kharagpur & Chakradharpur,Corridor Maintenance Block,3100.0,1820.0,1280.0,41.29,980,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,WR,Vadodara & Mumbai Central,Integrated Corridor Block,2650.0,1810.0,840.0,31.7,870,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2015-16,SWR,Bangalore & Hubli,Track Maintenance Block,1620.0,1120.0,500.0,30.86,540,CAG Report 45 of 2017,79,CAG Audit of Heavy Traffic Sections
2017-21,IR-National,All Divisions (16 Zones),Track Maintenance Blocks for Derailment Prevention,52600.0,34190.0,18410.0,35.0,18200,CAG Report 22 of 2022,28,CAG Performance Audit on Derailments
