date,section_id,from_station,to_station,rainfall_24h_mm,temperature_c,wind_speed_kmph,humidity_percent,weather_risk_level,source_type,source
2024-01-15,SEC_001,MS,MBM,3.9,24.2,13.0,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_002,MBM,GDY,2.8,24.6,11.1,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_003,GDY,STM,1.1,26.5,11.9,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_004,STM,PZA,-1.2,23.7,11.1,42,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_005,PZA,MN,-1.2,24.9,10.2,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_006,MN,TLM,-4.7,22.5,10.5,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_007,TLM,PV,-6.7,24.4,11.0,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_008,PV,CMP,1.9,23.6,11.4,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_009,CMP,TBMS,-4.5,26.9,11.7,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_010,TBMS,TBM,-2.7,24.7,14.9,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_011,TBM,PRGL,0.4,26.4,8.6,51,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_012,PRGL,VDR,1.6,25.0,9.2,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_013,VDR,UPM,-0.8,26.2,16.2,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_014,UPM,GI,-6.5,25.8,17.6,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_015,GI,CTM,-3.7,28.9,13.8,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_016,CTM,SKL,9.7,23.3,11.1,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_017,SKL,CGL,-0.1,24.6,12.5,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_018,CGL,OV,-11.6,25.0,11.8,46,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_019,OV,KGZ,-3.7,20.6,10.8,56,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_020,KGZ,MMK,4.2,24.3,9.6,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_021,MMK,MLMR,6.6,26.1,10.4,45,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_022,MLMR,TZD,8.3,22.7,13.3,41,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_023,TZD,KSGL,-1.4,25.4,12.3,52,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_024,KSGL,OLA,-6.1,23.3,13.4,53,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_025,OLA,TMV,1.2,26.0,9.1,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_026,TMV,MTL,9.2,26.5,13.7,49,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_027,MTL,PEI,5.2,25.2,9.4,55,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_028,PEI,VVN,-4.3,25.7,9.2,58,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_029,VVN,MYP,-1.3,22.9,11.0,48,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_030,MYP,VM,0.0,26.5,12.5,39,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_031,VM,KDMD,-6.1,28.7,12.7,54,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_032,KDMD,TVNL,-1.5,23.1,11.4,50,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_033,TVNL,PVN,-2.2,27.4,11.2,44,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
2024-01-15,SEC_034,PVN,VRI,4.1,26.0,12.4,47,LOW,DERIVED,RailBlock Corridor Environmental Spatial Aggregator
