sev_num,overdue_days,traffic_num,deferred_count,actual_priority_rank
3,37,3,2,94.18
2,33,1,0,77.63
3,0,1,2,70.21
2,9,3,4,60.71
3,0,1,0,47.28
2,14,2,0,47.89
1,2,1,2,34.66
2,28,1,3,70.21
3,10,2,0,62.39
2,26,1,1,75.28
3,3,1,4,80.55
2,8,1,2,48.87
1,2,3,1,26.63
2,4,2,4,48.32
2,12,1,2,57.05
2,38,2,3,75.31
2,12,1,2,56.62
2,18,1,0,60.96
1,27,1,3,57.15
2,33,1,4,89.69
2,44,3,4,83.7
2,8,1,0,51.42
2,14,1,4,61.86
3,6,1,5,78.64
2,41,1,3,77.6
1,10,1,4,46.08
3,40,1,0,85.29
3,35,1,5,100.0
3,24,3,0,86.23
1,21,3,3,53.95
1,43,1,1,50.73
1,6,3,5,53.31
2,6,2,0,35.89
2,0,2,0,33.38
1,8,2,1,29.18
2,41,2,2,68.38
2,18,1,2,68.3
1,19,1,3,64.64
1,29,2,3,59.89
3,37,1,4,100.0
3,5,2,4,68.65
2,17,3,2,62.84
3,36,1,3,99.43
2,20,1,3,79.79
1,37,3,3,65.81
2,21,2,5,78.8
2,43,1,2,77.51
3,1,1,3,63.38
2,22,1,4,68.76
2,5,1,2,50.06
1,22,3,1,52.59
2,0,3,5,55.49
2,36,1,2,78.66
1,9,3,1,31.03
2,1,3,5,55.62
3,19,2,5,98.51
2,23,1,1,56.99
1,12,1,1,42.57
2,18,1,1,66.28
2,28,1,2,70.26
1,26,3,4,65.84
1,9,1,2,38.0
2,33,1,0,75.48
3,5,1,2,68.33
1,26,1,4,76.5
3,2,1,4,68.24
2,11,1,2,51.65
3,31,1,0,79.47
2,29,2,0,64.32
2,6,2,1,41.39
1,18,1,3,50.16
2,26,2,4,70.81
2,19,1,2,70.47
2,40,3,4,88.41
3,35,3,3,99.88
3,20,1,5,90.23
3,5,1,4,71.05
2,32,3,1,68.87
2,43,3,0,68.21
2,4,2,2,42.36
1,42,2,3,62.36
1,31,1,5,66.43
2,8,1,4,68.36
3,9,1,0,57.42
2,30,3,2,76.6
2,32,2,2,66.73
1,34,3,2,60.01
2,41,1,2,74.29
3,32,2,5,100.0
1,35,2,0,43.75
3,21,3,2,84.31
2,26,3,3,75.96
1,21,1,5,60.25
2,14,1,4,65.38
2,0,1,4,49.85
1,24,1,2,60.07
2,44,1,5,88.81
1,12,1,4,50.8
2,43,1,3,83.59
2,33,2,3,79.02
1,1,1,3,35.72
1,17,1,5,56.76
3,25,2,1,82.65
2,42,3,5,93.8
2,38,2,2,66.25
3,27,2,0,83.76
1,17,3,0,37.24
2,16,2,3,62.99
3,39,3,4,100.0
3,39,1,5,100.0
2,23,1,1,69.46
3,40,3,0,85.34
1,19,1,5,61.87
2,25,3,5,89.8
2,16,1,0,43.36
2,43,1,5,84.54
3,7,3,2,71.6
3,1,2,1,55.61
2,32,1,5,81.66
2,5,1,1,44.41
2,25,3,4,78.43
2,43,1,4,90.2
2,5,1,4,61.07
3,15,3,0,70.78
3,24,3,3,91.32
1,30,1,3,57.82
1,3,3,3,37.17
3,17,3,4,93.49
2,2,3,2,49.42
1,29,1,4,77.5
2,43,1,2,65.44
