station_code,in_timetable,in_station_master,match_status,match_confidence,has_coordinates
AABH,True,True,UNMATCHED,NONE,False
AADR,True,True,UNMATCHED,NONE,False
AAG,True,True,MATCHED,MEDIUM,True
AAH,True,True,UNMATCHED,NONE,False
AAL,True,True,UNMATCHED,NONE,False
AAM,True,True,UNMATCHED,NONE,False
AAP,True,True,UNMATCHED,NONE,False
AAR,True,True,UNMATCHED,NONE,False
AAS,True,True,UNMATCHED,NONE,False
AAY,True,True,UNMATCHED,NONE,False
AB,True,True,MATCHED,HIGH,True
ABB,True,True,UNMATCHED,NONE,False
ABD,True,True,UNMATCHED,NONE,False
ABE,True,True,UNMATCHED,NONE,False
ABFC,True,True,UNMATCHED,NONE,False
ABGT,True,True,UNMATCHED,NONE,False
ABH,True,True,UNMATCHED,NONE,False
ABI,True,True,UNMATCHED,NONE,False
ABKA,True,True,UNMATCHED,NONE,False
ABKP,True,True,UNMATCHED,NONE,False
ABLE,True,True,UNMATCHED,NONE,False
ABO,True,True,UNMATCHED,NONE,False
ABP,True,True,UNMATCHED,NONE,False
ABR,True,True,UNMATCHED,NONE,False
ABS,True,True,UNMATCHED,NONE,False
ABSA,True,True,UNMATCHED,NONE,False
ABU,True,True,MATCHED,HIGH,True
ABW,True,True,UNMATCHED,NONE,False
ABX,True,True,UNMATCHED,NONE,False
ABY,True,True,UNMATCHED,NONE,False
ACCI,True,True,UNMATCHED,NONE,False
ACG,True,True,UNMATCHED,NONE,False
ACH,True,True,UNMATCHED,NONE,False
ACL,True,True,UNMATCHED,NONE,False
ACLE,True,True,UNMATCHED,NONE,False
ACND,True,True,UNMATCHED,NONE,False
ACOI,True,True,UNMATCHED,NONE,False
ACPR,True,True,UNMATCHED,NONE,False
AD,True,True,UNMATCHED,NONE,False
ADB,True,True,UNMATCHED,NONE,False
ADD,True,True,UNMATCHED,NONE,False
ADE,True,True,UNMATCHED,NONE,False
ADF,True,True,UNMATCHED,NONE,False
ADH,True,True,UNMATCHED,NONE,False
ADHL,True,True,UNMATCHED,NONE,False
ADI,True,True,UNMATCHED,NONE,False
ADIJ,True,True,UNMATCHED,NONE,False
ADL,True,True,UNMATCHED,NONE,False
ADQ,True,True,UNMATCHED,NONE,False
ADR,True,True,UNMATCHED,NONE,False
ADRA,True,True,UNMATCHED,NONE,False
ADST,True,True,UNMATCHED,NONE,False
ADT,True,True,MATCHED,HIGH,True
ADTL,True,True,UNMATCHED,NONE,False
ADTP,True,True,UNMATCHED,NONE,False
ADVI,True,True,UNMATCHED,NONE,False
ADX,True,True,MATCHED,MEDIUM,True
AE,True,True,UNMATCHED,NONE,False
AED,True,True,UNMATCHED,NONE,False
AEH,True,True,UNMATCHED,NONE,False
AEJ,True,True,UNMATCHED,NONE,False
AEK,True,True,UNMATCHED,NONE,False
AEL,True,True,UNMATCHED,NONE,False
AEP,True,True,UNMATCHED,NONE,False
AF,True,True,UNMATCHED,NONE,False
AFK,True,True,UNMATCHED,NONE,False
AFR,True,True,UNMATCHED,NONE,False
AG,True,True,UNMATCHED,NONE,False
AGA,True,True,UNMATCHED,NONE,False
AGAE,True,True,UNMATCHED,NONE,False
AGAS,True,True,MATCHED,MEDIUM,True
AGB,True,True,UNMATCHED,NONE,False
AGC,True,True,UNMATCHED,NONE,False
AGCI,True,True,UNMATCHED,NONE,False
AGD,True,True,UNMATCHED,NONE,False
AGDL,True,True,UNMATCHED,NONE,False
AGE,True,True,UNMATCHED,NONE,False
AGI,True,True,UNMATCHED,NONE,False
AGL,True,True,UNMATCHED,NONE,False
AGM,True,True,MATCHED,HIGH,True
AGMN,True,True,UNMATCHED,NONE,False
AGN,True,True,UNMATCHED,NONE,False
AGP,True,True,UNMATCHED,NONE,False
AGQ,True,True,UNMATCHED,NONE,False
