task_id,department,section_id,location_reference_type,location_reference_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status,overdue_days,required_resource_type,estimated_duration_minutes,gps_latitude,gps_longitude,mapped_chainage_km,spatial_mapping_method,spatial_mapping_confidence,srs,seasonal_risk_score,live_weather_severity,live_weather_risk_score,weather_maintenance_suitability,seasonal_risk_factor,criticality_score,priority_rank,priority_band,cluster_id,cluster_size,departments_involved,integrated_block_candidate,spatial_overlap_score,traffic_feasible,machine_feasible,crew_feasible,time_feasible,spatially_feasible,weather_feasible,overall_feasible,rejection_reason
TMS_TASK_012884,Engineering,SEC_045,CHAINAGE,TMS_TASK_012884,177.887,177.984,Deep Screening Overdue,B,2024-09-15,2024-10-01,4,Deferred,91,Ballast Cleaning Machine,240,10.966485,78.949703,177.935,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,81.11,28211,Critical,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_028306,Engineering,SEC_045,CHAINAGE,TMS_TASK_028306,178.027,178.15,Rail Fracture Risk,B,2024-08-04,2024-08-14,0,Completed,139,Engineering crew,180,10.966485,78.949703,178.089,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_010702,Engineering,SEC_045,CHAINAGE,TMS_TASK_010702,177.884,178.331,Ballast Issue,C,2024-12-31,2025-02-01,4,Open,0,Ballast Cleaning Machine,120,10.966485,78.949703,178.107,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,32.42,77526,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_012684,Engineering,SEC_045,CHAINAGE,TMS_TASK_012684,178.079,178.266,Weld Failure,B,2024-10-14,2024-10-26,0,In-Progress,66,Engineering crew,120,10.966485,78.949703,178.173,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_003750,Engineering,SEC_045,CHAINAGE,TMS_TASK_003750,178.026,178.382,Deep Screening Overdue,C,2024-09-29,2024-10-25,0,In-Progress,67,Ballast Cleaning Machine,240,10.966485,78.949703,178.204,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_023637,Engineering,SEC_045,CHAINAGE,TMS_TASK_023637,178.181,178.324,Ballast Issue,C,2024-04-05,2024-05-05,2,Open,240,Ballast Cleaning Machine,120,10.966485,78.949703,178.252,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,56.54,64416,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_022089,Engineering,SEC_045,CHAINAGE,TMS_TASK_022089,177.871,178.632,Ballast Issue,C,2024-09-26,2024-10-31,0,Deferred,61,Ballast Cleaning Machine,120,10.966485,78.949703,178.252,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,48.3,68883,Medium,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_021293,Engineering,SEC_045,CHAINAGE,TMS_TASK_021293,178.161,178.351,Rail Fracture Risk,B,2024-03-31,2024-04-07,0,Completed,268,Engineering crew,180,10.966485,78.949703,178.256,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,63.22,40989,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_002894,Engineering,SEC_045,CHAINAGE,TMS_TASK_002894,177.927,178.628,Track Parameter Deviation,C,2024-08-25,2024-09-19,3,Deferred,103,Tamping Machine,90,10.966485,78.949703,178.277,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,60.98,62305,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
TMS_TASK_000840,Engineering,SEC_045,CHAINAGE,TMS_TASK_000840,177.846,178.766,Rail Fracture Risk,C,2024-03-18,2024-04-01,4,Deferred,274,Engineering crew,180,10.966485,78.949703,178.306,LINEAR_SEGMENT_INTERPOLATION,0.98,33.2,33.2,5.3,5.3,0.84,0.33,65.79,39346,High,CLUST_SEC_045_0001,152,Engineering,True,1.0,True,True,True,True,True,True,True,NONE
