task_id,criticality_score,priority_band,overall_feasible,rejection_reason
SMMS_TASK_014009,87.36,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_018693,87.36,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_018091,87.36,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_004691,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006076,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006229,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006302,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006358,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006414,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006906,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007006,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007363,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007754,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_008630,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_008838,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010356,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010366,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_011151,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_011391,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_011493,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012215,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012256,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002316,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_013978,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014018,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014352,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014406,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014932,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015475,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015532,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015858,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001949,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_016598,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017497,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017903,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_018447,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019372,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019430,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019902,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020426,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020436,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020484,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020652,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021441,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001237,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_022413,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020436,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023748,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024219,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024516,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024793,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_000846,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_000773,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_008871,83.59,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012969,83.47,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006521,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023629,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_009546,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_005083,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017430,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017168,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_016987,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_016030,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010964,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021997,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_005083,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007205,74.97,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024982,72.81,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_024982,72.81,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023220,72.46,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001294,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021840,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010312,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020051,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015497,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_013959,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007212,71.85,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015691,71.5,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021437,70.76,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020862,69.5,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_013246,67.9,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012318,67.45,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007735,67.45,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001409,67.45,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_022920,67.45,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001482,67.27,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_003191,65.79,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002789,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_003217,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024836,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023819,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023554,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023501,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023350,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002646,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002628,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021355,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_005170,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_005297,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020390,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020323,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020329,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020231,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020102,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019811,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019636,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019469,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002442,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019063,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017627,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006984,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_007067,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017266,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_000901,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_002259,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_008283,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015493,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_015272,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014026,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_014062,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001488,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012806,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012323,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010787,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010902,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012084,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_011080,63.22,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_004627,63.21,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_009284,62.84,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001913,60.98,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_018684,60.98,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021395,60.07,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_000381,56.54,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_005760,56.54,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_003674,56.54,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_016791,55.4,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_009381,53.21,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010456,52.71,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_009106,52.71,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006057,52.47,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_016070,50.5,High,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_017918,49.82,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_006741,49.82,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_000845,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_018677,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_005462,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_020885,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_021909,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001996,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_004598,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_023016,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_004111,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_004055,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_024167,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001550,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001622,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_003234,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_001739,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_022255,43.2,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_010887,36.84,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_012240,36.26,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_022635,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_019734,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
SMMS_TASK_013174,20.64,Low,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020231,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_018693,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023819,81.11,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020051,71.85,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020390,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010964,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_008283,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_012240,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002316,96.41,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007006,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019063,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_003674,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021997,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019734,30.05,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006906,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_006302,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014062,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020329,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_009284,62.94,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_005760,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_008806,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_009002,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_011080,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021840,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_021355,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002442,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_002259,71.85,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001488,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_016070,49.82,Medium,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_014026,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_014018,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_015475,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007363,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_020102,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_018677,52.71,High,False,High Traffic Pressure / No Traffic Gap
TMS_TASK_015734,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_004691,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_019430,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001949,83.65,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001409,76.62,Critical,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_009106,67.45,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_001482,52.78,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_023554,48.3,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_007754,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_017168,63.22,High,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_010887,30.96,Medium,False,High Traffic Pressure / No Traffic Gap
TDMS_TASK_008838,92.61,Critical,False,High Traffic Pressure / No Traffic Gap
