block_id,plan_run_id,plan_version,horizon,week_number,month_week,generated_at,plan_date,start_date,end_date,week_start_date,week_end_date,section_id,start_time,end_time,duration_minutes,task_ids,departments,priority,optimization_score,utilization,overdue_days_projected,deferred_count_projected,seasonal_risk_score_projected,maintenance_type,resources,crew,train_impact,status,xai_reason,source,source_record_id,dataset_name,optimizer_status
RB-W01-SEC_001-01,ROLLING-26W-a8ffbab420,1,ROLLING_26W,1,1,2026-09-20T16:02:10.260944,2026-09-21,2026-09-21,2026-09-21,2026-09-20,2026-09-26,SEC_001,2026-09-21 02:02:10,2026-09-21 05:02:10,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,144,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_001,LOW,PROPOSED,"Rolling_26w Week 1 block on SEC_001. Projected overdue=144d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-W01-SEC_002-02,ROLLING-26W-a8ffbab420,1,ROLLING_26W,1,1,2026-09-20T16:02:10.260944,2026-09-22,2026-09-22,2026-09-22,2026-09-20,2026-09-26,SEC_002,2026-09-22 04:02:10,2026-09-22 06:32:10,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,37,4,25.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_002,LOW,PROPOSED,"Rolling_26w Week 1 block on SEC_002. Projected overdue=37d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-W01-SEC_003-03,ROLLING-26W-a8ffbab420,1,ROLLING_26W,1,1,2026-09-20T16:02:10.260944,2026-09-23,2026-09-23,2026-09-23,2026-09-20,2026-09-26,SEC_003,2026-09-23 06:02:10,2026-09-23 09:02:10,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,287,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_003,LOW,PROPOSED,"Rolling_26w Week 1 block on SEC_003. Projected overdue=287d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-W02-SEC_003-01,ROLLING-26W-a8ffbab420,1,ROLLING_26W,2,2,2026-09-20T16:02:10.260944,2026-09-28,2026-09-28,2026-09-28,2026-09-27,2026-10-03,SEC_003,2026-09-28 02:02:10,2026-09-28 05:02:10,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,151,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_003,LOW,PROPOSED,"Rolling_26w Week 2 block on SEC_003. Projected overdue=151d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-W02-SEC_004-02,ROLLING-26W-a8ffbab420,1,ROLLING_26W,2,2,2026-09-20T16:02:10.260944,2026-09-29,2026-09-29,2026-09-29,2026-09-27,2026-10-03,SEC_004,2026-09-29 04:02:10,2026-09-29 06:32:10,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,44,4,25.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_004,LOW,PROPOSED,"Rolling_26w Week 2 block on SEC_004. Projected overdue=44d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-W02-SEC_005-03,ROLLING-26W-a8ffbab420,1,ROLLING_26W,2,2,2026-09-20T16:02:10.260944,2026-09-30,2026-09-30,2026-09-30,2026-09-27,2026-10-03,SEC_005,2026-09-30 06:02:10,2026-09-30 09:02:10,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,294,4,25.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_005,LOW,PROPOSED,"Rolling_26w Week 2 block on SEC_005. Projected overdue=294d, escalated MDPS=99.0, SRS forecast=25.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-W03-SEC_005-01,ROLLING-26W-a8ffbab420,1,ROLLING_26W,3,3,2026-09-20T16:02:10.260944,2026-10-05,2026-10-05,2026-10-05,2026-10-04,2026-10-10,SEC_005,2026-10-05 02:02:10,2026-10-05 05:02:10,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,158,4,65.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_005,LOW,PROPOSED,"Rolling_26w Week 3 block on SEC_005. Projected overdue=158d, escalated MDPS=99.0, SRS forecast=65.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
RB-W03-SEC_006-02,ROLLING-26W-a8ffbab420,1,ROLLING_26W,3,3,2026-09-20T16:02:10.260944,2026-10-06,2026-10-06,2026-10-06,2026-10-04,2026-10-10,SEC_006,2026-10-06 04:02:10,2026-10-06 06:32:10,150,TDMS_TASK_005240,TRD,99.0,99.0,1.0,51,4,65.0,SCHEDULED_CORRIDOR_BLOCK,Tower Wagon,CREW_SEC_006,LOW,PROPOSED,"Rolling_26w Week 3 block on SEC_006. Projected overdue=51d, escalated MDPS=99.0, SRS forecast=65.",dynamic_multi_week_optimizer,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL
RB-W03-SEC_007-03,ROLLING-26W-a8ffbab420,1,ROLLING_26W,3,3,2026-09-20T16:02:10.260944,2026-10-07,2026-10-07,2026-10-07,2026-10-04,2026-10-10,SEC_007,2026-10-07 06:02:10,2026-10-07 09:02:10,180,TDMS_TASK_021527,TRD,99.0,99.0,1.0,301,4,65.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_007,LOW,PROPOSED,"Rolling_26w Week 3 block on SEC_007. Projected overdue=301d, escalated MDPS=99.0, SRS forecast=65.",dynamic_multi_week_optimizer,TDMS_TASK_021527,feasibility_checked_tasks.csv,OPTIMAL
RB-W04-SEC_007-01,ROLLING-26W-a8ffbab420,1,ROLLING_26W,4,4,2026-09-20T16:02:10.260944,2026-10-12,2026-10-12,2026-10-12,2026-10-11,2026-10-17,SEC_007,2026-10-12 02:02:10,2026-10-12 05:02:10,180,TDMS_TASK_005414,TRD,99.0,99.0,1.0,165,4,65.0,SCHEDULED_CORRIDOR_BLOCK,TRD crew,CREW_SEC_007,LOW,PROPOSED,"Rolling_26w Week 4 block on SEC_007. Projected overdue=165d, escalated MDPS=99.0, SRS forecast=65.",dynamic_multi_week_optimizer,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL
