block_id,plan_run_id,plan_version,generated_at,plan_date,section_id,start_time,end_time,duration_minutes,task_ids,departments,priority,resources,crew,train_impact,utilization,optimization_score,status,xai_reason,source,source_record_id,dataset_name,optimizer_status,rejection_reason
RB-SEC_045-0001,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-28,SEC_045,2026-08-28 20:51:31,2026-08-28 23:51:31,180,TDMS_TASK_005414,Engineering;S&T;TRD,98.97,TRD crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_005414,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0002,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 00:51:31,2026-08-29 03:51:31,180,TDMS_TASK_015927,Engineering;S&T;TRD,98.97,TRD crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_015927,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0003,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 04:51:31,2026-08-29 07:51:31,180,TMS_TASK_018507,Engineering;S&T;TRD,98.97,Engineering crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TMS_TASK_018507,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0004,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 08:51:31,2026-08-29 11:21:31,150,TDMS_TASK_020463,Engineering;TRD,98.97,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_020463,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0005,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 12:51:31,2026-08-29 15:21:31,150,TDMS_TASK_017839,Engineering;TRD,98.97,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_017839,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0006,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 16:51:31,2026-08-29 19:21:31,150,TDMS_TASK_005240,Engineering;TRD,98.98,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_005240,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0007,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-29,SEC_045,2026-08-29 20:51:31,2026-08-29 23:51:31,180,TDMS_TASK_016390,Engineering;TRD,98.97,TRD crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_016390,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0008,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 00:51:31,2026-08-30 03:21:31,150,TDMS_TASK_024054,Engineering;TRD,98.97,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_024054,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0009,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 04:51:31,2026-08-30 06:51:31,120,TMS_TASK_014598,Engineering;TRD,98.97,Engineering crew,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TMS_TASK_014598,feasibility_checked_tasks.csv,OPTIMAL,
RB-SEC_045-0010,OPT-bfd895154a25,1,2026-08-28T20:51:31.724892,2026-08-30,SEC_045,2026-08-30 08:51:31,2026-08-30 11:21:31,150,TDMS_TASK_012684,Engineering;TRD,98.97,Tower Wagon,CREW_SEC_045,LOW,1.0,99.0,PROPOSED,Recommended shadow-block on SEC_045 with confirmed resource feasibility and low train impact.,csv,TDMS_TASK_012684,feasibility_checked_tasks.csv,OPTIMAL,
