section_id,train_count,passenger_train_count,freight_train_count,freight_demand,traffic_density,average_delay,max_delay,peak_hour_flag,traffic_pressure_score
SEC_001,1028,732,296,5107,0.943,9.1,167.7,1,97.15
SEC_002,1070,817,253,5571,0.982,9.1,167.7,1,99.1
SEC_003,1034,800,234,5289,0.949,9.1,167.7,1,97.45
SEC_004,979,729,250,4868,0.898,9.1,167.7,1,94.9
SEC_005,971,720,251,4799,0.891,9.1,167.7,1,94.55
SEC_006,1050,791,259,5277,0.963,9.1,167.7,1,98.15
SEC_007,1028,737,291,5246,0.943,9.1,167.7,1,97.15
SEC_008,1060,797,263,5408,0.972,9.1,167.7,1,98.6
SEC_009,1011,710,301,5231,0.928,9.1,167.7,1,96.4
SEC_010,1006,775,231,5282,0.923,9.1,167.7,1,96.15
SEC_011,1035,802,233,5338,0.95,9.1,167.7,1,97.5
SEC_012,1053,812,241,5094,0.966,9.1,167.7,1,98.3
SEC_013,999,757,242,5017,0.917,9.1,167.7,1,95.85
SEC_014,1042,796,246,4918,0.956,9.1,167.7,1,97.8
SEC_015,1033,784,249,5186,0.948,9.1,167.7,1,97.4
SEC_016,1012,759,253,5287,0.928,9.1,167.7,1,96.4
SEC_017,1034,760,274,5582,0.949,9.1,167.7,1,97.45
SEC_018,1021,756,265,4959,0.937,9.1,167.7,1,96.85
SEC_019,936,692,244,4775,0.859,9.1,167.7,1,92.95
SEC_020,1025,793,232,5383,0.94,9.1,167.7,1,97.0
SEC_021,1020,775,245,5395,0.936,9.1,167.7,1,96.8
SEC_022,1025,760,265,5352,0.94,9.1,167.7,1,97.0
SEC_023,987,728,259,5011,0.906,9.1,167.7,1,95.3
SEC_024,1005,764,241,4824,0.922,9.1,167.7,1,96.1
SEC_025,1065,801,264,5339,0.977,9.1,167.7,1,98.85
SEC_026,1052,798,254,5468,0.965,9.1,167.7,1,98.25
SEC_027,1001,757,244,5089,0.918,9.1,167.7,1,95.9
SEC_028,1017,749,268,5261,0.933,9.1,167.7,1,96.65
SEC_029,964,738,226,4822,0.884,9.1,167.7,1,94.2
SEC_030,1060,792,268,5226,0.972,9.1,167.7,1,98.6
SEC_031,1001,734,267,5190,0.918,9.1,167.7,1,95.9
SEC_032,1057,797,260,5326,0.97,9.1,167.7,1,98.5
SEC_033,1009,733,276,5195,0.926,9.1,167.7,1,96.3
SEC_034,1040,795,245,5094,0.954,9.1,167.7,1,97.7
SEC_035,1006,765,241,4939,0.923,9.1,167.7,1,96.15
SEC_036,1035,769,266,5305,0.95,9.1,167.7,1,97.5
SEC_037,1035,783,252,5542,0.95,9.1,167.7,1,97.5
SEC_038,1006,757,249,5195,0.923,9.1,167.7,1,96.15
SEC_039,1067,779,288,5421,0.979,9.1,167.7,1,98.95
SEC_040,1018,765,253,5004,0.934,9.1,167.7,1,96.7
SEC_041,994,751,243,4761,0.912,9.1,167.7,1,95.6
SEC_042,1026,764,262,5256,0.941,9.1,167.7,1,97.05
SEC_043,966,745,221,4772,0.886,9.1,167.7,1,94.3
SEC_044,1022,754,268,5142,0.938,9.1,167.7,1,96.9
SEC_045,914,679,235,4557,0.839,9.1,167.7,1,91.95
SEC_046,1090,793,297,5561,1.0,9.1,167.7,1,100.0
SEC_047,983,733,250,4673,0.902,9.1,167.7,1,95.1
SEC_048,1039,790,249,5101,0.953,9.1,167.7,1,97.65
SEC_049,1069,789,280,5429,0.981,9.1,167.7,1,99.05
