task_id,date,department,section_id,severity_level,severity_num,priority_code,priority_rank,estimated_duration_hours,deferred_count,days_until_target,passenger_trains_daily,freight_rakes_daily,total_trains_daily,capacity_utilization_percent,festival_flag,festival_traffic_multiplier,latitude,longitude,status,source_type
TMS_TASK_000001,2024-06-26,ENGINEERING,SEC_052,CRITICAL,4,P1_EMERGENCY,4,2.7,0,7,36,16,52,86.7,0,1.0,10.819276,78.690886,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000002,2024-08-09,ENGINEERING,SEC_015,CRITICAL,4,P1_EMERGENCY,4,2.9,0,7,34,16,50,83.3,0,1.0,12.836658,80.050948,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000003,2024-06-28,ENGINEERING,SEC_061,MEDIUM,2,P3_NORMAL,2,3.5,4,7,25,12,37,61.7,0,1.0,10.482936,78.155377,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000004,2024-09-24,ENGINEERING,SEC_021,CRITICAL,4,P1_EMERGENCY,4,4.1,0,7,24,12,36,60.0,0,1.0,12.483447,79.876406,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000005,2024-05-30,ENGINEERING,SEC_024,CRITICAL,4,P1_EMERGENCY,4,3.6,0,7,60,8,68,113.3,0,1.0,12.323436,79.73926,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000006,2024-11-27,ENGINEERING,SEC_003,CRITICAL,4,P1_EMERGENCY,4,2.6,0,7,50,10,60,100.0,0,1.0,12.996135,80.200675,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000007,2024-09-07,ENGINEERING,SEC_022,HIGH,3,P2_URGENT,3,4.6,0,7,44,10,54,90.0,1,1.5,12.399259,79.809175,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000008,2024-01-13,ENGINEERING,SEC_053,MEDIUM,2,P3_NORMAL,2,3.4,1,7,41,16,57,95.0,0,1.0,10.80036,78.689276,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000009,2024-03-07,ENGINEERING,SEC_002,HIGH,3,P2_URGENT,3,2.1,0,7,58,12,70,116.7,0,1.0,13.01331,80.215001,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000010,2024-04-17,ENGINEERING,SEC_030,MEDIUM,2,P3_NORMAL,2,2.0,2,7,46,10,56,93.3,0,1.0,11.949901,79.501055,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000011,2024-03-11,ENGINEERING,SEC_038,MEDIUM,2,P3_NORMAL,2,3.8,0,7,30,18,48,80.0,0,1.0,11.34324,79.212437,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000012,2024-10-19,ENGINEERING,SEC_002,CRITICAL,4,P1_EMERGENCY,4,3.8,0,7,58,12,70,116.7,0,1.0,13.033588,80.225464,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000013,2024-01-07,ENGINEERING,SEC_064,MEDIUM,2,P3_NORMAL,2,3.3,3,7,44,12,56,93.3,0,1.0,9.907676,78.096994,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000014,2024-10-19,ENGINEERING,SEC_060,CRITICAL,4,P1_EMERGENCY,4,2.3,0,7,35,12,47,78.3,0,1.0,10.504341,78.201866,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000015,2024-05-19,ENGINEERING,SEC_021,HIGH,3,P2_URGENT,3,2.4,0,7,24,12,36,60.0,0,1.0,12.449514,79.849431,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000016,2024-07-30,ENGINEERING,SEC_033,MEDIUM,2,P3_NORMAL,2,3.2,0,7,54,16,70,116.7,0,1.0,11.675293,79.34584,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000017,2024-03-11,ENGINEERING,SEC_058,HIGH,3,P2_URGENT,3,4.4,0,7,56,16,72,120.0,0,1.0,10.55422,78.32869,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000018,2024-01-23,ENGINEERING,SEC_022,CRITICAL,4,P1_EMERGENCY,4,2.0,0,7,44,10,54,90.0,0,1.0,12.378344,79.792331,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000019,2024-12-24,ENGINEERING,SEC_049,HIGH,3,P2_URGENT,3,2.8,0,7,59,12,71,118.3,0,1.0,10.861084,78.710085,Completed,CALIBRATED_SYNTHETIC
TMS_TASK_000020,2024-08-02,ENGINEERING,SEC_059,HIGH,3,P2_URGENT,3,2.0,0,7,39,12,51,85.0,0,1.0,10.521273,78.242927,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000021,2024-07-12,ENGINEERING,SEC_042,HIGH,3,P2_URGENT,3,4.8,1,7,52,8,60,100.0,0,1.0,11.104535,79.041932,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000022,2024-10-28,ENGINEERING,SEC_060,CRITICAL,4,P1_EMERGENCY,4,4.2,0,7,35,12,47,78.3,0,1.0,10.512175,78.220429,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000023,2024-04-22,ENGINEERING,SEC_015,CRITICAL,4,P1_EMERGENCY,4,4.0,0,7,34,16,50,83.3,0,1.0,12.841189,80.054491,Open,CALIBRATED_SYNTHETIC
TMS_TASK_000024,2024-01-08,ENGINEERING,SEC_062,MEDIUM,2,P3_NORMAL,2,2.5,4,7,54,10,64,106.7,0,1.0,10.229462,78.103691,Deferred,CALIBRATED_SYNTHETIC
TMS_TASK_000025,2024-06-09,ENGINEERING,SEC_062,CRITICAL,4,P1_EMERGENCY,4,2.1,0,7,54,10,64,106.7,0,1.0,10.13993,78.104157,In-Progress,CALIBRATED_SYNTHETIC
TMS_TASK_000026,2024-03-18,ENGINEERING,SEC_047,MEDIUM,2,P3_NORMAL,2,3.6,0,7,37,18,55,91.7,0,1.0,10.883097,78.830251,In-Progress,CALIBRATED_SYNTHETIC
