station_code,station_name,lat,lon,match_status,is_anchor
MS,Chennai Egmo,13.0777493,80.2612572,MATCHED,True
TBM,Tambaram,12.9257923,80.1179194,MATCHED,True
CGL,Chengalpattu,12.6934653,79.9805157,MATCHED,True
VPT,Virudunagar,,,UNMATCHED,True
VRI,Vridha Chala,11.5333359,79.3165229,MATCHED,True
MDU,Madurai Jn,9.9195505,78.1102197,MATCHED,True
TEN,Tirunelveli,,,UNMATCHED,True
AAY,Aralvaymoli,,,UNMATCHED,False
AB,Ambur,12.784066,78.7217855,MATCHED,False
ABI,Ambaturai,,,UNMATCHED,False
ADT,Aduthurai,11.0090995,79.4784333,MATCHED,False
AFK,Angamali (Fo,,,UNMATCHED,False
AGC,Agra Cantt,,,UNMATCHED,False
AJJ,Arakkonam Jn,13.0823386,79.6685253,MATCHED,False
ALD,Allahabad Jn,,,UNMATCHED,False
ALLP,Alleppey,,,UNMATCHED,False
ALU,Ariyalur,11.1489062,79.0686377,MATCHED,False
AMPA,Ambalapuzha,,,UNMATCHED,False
ANY,Arumuganeri,8.5794484,78.092,MATCHED,False
APK,Aruppukkotta,9.5246264,78.1028808,MATCHED,False
AWY,Alwaye,,,UNMATCHED,False
AY,Ayodhya,11.6715816,78.2342048,MATCHED,False
BAL,Budalur,10.7828722,78.9810094,MATCHED,False
BAM,Berhampur,,,UNMATCHED,False
BBS,Bhubaneswar,,,UNMATCHED,False
BDJ,Vadakara,,,UNMATCHED,False
BHC,Bhadrakh,,,UNMATCHED,False
BLS,Balasore,,,UNMATCHED,False
BPL,Bhopal,,,UNMATCHED,False
BPQ,Balharshah,,,UNMATCHED,False
BZA,Vijaywada Jn,,,UNMATCHED,False
BZU,Betul,,,UNMATCHED,False
CAN,Kannur,,,UNMATCHED,False
CAPE,Kanniyakumar,,,UNMATCHED,False
CBE,Coimbatore,,,UNMATCHED,False
CBF,Coimbatore N,,,UNMATCHED,False
CD,Chandrapur (,,,UNMATCHED,False
CDM,Chidambaram,11.3920706,79.703025,MATCHED,False
CHV,Chervattur,11.595226,78.5935039,MATCHED,False
CKI,Chalakudi,,,UNMATCHED,False
CLT,Calicut,,,UNMATCHED,False
CRY,Chirayinkil,,,UNMATCHED,False
CTC,Cuttack Jn.,,,UNMATCHED,False
CTND,Chettinad,10.159908,78.7764148,MATCHED,False
CUPJ,Cuddalore Po,11.7159501,79.7670526,MATCHED,False
CVP,Kovilpatti,,,UNMATCHED,False
