mast_number,section_id,equivalent_km
OHE_SEC_001_0001,SEC_001,0.0
OHE_SEC_001_0002,SEC_001,0.032
OHE_SEC_001_0003,SEC_001,0.065
OHE_SEC_001_0004,SEC_001,0.098
OHE_SEC_001_0005,SEC_001,0.13
OHE_SEC_001_0006,SEC_001,0.162
OHE_SEC_001_0007,SEC_001,0.195
OHE_SEC_001_0008,SEC_001,0.227
OHE_SEC_001_0009,SEC_001,0.259
OHE_SEC_001_0010,SEC_001,0.292
OHE_SEC_001_0011,SEC_001,0.325
OHE_SEC_001_0012,SEC_001,0.357
OHE_SEC_001_0013,SEC_001,0.389
OHE_SEC_001_0014,SEC_001,0.422
OHE_SEC_001_0015,SEC_001,0.454
OHE_SEC_001_0016,SEC_001,0.487
OHE_SEC_001_0017,SEC_001,0.519
OHE_SEC_001_0018,SEC_001,0.552
OHE_SEC_001_0019,SEC_001,0.584
OHE_SEC_001_0020,SEC_001,0.616
OHE_SEC_001_0021,SEC_001,0.649
OHE_SEC_001_0022,SEC_001,0.682
OHE_SEC_001_0023,SEC_001,0.714
OHE_SEC_001_0024,SEC_001,0.746
OHE_SEC_001_0025,SEC_001,0.779
OHE_SEC_001_0026,SEC_001,0.811
OHE_SEC_001_0027,SEC_001,0.843
OHE_SEC_001_0028,SEC_001,0.876
OHE_SEC_001_0029,SEC_001,0.909
OHE_SEC_001_0030,SEC_001,0.941
OHE_SEC_001_0031,SEC_001,0.973
OHE_SEC_001_0032,SEC_001,1.006
OHE_SEC_001_0033,SEC_001,1.038
OHE_SEC_001_0034,SEC_001,1.071
OHE_SEC_001_0035,SEC_001,1.103
OHE_SEC_001_0036,SEC_001,1.135
OHE_SEC_001_0037,SEC_001,1.168
OHE_SEC_001_0038,SEC_001,1.2
OHE_SEC_001_0039,SEC_001,1.233
OHE_SEC_001_0040,SEC_001,1.265
OHE_SEC_001_0041,SEC_001,1.298
OHE_SEC_001_0042,SEC_001,1.33
OHE_SEC_001_0043,SEC_001,1.362
OHE_SEC_001_0044,SEC_001,1.395
OHE_SEC_001_0045,SEC_001,1.428
OHE_SEC_001_0046,SEC_001,1.46
OHE_SEC_001_0047,SEC_001,1.492
OHE_SEC_001_0048,SEC_001,1.525
OHE_SEC_001_0049,SEC_001,1.557
OHE_SEC_001_0050,SEC_001,1.589
OHE_SEC_001_0051,SEC_001,1.622
OHE_SEC_001_0052,SEC_001,1.655
OHE_SEC_001_0053,SEC_001,1.687
OHE_SEC_001_0054,SEC_001,1.719
OHE_SEC_001_0055,SEC_001,1.752
OHE_SEC_001_0056,SEC_001,1.784
OHE_SEC_001_0057,SEC_001,1.817
OHE_SEC_001_0058,SEC_001,1.849
OHE_SEC_001_0059,SEC_001,1.882
OHE_SEC_001_0060,SEC_001,1.914
OHE_SEC_001_0061,SEC_001,1.946
OHE_SEC_001_0062,SEC_001,1.979
