task_id,department,section_id,location_reference_type,location_reference_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status,overdue_days,required_resource_type,estimated_duration_minutes,gps_latitude,gps_longitude,mapped_chainage_km,spatial_mapping_method,spatial_mapping_confidence,spatial_mapping_status,spatial_error_estimate_km
SMMS_TASK_000001,S&T,SEC_004,SIGNAL,SIG_SEC_004_0016,,,Point Machine Issue,C,2024-09-26,2024-10-07,0,Open,85,S&T crew,90,28.36695,77.614768,25.232,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000002,S&T,SEC_038,SIGNAL,SIG_SEC_038_0132,,,Cable Fault,C,2024-11-18,2024-12-16,0,Deferred,15,S&T crew,120,26.92608,79.674299,156.875,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000003,S&T,SEC_031,SIGNAL,SIG_SEC_031_0112,,,Axle Counter Error,B,2024-07-28,2024-08-12,0,Completed,141,S&T crew,45,27.120103,79.399134,139.262,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000004,S&T,SEC_020,SIGNAL,SIG_SEC_020_0075,,,Interlocking Fault,A,2024-05-31,2024-06-05,0,Open,209,S&T crew,150,27.672771,78.605484,88.519,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000005,S&T,SEC_019,SIGNAL,SIG_SEC_019_0074,,,Interlocking Fault,A,2024-01-02,2024-01-05,0,Completed,361,S&T crew,150,27.682846,78.592731,87.688,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000006,S&T,SEC_042,SIGNAL,SIG_SEC_042_0146,,,Track Circuit Failure,B,2024-08-12,2024-08-23,3,Deferred,130,S&T crew,60,26.827066,79.814244,165.816,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000007,S&T,SEC_004,SIGNAL,SIG_SEC_004_0015,,,Axle Counter Error,A,2024-11-28,2024-11-29,0,Open,32,S&T crew,45,28.386885,77.586105,23.377,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000008,S&T,SEC_034,SIGNAL,SIG_SEC_034_0119,,,Point Machine Issue,C,2024-02-21,2024-03-08,4,Deferred,298,S&T crew,90,26.986153,79.589903,151.391,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000009,S&T,SEC_010,SIGNAL,SIG_SEC_010_0035,,,Interlocking Fault,B,2024-03-30,2024-04-10,0,Open,265,S&T crew,150,28.13849,77.938519,45.959,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
SMMS_TASK_000010,S&T,SEC_004,SIGNAL,SIG_SEC_004_0017,,,Axle Counter Error,B,2024-07-11,2024-07-19,0,Completed,165,S&T crew,45,28.366746,77.615061,25.251,SIGNAL_ASSET_REFERENCE,0.95,HIGH_CONFIDENCE,0.0
