train_number,train_name,station_code,station_name,arrival_time,departure_time,day,sequence,distance_km,source_station_code,source_station_name,destination_station_code,destination_station_name,source,source_url
6001.0,Ms-Ten Speci,MS,Chennai Egmo,21:50:00,21:50:00,,1.0,0.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,TBM,Tambaram,22:18:00,22:20:00,,2.0,24.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,CGL,Chengalpattu,22:48:00,22:50:00,,3.0,55.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,VM,Villupuram J,00:25:00,00:30:00,,4.0,158.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,VRI,Vridha Chala,01:20:00,01:22:00,,5.0,212.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,TPJ,Tiruchirappa,04:00:00,04:10:00,,6.0,335.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,DG,Dindigul Jn,05:15:00,05:17:00,,7.0,429.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,KQN,Kodaikkanal,05:33:00,05:35:00,,8.0,451.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,MDU,Madurai Jn,06:30:00,06:35:00,,9.0,492.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,VPT,Virudunagar,07:20:00,07:22:00,,10.0,535.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,SRT,Satur,07:40:00,07:42:00,,11.0,562.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,CVP,Kovilpatti,07:58:00,08:00:00,,12.0,584.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,MEJ,Vanchi Maniy,08:38:00,08:40:00,,13.0,620.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6001.0,Ms-Ten Speci,TEN,Tirunelveli,10:30:00,10:30:00,,14.0,649.0,MS,Chennai Egmore,TEN,Tirunelveli Jn,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,TEN,Tirunelveli,15:00:00,15:00:00,,1.0,0.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,MEJ,Vanchi Maniy,15:25:00,15:27:00,,2.0,28.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,CVP,Kovilpatti,15:58:00,16:00:00,,3.0,65.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,SRT,Satur,16:18:00,16:20:00,,4.0,86.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,VPT,Virudunagar,16:48:00,16:50:00,,5.0,113.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,MDU,Madurai Jn,17:35:00,17:40:00,,6.0,156.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,KQN,Kodaikkanal,18:13:00,18:15:00,,7.0,196.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,DG,Dindigul Jn,18:35:00,18:40:00,,8.0,218.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,TPJ,Tiruchirappa,20:35:00,20:50:00,,9.0,313.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,VRI,Vridha Chala,22:33:00,22:35:00,,10.0,436.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,VM,Villupuram J,23:40:00,23:45:00,,11.0,490.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,CGL,Chengalpattu,01:55:00,02:00:00,,12.0,593.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,TBM,Tambaram,02:30:00,02:32:00,,13.0,624.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,MBM,Mambalam,02:53:00,02:55:00,,14.0,642.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
6002.0,Ten - Ms Spe,MS,Chennai Egmo,03:30:00,03:30:00,,15.0,649.0,TEN,Tirunelveli Jn,MS,Chennai Egmore,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,MS,Chennai Egmo,15:45:00,15:45:00,,1.0,0.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
12605.0,Ms-Kkdi Pall,TBM,Tambaram,16:13:00,16:15:00,,2.0,24.0,MS,Chennai Egmore,KKDI,Karaikkudi,OGD_Train_details_22122017,https://data.gov.in/resource/train-details
