train_number,train_name,from_station_code,from_station_name,to_station_code,to_station_name,depart_from,arrive_at,from_seq,to_seq,from_distance_km,to_distance_km,section_distance_km,source
6001.0,Ms-Ten Speci,MS,Chennai Egmo,TBM,Tambaram,21:50:00,22:18:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,TBM,Tambaram,CGL,Chengalpattu,22:20:00,22:48:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,CGL,Chengalpattu,VM,Villupuram J,22:50:00,00:25:00,3.0,4.0,55.0,158.0,103.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,VM,Villupuram J,VRI,Vridha Chala,00:30:00,01:20:00,4.0,5.0,158.0,212.0,54.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,VRI,Vridha Chala,TPJ,Tiruchirappa,01:22:00,04:00:00,5.0,6.0,212.0,335.0,123.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,TPJ,Tiruchirappa,DG,Dindigul Jn,04:10:00,05:15:00,6.0,7.0,335.0,429.0,94.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,DG,Dindigul Jn,KQN,Kodaikkanal,05:17:00,05:33:00,7.0,8.0,429.0,451.0,22.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,KQN,Kodaikkanal,MDU,Madurai Jn,05:35:00,06:30:00,8.0,9.0,451.0,492.0,41.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,MDU,Madurai Jn,VPT,Virudunagar,06:35:00,07:20:00,9.0,10.0,492.0,535.0,43.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,VPT,Virudunagar,SRT,Satur,07:22:00,07:40:00,10.0,11.0,535.0,562.0,27.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,SRT,Satur,CVP,Kovilpatti,07:42:00,07:58:00,11.0,12.0,562.0,584.0,22.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,CVP,Kovilpatti,MEJ,Vanchi Maniy,08:00:00,08:38:00,12.0,13.0,584.0,620.0,36.0,derived_from_OGD_timetable
6001.0,Ms-Ten Speci,MEJ,Vanchi Maniy,TEN,Tirunelveli,08:40:00,10:30:00,13.0,14.0,620.0,649.0,29.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,TEN,Tirunelveli,MEJ,Vanchi Maniy,15:00:00,15:25:00,1.0,2.0,0.0,28.0,28.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,MEJ,Vanchi Maniy,CVP,Kovilpatti,15:27:00,15:58:00,2.0,3.0,28.0,65.0,37.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,CVP,Kovilpatti,SRT,Satur,16:00:00,16:18:00,3.0,4.0,65.0,86.0,21.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,SRT,Satur,VPT,Virudunagar,16:20:00,16:48:00,4.0,5.0,86.0,113.0,27.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,VPT,Virudunagar,MDU,Madurai Jn,16:50:00,17:35:00,5.0,6.0,113.0,156.0,43.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,MDU,Madurai Jn,KQN,Kodaikkanal,17:40:00,18:13:00,6.0,7.0,156.0,196.0,40.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,KQN,Kodaikkanal,DG,Dindigul Jn,18:15:00,18:35:00,7.0,8.0,196.0,218.0,22.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,DG,Dindigul Jn,TPJ,Tiruchirappa,18:40:00,20:35:00,8.0,9.0,218.0,313.0,95.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,TPJ,Tiruchirappa,VRI,Vridha Chala,20:50:00,22:33:00,9.0,10.0,313.0,436.0,123.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,VRI,Vridha Chala,VM,Villupuram J,22:35:00,23:40:00,10.0,11.0,436.0,490.0,54.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,VM,Villupuram J,CGL,Chengalpattu,23:45:00,01:55:00,11.0,12.0,490.0,593.0,103.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,CGL,Chengalpattu,TBM,Tambaram,02:00:00,02:30:00,12.0,13.0,593.0,624.0,31.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,TBM,Tambaram,MBM,Mambalam,02:32:00,02:53:00,13.0,14.0,624.0,642.0,18.0,derived_from_OGD_timetable
6002.0,Ten - Ms Spe,MBM,Mambalam,MS,Chennai Egmo,02:55:00,03:30:00,14.0,15.0,642.0,649.0,7.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,MS,Chennai Egmo,TBM,Tambaram,15:45:00,16:13:00,1.0,2.0,0.0,24.0,24.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,TBM,Tambaram,CGL,Chengalpattu,16:15:00,16:43:00,2.0,3.0,24.0,55.0,31.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,CGL,Chengalpattu,MLMR,Melmaruvathu,16:45:00,17:08:00,3.0,4.0,55.0,91.0,36.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,MLMR,Melmaruvathu,VM,Villupuram J,17:10:00,18:05:00,4.0,5.0,91.0,158.0,67.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,VM,Villupuram J,VRI,Vridha Chala,18:10:00,18:45:00,5.0,6.0,158.0,212.0,54.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,VRI,Vridha Chala,ALU,Ariyalur,18:47:00,19:26:00,6.0,7.0,212.0,266.0,54.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,ALU,Ariyalur,LLI,Lalgudi,19:27:00,20:01:00,7.0,8.0,266.0,309.0,43.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,LLI,Lalgudi,SRGM,Srirangam,20:02:00,20:17:00,8.0,9.0,309.0,324.0,15.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,SRGM,Srirangam,GOC,Ponmalai (Go,20:18:00,20:32:00,9.0,10.0,324.0,333.0,9.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,GOC,Ponmalai (Go,TPJ,Tiruchirappa,20:33:00,21:00:00,10.0,11.0,333.0,335.0,2.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,TPJ,Tiruchirappa,PDKT,Pudukkottai,21:10:00,21:59:00,11.0,12.0,335.0,388.0,53.0,derived_from_OGD_timetable
12605.0,Ms-Kkdi Pall,PDKT,Pudukkottai,KKDI,Karaikkudi,22:00:00,23:00:00,12.0,13.0,388.0,425.0,37.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,KKDI,Karaikkudi,PDKT,Pudukkottai,05:05:00,05:34:00,1.0,2.0,0.0,36.0,36.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,PDKT,Pudukkottai,TPJ,Tiruchirappa,05:35:00,06:30:00,2.0,3.0,36.0,89.0,53.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,TPJ,Tiruchirappa,SRGM,Srirangam,06:40:00,06:58:00,3.0,4.0,89.0,101.0,12.0,derived_from_OGD_timetable
12606.0,Kkdi-Ms Pall,SRGM,Srirangam,LLI,Lalgudi,07:00:00,07:14:00,4.0,5.0,101.0,116.0,15.0,derived_from_OGD_timetable
