financial_year,track_type,metric,value,unit,aggregation_level,source,source_url
1950-51,broad_gauge,train_km_per_running_track_km_per_day,17.0,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1950-51,broad_gauge,passenger_km_per_route_km_per_annum,1765.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1950-51,broad_gauge,net_tonne_km_per_route_km_per_annum,1502.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1950-51,meter_gauge,train_km_per_running_track_km_per_day,10.5,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1950-51,meter_gauge,passenger_km_per_route_km_per_annum,853.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1950-51,meter_gauge,net_tonne_km_per_route_km_per_annum,245.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,broad_gauge,train_km_per_running_track_km_per_day,18.7,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,broad_gauge,passenger_km_per_route_km_per_annum,1619.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,broad_gauge,net_tonne_km_per_route_km_per_annum,1942.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,meter_gauge,train_km_per_running_track_km_per_day,11.7,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,meter_gauge,passenger_km_per_route_km_per_annum,778.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1955-56,meter_gauge,net_tonne_km_per_route_km_per_annum,359.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,broad_gauge,train_km_per_running_track_km_per_day,20.4,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,broad_gauge,passenger_km_per_route_km_per_annum,2027.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,broad_gauge,net_tonne_km_per_route_km_per_annum,2764.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,meter_gauge,train_km_per_running_track_km_per_day,13.4,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,meter_gauge,passenger_km_per_route_km_per_annum,887.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1960-61,meter_gauge,net_tonne_km_per_route_km_per_annum,543.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,broad_gauge,train_km_per_running_track_km_per_day,20.3,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,broad_gauge,passenger_km_per_route_km_per_annum,2122.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,broad_gauge,net_tonne_km_per_route_km_per_annum,2809.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,meter_gauge,train_km_per_running_track_km_per_day,13.7,train_km/running_track_km/day,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,meter_gauge,passenger_km_per_route_km_per_annum,927.0,000s_passenger_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
1961-62,meter_gauge,net_tonne_km_per_route_km_per_annum,596.0,000s_net_tonne_km/route_km/year,national,OGD_68_Railway_Key_Statistics_1950-51_to_2013-14,https://data.gov.in/resource/railway-key-statistics
