date,festival_name,festival_type,tier,state,district,location,duration_days,is_public_holiday,estimated_traffic_multiplier,impact_level,location_scope,source_type,source,source_url
2024-01-01,New Year's Day,Public Holiday,Tier 1,Tamil Nadu,All,Statewide,1,True,1.3,MEDIUM,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-01-14,Bhogi Pongal,Cultural/Harvest,Tier 1,Tamil Nadu,All,Statewide,1,False,1.65,CRITICAL,Corridor,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-01-15,Thai Pongal,Cultural/Harvest,Tier 1,Tamil Nadu,All,Statewide,1,True,1.8,CRITICAL,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-01-16,Mattu Pongal,Cultural/Harvest,Tier 1,Tamil Nadu,All,Statewide (Jallikattu Hub Madurai),1,True,1.75,CRITICAL,Corridor (Madurai),CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-01-17,Uzhavar Thirunal / Kaanum Pongal,Cultural,Tier 1,Tamil Nadu,All,Statewide,1,True,1.7,CRITICAL,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-01-25,Thaipusam,Religious,Tier 2,Tamil Nadu,Dindigul & Madurai,Palani & Madurai Region,1,True,1.45,HIGH,Corridor (DG-MDU),CALIBRATED_SYNTHETIC,TN HR&CE Department,https://hrce.tn.gov.in
2024-01-26,Republic Day,National Holiday,Tier 1,National,All,National,1,True,1.25,MEDIUM,National,CALIBRATED_SYNTHETIC,Govt of India Public Holidays,https://persmin.gov.in
2024-03-08,Maha Shivaratri,Religious,Tier 2,Tamil Nadu,All,Statewide,1,False,1.3,MEDIUM,Statewide,CALIBRATED_SYNTHETIC,TN HR&CE Department,https://hrce.tn.gov.in
2024-03-29,Good Friday,Religious,Tier 1,Tamil Nadu,All,Statewide (Thoothukudi & Chennai),1,True,1.35,HIGH,Corridor,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-04-11,Eid-ul-Fitr (Ramzan),Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.35,HIGH,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-04-14,Tamil New Year (Puthandu) & Dr. B.R. Ambedkar Jayanthi,Cultural/National,Tier 1,Tamil Nadu,All,Statewide,1,True,1.4,HIGH,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-04-21,Madurai Chithirai Thiruvizha (Flag Hoisting),Regional Temple,Tier 2,Tamil Nadu,Madurai,Madurai Meenakshi Amman Temple,12,False,1.45,HIGH,Corridor (MDU Section),CALIBRATED_SYNTHETIC,Madurai Meenakshi Temple Administration,https://maduraimeenakshi.hrce.tn.gov.in
2024-04-23,Madurai Chithirai Thiruvizha - Lord Kallazhagar Entry into Vaigai River,Regional Temple,Tier 2,Tamil Nadu,Madurai,Madurai Vaigai River,1,True,1.7,CRITICAL,Corridor (MDU),CALIBRATED_SYNTHETIC,Madurai District Administration Gazette,https://madurai.nic.in
2024-06-17,Bakrid (Eid al-Adha),Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.3,MEDIUM,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-07-17,Muharram,Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.2,LOW,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-08-15,Independence Day,National Holiday,Tier 1,National,All,National,1,True,1.25,MEDIUM,National,CALIBRATED_SYNTHETIC,Govt of India Public Holidays,https://persmin.gov.in
2024-08-26,Krishna Jayanthi / Gokulashtami,Religious,Tier 2,Tamil Nadu,All,Statewide,1,True,1.3,MEDIUM,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-09-07,Vinayagar Chaturthi,Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.5,HIGH,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-09-16,Milad-un-Nabi,Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.25,MEDIUM,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-10-02,Gandhi Jayanthi,National Holiday,Tier 1,National,All,National,1,True,1.25,MEDIUM,National,CALIBRATED_SYNTHETIC,Govt of India Public Holidays,https://persmin.gov.in
2024-10-11,Ayudha Pooja,Cultural/Religious,Tier 1,Tamil Nadu,All,Statewide,1,True,1.55,CRITICAL,Statewide,CALIBRATED_SYNTHETIC,TN Govt Gazette G.O. Ms. No. 675,https://www.tn.gov.in
2024-10-12,Vijaya Dasami / Kulasekharapatnam Dasara,Cultural/Regional Temple,Tier 2,Tamil Nadu,Thoothukudi,Kulasekharapatnam Mutharamman Temple (Thoothukudi),1,True,1.65,CRITICAL,Corridor (Thoothukudi),CALIBRATED_SYNTHETIC,Thoothukudi District Administration Gazette,https://thoothukudi.nic.in
