date,season,risk_factor,operational_speed_penalty
2024-01-01,Winter-Fog,1.35,0.25
2024-01-02,Winter-Fog,1.35,0.25
2024-01-03,Winter-Fog,1.35,0.25
2024-01-04,Winter-Fog,1.35,0.25
2024-01-05,Winter-Fog,1.35,0.25
2024-01-06,Winter-Fog,1.35,0.25
2024-01-07,Winter-Fog,1.35,0.25
2024-01-08,Winter-Fog,1.35,0.25
2024-01-09,Winter-Fog,1.35,0.25
2024-01-10,Winter-Fog,1.35,0.25
2024-01-11,Winter-Fog,1.35,0.25
2024-01-12,Winter-Fog,1.35,0.25
2024-01-13,Winter-Fog,1.35,0.25
2024-01-14,Winter-Fog,1.35,0.25
2024-01-15,Winter-Fog,1.35,0.25
2024-01-16,Winter-Fog,1.35,0.25
2024-01-17,Winter-Fog,1.35,0.25
2024-01-18,Winter-Fog,1.35,0.25
2024-01-19,Winter-Fog,1.35,0.25
2024-01-20,Winter-Fog,1.35,0.25
2024-01-21,Winter-Fog,1.35,0.25
2024-01-22,Winter-Fog,1.35,0.25
2024-01-23,Winter-Fog,1.35,0.25
2024-01-24,Winter-Fog,1.35,0.25
2024-01-25,Winter-Fog,1.35,0.25
2024-01-26,Winter-Fog,1.35,0.25
2024-01-27,Winter-Fog,1.35,0.25
2024-01-28,Winter-Fog,1.35,0.25
2024-01-29,Winter-Fog,1.35,0.25
2024-01-30,Winter-Fog,1.35,0.25
2024-01-31,Winter-Fog,1.35,0.25
2024-02-01,Pre-Monsoon,1.0,0.0
2024-02-02,Pre-Monsoon,1.0,0.0
2024-02-03,Pre-Monsoon,1.0,0.0
2024-02-04,Pre-Monsoon,1.0,0.0
2024-02-05,Pre-Monsoon,1.0,0.0
2024-02-06,Pre-Monsoon,1.0,0.0
2024-02-07,Pre-Monsoon,1.0,0.0
2024-02-08,Pre-Monsoon,1.0,0.0
2024-02-09,Pre-Monsoon,1.0,0.0
2024-02-10,Pre-Monsoon,1.0,0.0
2024-02-11,Pre-Monsoon,1.0,0.0
2024-02-12,Pre-Monsoon,1.0,0.0
2024-02-13,Pre-Monsoon,1.0,0.0
2024-02-14,Pre-Monsoon,1.0,0.0
2024-02-15,Pre-Monsoon,1.0,0.0
2024-02-16,Pre-Monsoon,1.0,0.0
2024-02-17,Pre-Monsoon,1.0,0.0
2024-02-18,Pre-Monsoon,1.0,0.0
2024-02-19,Pre-Monsoon,1.0,0.0
2024-02-20,Pre-Monsoon,1.0,0.0
2024-02-21,Pre-Monsoon,1.0,0.0
2024-02-22,Pre-Monsoon,1.0,0.0
2024-02-23,Pre-Monsoon,1.0,0.0
2024-02-24,Pre-Monsoon,1.0,0.0
2024-02-25,Pre-Monsoon,1.0,0.0
2024-02-26,Pre-Monsoon,1.0,0.0
2024-02-27,Pre-Monsoon,1.0,0.0
2024-02-28,Pre-Monsoon,1.0,0.0
