task_id,section_id,start_km,end_km,defect_type,severity_class,logged_date,target_completion_date,deferred_count,status
TMS_TASK_000001,SEC_005,26.497,26.676,Weld Failure,A,2024-06-26,2024-07-03,0,Deferred
TMS_TASK_000002,SEC_038,158.913,160.218,Weld Failure,A,2024-08-09,2024-08-14,0,In-Progress
TMS_TASK_000003,SEC_033,149.782,150.65,Ballast Issue,C,2024-06-28,2024-08-09,4,Deferred
TMS_TASK_000004,SEC_022,92.12,92.881,Rail Fracture Risk,A,2024-09-24,2024-10-01,0,Deferred
TMS_TASK_000005,SEC_022,91.948,92.776,Rail Fracture Risk,A,2024-05-30,2024-06-01,0,Open
TMS_TASK_000006,SEC_043,169.087,169.536,Weld Failure,A,2024-11-27,2024-12-03,0,Completed
TMS_TASK_000007,SEC_005,26.411,26.59,Deep Screening Overdue,B,2024-09-07,2024-09-17,0,Deferred
TMS_TASK_000008,SEC_035,152.259,153.303,Ballast Issue,C,2024-01-13,2024-02-17,1,In-Progress
TMS_TASK_000009,SEC_010,45.949,45.982,Track Parameter Deviation,B,2024-03-07,2024-03-15,0,In-Progress
TMS_TASK_000010,SEC_005,26.488,26.667,Track Parameter Deviation,C,2024-04-17,2024-05-25,2,In-Progress
TMS_TASK_000011,SEC_026,119.933,120.588,Ballast Issue,C,2024-03-11,2024-04-19,0,Open
TMS_TASK_000012,SEC_048,193.231,193.719,Rail Fracture Risk,A,2024-10-19,2024-10-23,0,Completed
TMS_TASK_000013,SEC_037,155.218,155.978,Ballast Issue,C,2024-01-07,2024-01-30,3,Deferred
TMS_TASK_000014,SEC_038,157.129,157.855,Weld Failure,A,2024-10-19,2024-10-20,0,Completed
TMS_TASK_000015,SEC_036,154.259,154.698,Weld Failure,B,2024-05-19,2024-05-27,0,Open
TMS_TASK_000016,SEC_039,161.346,162.412,Ballast Issue,C,2024-07-30,2024-08-27,0,Deferred
TMS_TASK_000017,SEC_026,125.049,125.484,Deep Screening Overdue,B,2024-03-11,2024-03-22,0,Completed
TMS_TASK_000018,SEC_007,32.923,33.397,Track Parameter Deviation,A,2024-01-23,2024-01-26,0,Open
TMS_TASK_000019,SEC_042,165.8,165.841,Weld Failure,B,2024-12-24,2025-01-06,0,Completed
TMS_TASK_000020,SEC_023,93.419,93.7,Track Parameter Deviation,B,2024-08-02,2024-08-20,0,In-Progress
TMS_TASK_000021,SEC_025,101.338,102.391,Deep Screening Overdue,B,2024-07-12,2024-07-21,1,Deferred
TMS_TASK_000022,SEC_019,87.613,87.784,Rail Fracture Risk,A,2024-10-28,2024-10-31,0,In-Progress
TMS_TASK_000023,SEC_009,44.357,44.433,Rail Fracture Risk,A,2024-04-22,2024-04-29,0,Open
TMS_TASK_000024,SEC_046,188.238,188.48,Weld Failure,C,2024-01-08,2024-01-26,4,Deferred
TMS_TASK_000025,SEC_039,162.476,163.734,Track Parameter Deviation,A,2024-06-09,2024-06-12,0,In-Progress
TMS_TASK_000026,SEC_032,146.696,147.103,Ballast Issue,C,2024-03-18,2024-04-19,0,In-Progress
TMS_TASK_000027,SEC_020,88.313,88.762,Weld Failure,B,2024-01-15,2024-01-24,0,In-Progress
TMS_TASK_000028,SEC_041,164.912,165.37,Deep Screening Overdue,B,2024-11-06,2024-11-18,1,Deferred
TMS_TASK_000029,SEC_027,126.1,127.307,Ballast Issue,B,2024-10-14,2024-10-31,0,Completed
TMS_TASK_000030,SEC_022,91.222,91.77,Track Parameter Deviation,C,2024-03-26,2024-05-07,3,Deferred
TMS_TASK_000031,SEC_023,93.477,93.757,Ballast Issue,C,2024-12-02,2025-01-12,0,In-Progress
TMS_TASK_000032,SEC_012,61.881,62.111,Ballast Issue,C,2024-01-22,2024-02-10,0,Deferred
TMS_TASK_000033,SEC_005,26.451,26.63,Deep Screening Overdue,C,2024-01-28,2024-03-12,0,Open
TMS_TASK_000034,SEC_028,132.113,133.287,Weld Failure,A,2024-09-20,2024-09-26,0,Completed
TMS_TASK_000035,SEC_044,173.088,173.463,Weld Failure,A,2024-03-25,2024-03-28,0,In-Progress
TMS_TASK_000036,SEC_004,22.538,23.943,Ballast Issue,C,2024-10-10,2024-10-24,0,Open
TMS_TASK_000037,SEC_043,166.61,167.067,Track Parameter Deviation,A,2024-08-11,2024-08-14,0,Completed
TMS_TASK_000038,SEC_041,165.116,165.574,Rail Fracture Risk,A,2024-05-26,2024-06-02,1,Deferred
TMS_TASK_000039,SEC_014,68.3,69.601,Deep Screening Overdue,B,2024-06-17,2024-07-01,0,Open
TMS_TASK_000040,SEC_031,139.325,139.611,Weld Failure,B,2024-09-21,2024-10-09,2,Deferred
TMS_TASK_000041,SEC_009,44.013,44.58,Ballast Issue,C,2024-12-12,2025-01-04,0,In-Progress
TMS_TASK_000042,SEC_038,159.328,160.036,Ballast Issue,C,2024-07-28,2024-08-22,1,In-Progress
TMS_TASK_000043,SEC_035,152.279,153.058,Rail Fracture Risk,A,2024-09-06,2024-09-10,0,Deferred
TMS_TASK_000044,SEC_018,85.232,86.335,Ballast Issue,B,2024-03-31,2024-04-09,3,In-Progress
TMS_TASK_000045,SEC_004,22.247,23.531,Ballast Issue,B,2024-03-27,2024-04-12,0,Open
TMS_TASK_000046,SEC_048,193.271,193.758,Deep Screening Overdue,C,2024-06-01,2024-07-16,1,Deferred
TMS_TASK_000047,SEC_022,93.09,93.197,Weld Failure,A,2024-05-25,2024-05-26,0,Completed
TMS_TASK_000048,SEC_044,174.31,175.411,Deep Screening Overdue,C,2024-08-11,2024-08-31,0,Completed
TMS_TASK_000049,SEC_034,151.108,151.411,Ballast Issue,B,2024-12-04,2024-12-14,4,Deferred
TMS_TASK_000050,SEC_039,162.974,163.682,Ballast Issue,C,2024-11-06,2024-11-29,0,Deferred
TMS_TASK_000051,SEC_038,158.373,159.093,Track Parameter Deviation,B,2024-11-16,2024-12-04,0,Open
TMS_TASK_000052,SEC_010,45.931,45.964,Deep Screening Overdue,C,2024-03-28,2024-04-29,0,Open
TMS_TASK_000053,SEC_018,78.514,79.033,Weld Failure,B,2024-04-06,2024-04-22,3,Deferred
TMS_TASK_000054,SEC_023,93.686,93.967,Weld Failure,B,2024-02-17,2024-02-27,2,Deferred
TMS_TASK_000055,SEC_025,108.103,108.679,Deep Screening Overdue,C,2024-10-12,2024-11-09,2,Open
TMS_TASK_000056,SEC_003,16.615,16.727,Track Parameter Deviation,B,2024-11-13,2024-11-23,4,Deferred
TMS_TASK_000057,SEC_027,126.522,127.521,Weld Failure,C,2024-05-05,2024-06-04,0,In-Progress
TMS_TASK_000058,SEC_008,38.696,38.889,Deep Screening Overdue,B,2024-12-14,2024-12-21,4,Open
TMS_TASK_000059,SEC_037,156.336,156.488,Weld Failure,A,2024-11-19,2024-11-24,0,Completed
TMS_TASK_000060,SEC_034,151.139,151.196,Track Parameter Deviation,B,2024-01-20,2024-01-27,0,In-Progress
TMS_TASK_000061,SEC_046,186.556,187.76,Weld Failure,B,2024-08-15,2024-09-03,3,Deferred
TMS_TASK_000062,SEC_037,155.409,155.988,Ballast Issue,C,2024-12-18,2025-01-13,3,In-Progress
TMS_TASK_000063,SEC_018,85.609,86.951,Ballast Issue,C,2024-01-04,2024-02-16,0,Deferred
TMS_TASK_000064,SEC_048,193.348,193.835,Track Parameter Deviation,B,2024-09-28,2024-10-15,0,Deferred
TMS_TASK_000065,SEC_021,89.657,89.997,Deep Screening Overdue,B,2024-03-08,2024-03-23,0,Open
TMS_TASK_000066,SEC_016,74.363,74.396,Rail Fracture Risk,A,2024-12-03,2024-12-05,2,Deferred
TMS_TASK_000067,SEC_045,180.094,180.982,Ballast Issue,B,2024-12-26,2025-01-06,0,Open
TMS_TASK_000068,SEC_019,87.667,87.739,Weld Failure,B,2024-01-10,2024-01-26,0,Completed
TMS_TASK_000069,SEC_004,24.255,25.603,Ballast Issue,B,2024-09-24,2024-10-15,0,In-Progress
TMS_TASK_000070,SEC_024,94.284,94.485,Ballast Issue,B,2024-12-10,2024-12-17,0,Completed
TMS_TASK_000071,SEC_039,161.358,161.515,Rail Fracture Risk,A,2024-06-06,2024-06-09,0,Open
TMS_TASK_000072,SEC_010,45.93,45.962,Rail Fracture Risk,A,2024-03-07,2024-03-11,0,In-Progress
TMS_TASK_000073,SEC_023,93.647,93.927,Deep Screening Overdue,B,2024-09-20,2024-10-06,1,Deferred
TMS_TASK_000074,SEC_007,35.695,37.091,Ballast Issue,B,2024-01-29,2024-02-06,0,Open
TMS_TASK_000075,SEC_034,151.339,151.642,Deep Screening Overdue,B,2024-12-22,2025-01-08,1,In-Progress
TMS_TASK_000076,SEC_024,94.079,94.688,Rail Fracture Risk,B,2024-11-11,2024-12-01,0,Completed
TMS_TASK_000077,SEC_017,75.917,76.224,Deep Screening Overdue,A,2024-12-23,2024-12-30,3,Open
TMS_TASK_000078,SEC_012,58.199,59.251,Weld Failure,B,2024-10-18,2024-10-26,0,Completed
TMS_TASK_000079,SEC_028,132.296,133.138,Ballast Issue,C,2024-09-11,2024-10-16,0,In-Progress
TMS_TASK_000080,SEC_033,149.216,149.448,Ballast Issue,B,2024-06-12,2024-06-23,1,Deferred
TMS_TASK_000081,SEC_047,192.671,192.986,Deep Screening Overdue,B,2024-01-29,2024-02-05,0,Completed
TMS_TASK_000082,SEC_022,92.325,92.417,Track Parameter Deviation,A,2024-11-06,2024-11-10,0,Completed
TMS_TASK_000083,SEC_008,38.633,39.144,Weld Failure,B,2024-05-16,2024-05-29,0,Open
TMS_TASK_000084,SEC_041,165.11,165.473,Ballast Issue,C,2024-11-19,2024-12-31,0,Completed
TMS_TASK_000085,SEC_031,139.312,139.599,Rail Fracture Risk,A,2024-03-25,2024-03-31,0,Completed
TMS_TASK_000086,SEC_035,152.737,154.006,Rail Fracture Risk,A,2024-01-04,2024-01-11,0,In-Progress
TMS_TASK_000087,SEC_005,26.507,26.686,Rail Fracture Risk,A,2024-04-30,2024-05-05,0,Completed
TMS_TASK_000088,SEC_016,74.367,74.401,Track Parameter Deviation,B,2024-01-23,2024-02-02,0,Open
TMS_TASK_000089,SEC_038,157.842,158.813,Rail Fracture Risk,A,2024-10-05,2024-10-09,0,Deferred
TMS_TASK_000090,SEC_041,165.208,165.666,Track Parameter Deviation,B,2024-08-02,2024-08-15,0,Completed
TMS_TASK_000091,SEC_022,92.126,92.196,Rail Fracture Risk,A,2024-03-07,2024-03-11,0,Open
TMS_TASK_000092,SEC_040,164.14,164.412,Ballast Issue,C,2024-01-16,2024-02-23,4,Deferred
TMS_TASK_000093,SEC_042,165.827,165.869,Track Parameter Deviation,A,2024-01-06,2024-01-10,0,Open
TMS_TASK_000094,SEC_019,87.696,87.867,Rail Fracture Risk,A,2024-08-22,2024-08-23,0,Completed
TMS_TASK_000095,SEC_045,179.242,179.781,Deep Screening Overdue,B,2024-09-01,2024-09-14,0,In-Progress
TMS_TASK_000096,SEC_015,71.418,72.098,Weld Failure,B,2024-05-05,2024-05-21,0,Deferred
TMS_TASK_000097,SEC_012,59.844,61.082,Weld Failure,A,2024-11-16,2024-11-21,0,Completed
TMS_TASK_000098,SEC_034,151.342,151.645,Deep Screening Overdue,B,2024-07-03,2024-07-17,4,Deferred
TMS_TASK_000099,SEC_032,143.333,143.976,Ballast Issue,B,2024-08-17,2024-08-26,0,Deferred
TMS_TASK_000100,SEC_007,36.227,36.644,Ballast Issue,C,2024-12-01,2025-01-02,4,In-Progress
TMS_TASK_000101,SEC_041,165.134,165.592,Track Parameter Deviation,B,2024-02-13,2024-02-27,0,Completed
TMS_TASK_000102,SEC_010,45.951,45.984,Ballast Issue,C,2024-09-29,2024-10-23,2,Deferred
