event_id,event_type,section_id,detected_at,affected_block_id,impact_description,severity
DIS_000001,Emergency Defect,SEC_005,2024-02-01 04:59:00,SLOT_028315,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low
DIS_000002,Late Train,SEC_038,2024-11-21 21:44:00,,Late express train delay cascading in section SEC_038 (Severity Medium),Medium
DIS_000003,Late Train,SEC_033,2024-03-06 21:19:00,,Late express train delay cascading in section SEC_033 (Severity Low),Low
DIS_000004,Machine Breakdown,SEC_022,2024-12-06 03:03:00,SLOT_018995,Tamping/BCM machine breakdown during block operation in SEC_022,Medium
DIS_000005,Emergency Defect,SEC_022,2024-05-31 16:09:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_022,Medium
DIS_000006,Late Train,SEC_043,2024-03-03 15:15:00,,Late express train delay cascading in section SEC_043 (Severity High),High
DIS_000007,Emergency Defect,SEC_005,2024-01-17 10:03:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low
DIS_000008,Emergency Defect,SEC_035,2024-11-18 15:47:00,SLOT_028230,Emergency rail/OHE defect detected requiring urgent track access in SEC_035,Low
DIS_000009,Machine Breakdown,SEC_010,2024-09-22 13:58:00,SLOT_014884,Tamping/BCM machine breakdown during block operation in SEC_010,Low
DIS_000010,Emergency Defect,SEC_005,2024-06-05 09:37:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_005,Low
DIS_000011,Late Train,SEC_026,2024-12-07 01:42:00,,Late express train delay cascading in section SEC_026 (Severity Medium),Medium
DIS_000012,Late Train,SEC_048,2024-11-07 11:42:00,SLOT_018873,Late express train delay cascading in section SEC_048 (Severity Low),Low
DIS_000013,Late Train,SEC_037,2024-03-05 23:49:00,SLOT_047791,Late express train delay cascading in section SEC_037 (Severity High),High
DIS_000014,Emergency Defect,SEC_038,2024-07-05 09:58:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,Low
DIS_000015,Emergency Defect,SEC_036,2024-08-23 14:44:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_036,Medium
DIS_000016,Emergency Defect,SEC_039,2024-09-01 03:06:00,SLOT_024699,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Medium
DIS_000017,Emergency Defect,SEC_026,2024-07-03 02:32:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_026,High
DIS_000018,Late Train,SEC_007,2024-04-01 03:58:00,SLOT_010235,Late express train delay cascading in section SEC_007 (Severity Medium),Medium
DIS_000019,Late Train,SEC_042,2024-03-27 17:26:00,SLOT_008111,Late express train delay cascading in section SEC_042 (Severity Medium),Medium
DIS_000020,Late Train,SEC_023,2024-03-12 20:49:00,SLOT_042285,Late express train delay cascading in section SEC_023 (Severity Low),Low
DIS_000021,Late Train,SEC_025,2024-06-24 16:35:00,SLOT_012346,Late express train delay cascading in section SEC_025 (Severity Low),Low
DIS_000022,Emergency Defect,SEC_019,2024-07-23 15:57:00,SLOT_012935,Emergency rail/OHE defect detected requiring urgent track access in SEC_019,Medium
DIS_000023,Machine Breakdown,SEC_009,2024-12-11 15:05:00,,Tamping/BCM machine breakdown during block operation in SEC_009,Low
DIS_000024,Late Train,SEC_046,2024-02-22 07:29:00,,Late express train delay cascading in section SEC_046 (Severity Medium),Medium
DIS_000025,Emergency Defect,SEC_039,2024-06-22 04:33:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low
DIS_000026,Late Train,SEC_032,2024-08-16 21:42:00,SLOT_021626,Late express train delay cascading in section SEC_032 (Severity Low),Low
DIS_000027,Emergency Defect,SEC_020,2024-06-06 16:23:00,SLOT_013802,Emergency rail/OHE defect detected requiring urgent track access in SEC_020,Medium
DIS_000028,Late Train,SEC_041,2024-01-12 20:49:00,,Late express train delay cascading in section SEC_041 (Severity Low),Low
DIS_000029,Emergency Defect,SEC_027,2024-09-03 13:45:00,SLOT_040801,Emergency rail/OHE defect detected requiring urgent track access in SEC_027,Medium
DIS_000030,Late Train,SEC_022,2024-03-14 18:41:00,SLOT_014495,Late express train delay cascading in section SEC_022 (Severity High),High
DIS_000031,Late Train,SEC_023,2024-09-27 07:21:00,,Late express train delay cascading in section SEC_023 (Severity Low),Low
DIS_000032,Emergency Defect,SEC_012,2024-04-10 08:14:00,SLOT_028317,Emergency rail/OHE defect detected requiring urgent track access in SEC_012,Low
DIS_000033,Late Train,SEC_005,2024-09-04 06:35:00,SLOT_022961,Late express train delay cascading in section SEC_005 (Severity Low),Low
DIS_000034,Late Train,SEC_028,2024-03-02 12:43:00,SLOT_034969,Late express train delay cascading in section SEC_028 (Severity Medium),Medium
DIS_000035,Late Train,SEC_044,2024-08-14 15:00:00,SLOT_015691,Late express train delay cascading in section SEC_044 (Severity Medium),Medium
DIS_000036,Machine Breakdown,SEC_004,2024-02-13 07:13:00,SLOT_007349,Tamping/BCM machine breakdown during block operation in SEC_004,High
DIS_000037,Late Train,SEC_043,2024-04-18 20:31:00,,Late express train delay cascading in section SEC_043 (Severity Low),Low
DIS_000038,Emergency Defect,SEC_041,2024-10-06 07:00:00,SLOT_014507,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low
DIS_000039,Machine Breakdown,SEC_014,2024-04-08 16:00:00,SLOT_026708,Tamping/BCM machine breakdown during block operation in SEC_014,Low
DIS_000040,Emergency Defect,SEC_031,2024-06-02 20:33:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_031,Low
DIS_000041,Late Train,SEC_009,2024-06-07 14:24:00,SLOT_020734,Late express train delay cascading in section SEC_009 (Severity Medium),Medium
DIS_000042,Emergency Defect,SEC_038,2024-04-03 00:38:00,SLOT_015517,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,High
DIS_000043,Late Train,SEC_035,2024-07-30 00:11:00,,Late express train delay cascading in section SEC_035 (Severity Low),Low
DIS_000044,Emergency Defect,SEC_018,2024-04-21 13:11:00,SLOT_018421,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium
DIS_000045,Late Train,SEC_004,2024-07-12 09:47:00,SLOT_024212,Late express train delay cascading in section SEC_004 (Severity Low),Low
DIS_000046,Emergency Defect,SEC_048,2024-10-17 06:59:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_048,High
DIS_000047,Machine Breakdown,SEC_022,2024-10-02 18:12:00,SLOT_009240,Tamping/BCM machine breakdown during block operation in SEC_022,High
DIS_000048,Late Train,SEC_044,2024-03-23 00:00:00,SLOT_023504,Late express train delay cascading in section SEC_044 (Severity High),High
DIS_000049,Late Train,SEC_034,2024-09-08 06:12:00,,Late express train delay cascading in section SEC_034 (Severity Low),Low
DIS_000050,Late Train,SEC_039,2024-10-05 19:34:00,,Late express train delay cascading in section SEC_039 (Severity Low),Low
DIS_000051,Emergency Defect,SEC_038,2024-07-24 02:04:00,SLOT_010750,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,Low
DIS_000052,Late Train,SEC_010,2024-09-24 14:53:00,SLOT_040942,Late express train delay cascading in section SEC_010 (Severity Low),Low
DIS_000053,Emergency Defect,SEC_018,2024-06-02 00:45:00,SLOT_002591,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Medium
DIS_000054,Emergency Defect,SEC_023,2024-01-25 03:53:00,SLOT_035612,Emergency rail/OHE defect detected requiring urgent track access in SEC_023,High
DIS_000055,Machine Breakdown,SEC_025,2024-07-29 04:44:00,SLOT_048366,Tamping/BCM machine breakdown during block operation in SEC_025,Medium
DIS_000056,Late Train,SEC_003,2024-11-27 15:52:00,SLOT_002497,Late express train delay cascading in section SEC_003 (Severity Low),Low
DIS_000057,Late Train,SEC_027,2024-06-25 12:26:00,,Late express train delay cascading in section SEC_027 (Severity Low),Low
DIS_000058,Late Train,SEC_008,2024-07-25 22:33:00,,Late express train delay cascading in section SEC_008 (Severity Medium),Medium
DIS_000059,Emergency Defect,SEC_037,2024-09-03 03:11:00,SLOT_021211,Emergency rail/OHE defect detected requiring urgent track access in SEC_037,Low
DIS_000060,Late Train,SEC_034,2024-11-02 02:01:00,SLOT_020057,Late express train delay cascading in section SEC_034 (Severity Low),Low
DIS_000061,Late Train,SEC_046,2024-06-28 02:33:00,SLOT_046918,Late express train delay cascading in section SEC_046 (Severity Low),Low
DIS_000062,Late Train,SEC_037,2024-04-26 01:26:00,,Late express train delay cascading in section SEC_037 (Severity High),High
DIS_000063,Emergency Defect,SEC_018,2024-08-18 13:30:00,SLOT_027990,Emergency rail/OHE defect detected requiring urgent track access in SEC_018,Low
DIS_000064,Machine Breakdown,SEC_048,2024-09-09 15:58:00,SLOT_009885,Tamping/BCM machine breakdown during block operation in SEC_048,High
DIS_000065,Late Train,SEC_021,2024-09-02 10:57:00,,Late express train delay cascading in section SEC_021 (Severity Low),Low
DIS_000066,Late Train,SEC_016,2024-08-08 13:20:00,,Late express train delay cascading in section SEC_016 (Severity Medium),Medium
DIS_000067,Late Train,SEC_045,2024-12-31 18:52:00,SLOT_044609,Late express train delay cascading in section SEC_045 (Severity Medium),Medium
DIS_000068,Late Train,SEC_019,2024-04-08 22:46:00,,Late express train delay cascading in section SEC_019 (Severity High),High
DIS_000069,Machine Breakdown,SEC_004,2024-04-25 11:20:00,SLOT_027484,Tamping/BCM machine breakdown during block operation in SEC_004,Low
DIS_000070,Late Train,SEC_024,2024-11-07 13:08:00,SLOT_027937,Late express train delay cascading in section SEC_024 (Severity Low),Low
DIS_000071,Emergency Defect,SEC_039,2024-03-07 00:01:00,SLOT_038420,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low
DIS_000072,Machine Breakdown,SEC_010,2024-10-24 14:01:00,,Tamping/BCM machine breakdown during block operation in SEC_010,Low
DIS_000073,Emergency Defect,SEC_023,2024-03-31 05:36:00,SLOT_033993,Emergency rail/OHE defect detected requiring urgent track access in SEC_023,Low
DIS_000074,Late Train,SEC_007,2024-09-02 04:25:00,SLOT_037171,Late express train delay cascading in section SEC_007 (Severity Medium),Medium
DIS_000075,Emergency Defect,SEC_034,2024-11-08 17:00:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_034,Low
DIS_000076,Late Train,SEC_024,2024-11-13 20:17:00,,Late express train delay cascading in section SEC_024 (Severity High),High
DIS_000077,Late Train,SEC_017,2024-08-09 16:24:00,,Late express train delay cascading in section SEC_017 (Severity Medium),Medium
DIS_000078,Machine Breakdown,SEC_012,2024-03-21 09:25:00,,Tamping/BCM machine breakdown during block operation in SEC_012,Medium
DIS_000079,Late Train,SEC_028,2024-05-03 09:57:00,SLOT_009762,Late express train delay cascading in section SEC_028 (Severity Medium),Medium
DIS_000080,Late Train,SEC_033,2024-09-16 00:04:00,,Late express train delay cascading in section SEC_033 (Severity Low),Low
DIS_000081,Late Train,SEC_047,2024-08-21 10:10:00,,Late express train delay cascading in section SEC_047 (Severity Low),Low
DIS_000082,Late Train,SEC_022,2024-04-15 13:15:00,SLOT_013335,Late express train delay cascading in section SEC_022 (Severity Low),Low
DIS_000083,Emergency Defect,SEC_008,2024-07-28 06:13:00,SLOT_041595,Emergency rail/OHE defect detected requiring urgent track access in SEC_008,High
DIS_000084,Emergency Defect,SEC_041,2024-12-09 08:21:00,SLOT_015589,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low
DIS_000085,Emergency Defect,SEC_031,2024-01-22 17:07:00,SLOT_024279,Emergency rail/OHE defect detected requiring urgent track access in SEC_031,Low
DIS_000086,Late Train,SEC_035,2024-07-25 17:05:00,SLOT_045416,Late express train delay cascading in section SEC_035 (Severity Medium),Medium
DIS_000087,Late Train,SEC_005,2024-07-21 18:39:00,SLOT_034533,Late express train delay cascading in section SEC_005 (Severity Low),Low
DIS_000088,Late Train,SEC_016,2024-11-06 21:49:00,SLOT_034753,Late express train delay cascading in section SEC_016 (Severity High),High
DIS_000089,Emergency Defect,SEC_038,2024-04-04 00:15:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_038,High
DIS_000090,Emergency Defect,SEC_041,2024-03-06 04:45:00,SLOT_042920,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low
DIS_000091,Emergency Defect,SEC_022,2024-06-10 15:04:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_022,Medium
DIS_000092,Machine Breakdown,SEC_040,2024-04-26 04:44:00,,Tamping/BCM machine breakdown during block operation in SEC_040,Low
DIS_000093,Emergency Defect,SEC_042,2024-11-21 23:51:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_042,Low
DIS_000094,Late Train,SEC_019,2024-10-06 20:31:00,SLOT_014304,Late express train delay cascading in section SEC_019 (Severity High),High
DIS_000095,Emergency Defect,SEC_045,2024-05-23 09:08:00,SLOT_030606,Emergency rail/OHE defect detected requiring urgent track access in SEC_045,Low
DIS_000096,Emergency Defect,SEC_015,2024-05-11 02:16:00,SLOT_034583,Emergency rail/OHE defect detected requiring urgent track access in SEC_015,High
DIS_000097,Machine Breakdown,SEC_012,2024-01-05 06:51:00,,Tamping/BCM machine breakdown during block operation in SEC_012,High
DIS_000098,Late Train,SEC_034,2024-02-02 08:57:00,SLOT_017808,Late express train delay cascading in section SEC_034 (Severity Medium),Medium
DIS_000099,Emergency Defect,SEC_032,2024-07-22 19:10:00,SLOT_014642,Emergency rail/OHE defect detected requiring urgent track access in SEC_032,Low
DIS_000100,Late Train,SEC_007,2024-08-28 17:45:00,SLOT_005169,Late express train delay cascading in section SEC_007 (Severity Low),Low
DIS_000101,Emergency Defect,SEC_041,2024-10-17 21:14:00,SLOT_043766,Emergency rail/OHE defect detected requiring urgent track access in SEC_041,Low
DIS_000102,Machine Breakdown,SEC_010,2024-02-10 15:25:00,,Tamping/BCM machine breakdown during block operation in SEC_010,Low
DIS_000103,Machine Breakdown,SEC_040,2024-02-28 15:42:00,SLOT_013681,Tamping/BCM machine breakdown during block operation in SEC_040,Low
DIS_000104,Late Train,SEC_001,2024-07-22 09:08:00,,Late express train delay cascading in section SEC_001 (Severity Low),Low
DIS_000105,Late Train,SEC_040,2024-02-02 10:44:00,SLOT_044137,Late express train delay cascading in section SEC_040 (Severity Medium),Medium
DIS_000106,Emergency Defect,SEC_039,2024-11-02 14:06:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low
DIS_000107,Emergency Defect,SEC_039,2024-06-11 17:27:00,SLOT_042673,Emergency rail/OHE defect detected requiring urgent track access in SEC_039,Low
DIS_000108,Machine Breakdown,SEC_033,2024-08-01 23:10:00,SLOT_049791,Tamping/BCM machine breakdown during block operation in SEC_033,Medium
DIS_000109,Late Train,SEC_024,2024-10-12 12:56:00,SLOT_030883,Late express train delay cascading in section SEC_024 (Severity Low),Low
DIS_000110,Machine Breakdown,SEC_035,2024-07-02 04:23:00,SLOT_032836,Tamping/BCM machine breakdown during block operation in SEC_035,Low
DIS_000111,Emergency Defect,SEC_014,2024-01-27 03:44:00,SLOT_013895,Emergency rail/OHE defect detected requiring urgent track access in SEC_014,Low
DIS_000112,Late Train,SEC_039,2024-03-24 11:03:00,SLOT_034089,Late express train delay cascading in section SEC_039 (Severity Low),Low
DIS_000113,Late Train,SEC_028,2024-05-07 11:17:00,SLOT_029648,Late express train delay cascading in section SEC_028 (Severity Low),Low
DIS_000114,Emergency Defect,SEC_023,2024-02-29 14:15:00,SLOT_027518,Emergency rail/OHE defect detected requiring urgent track access in SEC_023,Low
DIS_000115,Late Train,SEC_025,2024-07-07 16:26:00,SLOT_043725,Late express train delay cascading in section SEC_025 (Severity Low),Low
DIS_000116,Emergency Defect,SEC_028,2024-01-07 01:49:00,SLOT_002324,Emergency rail/OHE defect detected requiring urgent track access in SEC_028,Low
DIS_000117,Emergency Defect,SEC_002,2024-02-23 17:51:00,,Emergency rail/OHE defect detected requiring urgent track access in SEC_002,Low
DIS_000118,Late Train,SEC_007,2024-10-20 14:32:00,,Late express train delay cascading in section SEC_007 (Severity Medium),Medium
DIS_000119,Late Train,SEC_013,2024-02-16 12:58:00,,Late express train delay cascading in section SEC_013 (Severity Medium),Medium
DIS_000120,Machine Breakdown,SEC_006,2024-01-12 17:59:00,SLOT_018823,Tamping/BCM machine breakdown during block operation in SEC_006,Low
DIS_000121,Emergency Defect,SEC_022,2024-06-12 15:56:00,SLOT_037253,Emergency rail/OHE defect detected requiring urgent track access in SEC_022,High
DIS_000122,Emergency Defect,SEC_033,2024-11-10 13:21:00,SLOT_027758,Emergency rail/OHE defect detected requiring urgent track access in SEC_033,Medium
DIS_000123,Emergency Defect,SEC_033,2024-03-30 09:09:00,SLOT_022060,Emergency rail/OHE defect detected requiring urgent track access in SEC_033,Medium
DIS_000124,Emergency Defect,SEC_024,2024-05-25 14:29:00,SLOT_002221,Emergency rail/OHE defect detected requiring urgent track access in SEC_024,Low
