record_id,task_id,department,section_id,requested_window_minutes,granted_window_minutes,outcome,was_deferred
HIST_000001,TMS_TASK_007141,TRD,SEC_005,90,30,Not Completed,True
HIST_000002,TDMS_TASK_006917,TRD,SEC_047,300,135,Partially Completed,False
HIST_000003,SMMS_TASK_022366,S&T,SEC_026,60,45,Partially Completed,False
HIST_000004,SMMS_TASK_005111,S&T,SEC_049,90,90,Fully Completed,False
HIST_000005,SMMS_TASK_004642,Engineering,SEC_021,180,90,Partially Completed,False
HIST_000006,TDMS_TASK_013688,S&T,SEC_041,300,105,Partially Completed,False
HIST_000007,TMS_TASK_006876,TRD,SEC_017,240,240,Fully Completed,False
HIST_000008,TDMS_TASK_000790,Engineering,SEC_022,300,300,Fully Completed,False
HIST_000009,TMS_TASK_016118,Engineering,SEC_017,120,30,Not Completed,True
HIST_000010,TMS_TASK_007535,S&T,SEC_027,300,105,Partially Completed,True
HIST_000011,SMMS_TASK_012119,S&T,SEC_011,90,90,Fully Completed,False
HIST_000012,TDMS_TASK_023050,S&T,SEC_025,60,0,Not Completed,True
HIST_000013,TDMS_TASK_003861,Engineering,SEC_042,300,300,Fully Completed,False
HIST_000014,TDMS_TASK_005892,S&T,SEC_008,180,180,Fully Completed,False
HIST_000015,TDMS_TASK_002399,S&T,SEC_039,60,30,Not Completed,True
HIST_000016,TDMS_TASK_007886,Engineering,SEC_042,120,15,Not Completed,True
HIST_000017,SMMS_TASK_011059,S&T,SEC_002,90,90,Fully Completed,False
HIST_000018,TMS_TASK_010250,TRD,SEC_034,120,45,Partially Completed,False
HIST_000019,TDMS_TASK_012180,Engineering,SEC_024,240,180,Partially Completed,False
HIST_000020,SMMS_TASK_006031,Engineering,SEC_032,60,60,Fully Completed,False
HIST_000021,SMMS_TASK_010029,S&T,SEC_015,300,240,Partially Completed,False
HIST_000022,TMS_TASK_029664,TRD,SEC_011,300,135,Partially Completed,True
HIST_000023,TMS_TASK_014604,Engineering,SEC_015,180,180,Fully Completed,False
HIST_000024,TDMS_TASK_019142,TRD,SEC_008,90,90,Fully Completed,False
HIST_000025,TDMS_TASK_007526,S&T,SEC_020,90,60,Partially Completed,True
HIST_000026,SMMS_TASK_021510,Engineering,SEC_043,300,30,Not Completed,True
HIST_000027,SMMS_TASK_002194,S&T,SEC_039,120,75,Partially Completed,False
HIST_000028,TDMS_TASK_010821,S&T,SEC_009,60,45,Partially Completed,False
HIST_000029,SMMS_TASK_013635,S&T,SEC_028,120,90,Partially Completed,False
HIST_000030,SMMS_TASK_005474,S&T,SEC_004,240,240,Fully Completed,False
HIST_000031,SMMS_TASK_006037,Engineering,SEC_003,180,180,Fully Completed,False
HIST_000032,TMS_TASK_018180,TRD,SEC_031,240,0,Not Completed,True
HIST_000033,TMS_TASK_007371,Engineering,SEC_015,240,30,Not Completed,True
HIST_000034,SMMS_TASK_014367,TRD,SEC_035,90,60,Partially Completed,False
HIST_000035,TDMS_TASK_016032,TRD,SEC_008,180,105,Partially Completed,False
HIST_000036,TMS_TASK_005106,S&T,SEC_006,180,180,Fully Completed,False
HIST_000037,TDMS_TASK_013664,Engineering,SEC_036,300,150,Partially Completed,False
HIST_000038,TDMS_TASK_011211,TRD,SEC_011,90,30,Not Completed,True
HIST_000039,TMS_TASK_022141,S&T,SEC_003,90,60,Partially Completed,False
HIST_000040,SMMS_TASK_020534,Engineering,SEC_039,90,90,Fully Completed,False
HIST_000041,TMS_TASK_013219,Engineering,SEC_035,120,45,Partially Completed,False
HIST_000042,TDMS_TASK_005648,S&T,SEC_046,180,120,Partially Completed,True
HIST_000043,TDMS_TASK_001042,S&T,SEC_030,120,60,Partially Completed,True
HIST_000044,TMS_TASK_028363,S&T,SEC_024,240,150,Partially Completed,False
HIST_000045,TMS_TASK_005434,Engineering,SEC_033,60,60,Fully Completed,False
HIST_000046,TDMS_TASK_022656,TRD,SEC_039,240,150,Partially Completed,False
HIST_000047,SMMS_TASK_005655,Engineering,SEC_031,300,30,Not Completed,True
HIST_000048,TDMS_TASK_016450,Engineering,SEC_016,300,0,Not Completed,True
HIST_000049,SMMS_TASK_024234,TRD,SEC_044,120,75,Partially Completed,False
HIST_000050,TDMS_TASK_007271,TRD,SEC_035,240,30,Not Completed,True
HIST_000051,TDMS_TASK_005792,TRD,SEC_043,240,120,Partially Completed,False
HIST_000052,TMS_TASK_015572,Engineering,SEC_028,120,15,Not Completed,True
HIST_000053,TMS_TASK_029113,S&T,SEC_023,120,75,Partially Completed,False
HIST_000054,SMMS_TASK_007338,Engineering,SEC_042,300,300,Fully Completed,False
HIST_000055,SMMS_TASK_009824,S&T,SEC_030,240,240,Fully Completed,False
HIST_000056,TMS_TASK_003505,TRD,SEC_039,300,300,Fully Completed,False
HIST_000057,SMMS_TASK_013726,Engineering,SEC_044,300,300,Fully Completed,False
HIST_000058,TMS_TASK_012344,S&T,SEC_014,120,90,Partially Completed,False
HIST_000059,TDMS_TASK_004471,S&T,SEC_010,120,60,Partially Completed,True
HIST_000060,SMMS_TASK_024644,S&T,SEC_008,300,150,Partially Completed,True
HIST_000061,TDMS_TASK_018803,TRD,SEC_030,120,45,Partially Completed,False
HIST_000062,TDMS_TASK_004581,TRD,SEC_040,300,30,Not Completed,True
HIST_000063,TMS_TASK_029332,Engineering,SEC_048,180,0,Not Completed,True
HIST_000064,TDMS_TASK_022401,S&T,SEC_002,240,240,Fully Completed,False
HIST_000065,SMMS_TASK_002869,TRD,SEC_001,240,240,Fully Completed,False
HIST_000066,TMS_TASK_026067,Engineering,SEC_034,240,240,Fully Completed,False
HIST_000067,TDMS_TASK_017443,S&T,SEC_014,60,15,Partially Completed,True
HIST_000068,TMS_TASK_029637,S&T,SEC_024,60,45,Partially Completed,False
HIST_000069,TMS_TASK_006108,Engineering,SEC_004,90,0,Not Completed,True
HIST_000070,SMMS_TASK_007565,TRD,SEC_004,90,60,Partially Completed,True
HIST_000071,TDMS_TASK_008655,S&T,SEC_026,120,45,Partially Completed,False
HIST_000072,TMS_TASK_015158,Engineering,SEC_034,60,45,Partially Completed,False
HIST_000073,SMMS_TASK_007036,Engineering,SEC_044,180,30,Not Completed,True
HIST_000074,TMS_TASK_010394,Engineering,SEC_024,60,60,Fully Completed,False
HIST_000075,SMMS_TASK_024919,Engineering,SEC_032,240,30,Not Completed,True
HIST_000076,SMMS_TASK_008057,TRD,SEC_043,240,120,Partially Completed,True
HIST_000077,TMS_TASK_026416,Engineering,SEC_022,300,150,Partially Completed,False
HIST_000078,TMS_TASK_018153,S&T,SEC_011,90,30,Not Completed,True
HIST_000079,SMMS_TASK_015160,S&T,SEC_041,60,45,Partially Completed,False
HIST_000080,SMMS_TASK_023586,S&T,SEC_001,120,120,Fully Completed,False
HIST_000081,TDMS_TASK_020225,S&T,SEC_014,240,240,Fully Completed,False
HIST_000082,SMMS_TASK_004973,S&T,SEC_007,120,120,Fully Completed,False
HIST_000083,TMS_TASK_012856,TRD,SEC_032,90,90,Fully Completed,False
HIST_000084,TDMS_TASK_011615,TRD,SEC_014,60,30,Not Completed,True
HIST_000085,SMMS_TASK_020382,Engineering,SEC_017,60,60,Fully Completed,False
HIST_000086,TDMS_TASK_001022,Engineering,SEC_032,300,30,Not Completed,True
HIST_000087,TMS_TASK_007779,S&T,SEC_015,240,0,Not Completed,True
HIST_000088,TMS_TASK_024990,Engineering,SEC_018,300,120,Partially Completed,True
HIST_000089,TDMS_TASK_006428,S&T,SEC_025,180,180,Fully Completed,False
HIST_000090,TDMS_TASK_011581,S&T,SEC_006,60,60,Fully Completed,False
HIST_000091,SMMS_TASK_004818,S&T,SEC_046,240,90,Partially Completed,False
HIST_000092,TDMS_TASK_009382,S&T,SEC_049,180,15,Not Completed,True
HIST_000093,TDMS_TASK_012336,TRD,SEC_035,180,60,Partially Completed,False
HIST_000094,SMMS_TASK_000999,Engineering,SEC_006,180,60,Partially Completed,False
HIST_000095,TDMS_TASK_016848,TRD,SEC_024,90,30,Partially Completed,False
HIST_000096,TMS_TASK_023067,S&T,SEC_018,180,15,Not Completed,True
HIST_000097,TMS_TASK_019165,TRD,SEC_009,300,210,Partially Completed,False
HIST_000098,SMMS_TASK_024600,S&T,SEC_043,90,15,Not Completed,True
HIST_000099,SMMS_TASK_020941,TRD,SEC_021,90,45,Partially Completed,False
HIST_000100,TMS_TASK_011181,S&T,SEC_032,90,45,Partially Completed,False
HIST_000101,TDMS_TASK_011619,TRD,SEC_034,180,0,Not Completed,True
HIST_000102,TMS_TASK_015993,S&T,SEC_016,60,60,Fully Completed,False
HIST_000103,TDMS_TASK_009392,TRD,SEC_018,180,60,Partially Completed,False
HIST_000104,TMS_TASK_000589,Engineering,SEC_048,240,15,Not Completed,True
HIST_000105,TDMS_TASK_008748,TRD,SEC_041,90,75,Partially Completed,False
HIST_000106,TDMS_TASK_007954,Engineering,SEC_025,120,15,Not Completed,True
HIST_000107,TDMS_TASK_007430,TRD,SEC_027,90,30,Partially Completed,False
HIST_000108,SMMS_TASK_023189,TRD,SEC_001,180,135,Partially Completed,False
HIST_000109,SMMS_TASK_007726,Engineering,SEC_011,90,90,Fully Completed,False
HIST_000110,TDMS_TASK_001414,S&T,SEC_001,180,90,Partially Completed,True
HIST_000111,TMS_TASK_022170,S&T,SEC_040,180,15,Not Completed,True
HIST_000112,TDMS_TASK_007459,S&T,SEC_047,180,180,Fully Completed,False
HIST_000113,SMMS_TASK_014452,Engineering,SEC_008,300,150,Partially Completed,False
HIST_000114,SMMS_TASK_006714,S&T,SEC_014,240,135,Partially Completed,False
HIST_000115,SMMS_TASK_010449,TRD,SEC_018,90,90,Fully Completed,False
HIST_000116,SMMS_TASK_015500,S&T,SEC_040,90,60,Partially Completed,False
HIST_000117,TMS_TASK_002981,S&T,SEC_020,120,120,Fully Completed,False
HIST_000118,TMS_TASK_011184,TRD,SEC_003,240,240,Fully Completed,False
HIST_000119,TMS_TASK_019639,TRD,SEC_029,120,120,Fully Completed,False
HIST_000120,TMS_TASK_009163,TRD,SEC_008,90,0,Not Completed,True
HIST_000121,SMMS_TASK_005170,S&T,SEC_032,240,180,Partially Completed,False
HIST_000122,SMMS_TASK_023473,Engineering,SEC_042,60,0,Not Completed,True
HIST_000123,SMMS_TASK_022355,Engineering,SEC_004,300,300,Fully Completed,False
HIST_000124,SMMS_TASK_007688,Engineering,SEC_049,240,240,Fully Completed,False
HIST_000125,TDMS_TASK_013407,Engineering,SEC_033,60,15,Partially Completed,False
HIST_000126,SMMS_TASK_015219,Engineering,SEC_003,240,240,Fully Completed,False
HIST_000127,TMS_TASK_006336,S&T,SEC_011,180,30,Not Completed,True
HIST_000128,TDMS_TASK_006200,Engineering,SEC_009,240,150,Partially Completed,False
HIST_000129,SMMS_TASK_015969,TRD,SEC_044,240,0,Not Completed,True
HIST_000130,SMMS_TASK_020778,S&T,SEC_036,120,60,Partially Completed,True
HIST_000131,SMMS_TASK_015230,Engineering,SEC_019,240,120,Partially Completed,False
HIST_000132,SMMS_TASK_014287,Engineering,SEC_026,240,150,Partially Completed,True
HIST_000133,TMS_TASK_007246,Engineering,SEC_018,240,30,Not Completed,True
HIST_000134,SMMS_TASK_014737,TRD,SEC_020,90,0,Not Completed,True
HIST_000135,TDMS_TASK_008594,TRD,SEC_032,90,15,Not Completed,True
HIST_000136,TMS_TASK_024317,S&T,SEC_010,90,15,Not Completed,True
HIST_000137,SMMS_TASK_018228,TRD,SEC_038,90,0,Not Completed,True
HIST_000138,TMS_TASK_002466,Engineering,SEC_047,120,45,Partially Completed,False
HIST_000139,TMS_TASK_027800,Engineering,SEC_048,240,240,Fully Completed,False
HIST_000140,SMMS_TASK_004938,Engineering,SEC_009,240,180,Partially Completed,False
HIST_000141,TDMS_TASK_023620,S&T,SEC_021,120,15,Not Completed,True
HIST_000142,TMS_TASK_017167,Engineering,SEC_013,90,75,Partially Completed,True
HIST_000143,TMS_TASK_022124,TRD,SEC_032,240,240,Fully Completed,False
HIST_000144,SMMS_TASK_002683,S&T,SEC_016,60,60,Fully Completed,False
HIST_000145,TDMS_TASK_024414,TRD,SEC_020,180,60,Partially Completed,True
HIST_000146,TDMS_TASK_013273,S&T,SEC_007,90,45,Partially Completed,True
HIST_000147,TMS_TASK_002776,Engineering,SEC_028,180,180,Fully Completed,False
HIST_000148,TMS_TASK_018716,S&T,SEC_027,120,120,Fully Completed,False
HIST_000149,TDMS_TASK_010734,Engineering,SEC_028,60,60,Fully Completed,False
HIST_000150,TMS_TASK_004665,Engineering,SEC_017,90,45,Partially Completed,False
HIST_000151,TDMS_TASK_013454,TRD,SEC_038,180,90,Partially Completed,True
HIST_000152,TMS_TASK_022511,TRD,SEC_030,240,240,Fully Completed,False
HIST_000153,TDMS_TASK_018413,Engineering,SEC_009,300,300,Fully Completed,False
HIST_000154,TMS_TASK_023488,S&T,SEC_019,60,30,Not Completed,True
HIST_000155,SMMS_TASK_004746,Engineering,SEC_033,240,180,Partially Completed,False
HIST_000156,SMMS_TASK_022954,S&T,SEC_006,180,150,Partially Completed,True
HIST_000157,TMS_TASK_010103,S&T,SEC_018,60,30,Not Completed,True
HIST_000158,SMMS_TASK_014563,S&T,SEC_043,90,60,Partially Completed,True
HIST_000159,SMMS_TASK_010402,TRD,SEC_022,60,60,Fully Completed,False
HIST_000160,TDMS_TASK_007712,Engineering,SEC_025,90,60,Partially Completed,True
HIST_000161,TDMS_TASK_024689,S&T,SEC_034,90,15,Not Completed,True
HIST_000162,SMMS_TASK_023146,TRD,SEC_016,90,60,Partially Completed,False
HIST_000163,SMMS_TASK_002735,S&T,SEC_041,180,180,Fully Completed,False
HIST_000164,SMMS_TASK_002511,S&T,SEC_001,90,90,Fully Completed,False
HIST_000165,SMMS_TASK_003437,S&T,SEC_024,60,45,Partially Completed,False
HIST_000166,TDMS_TASK_010122,Engineering,SEC_030,300,225,Partially Completed,False
HIST_000167,TMS_TASK_025698,TRD,SEC_012,180,90,Partially Completed,False
HIST_000168,TMS_TASK_013358,Engineering,SEC_039,90,75,Partially Completed,True
HIST_000169,TMS_TASK_026744,Engineering,SEC_004,240,90,Partially Completed,False
