section_id,from_station,to_station,start_km,end_km,line_type,num_lines,max_speed_kmph
SEC_001,MS,MBM,0.0,6.229,HDN,2,130
SEC_002,MBM,GDY,6.229,10.022,HDN,2,130
SEC_003,GDY,STM,10.022,12.22,HDN,2,130
SEC_004,STM,PZA,12.22,14.803,HDN,2,130
SEC_005,PZA,MN,14.803,16.348,HDN,2,130
SEC_006,MN,TLM,16.348,17.464,HDN,2,130
SEC_007,TLM,PV,17.464,19.536,HDN,2,130
SEC_008,PV,CMP,19.536,21.616,HDN,2,130
SEC_009,CMP,TBMS,21.616,23.657,HDN,2,130
SEC_010,TBMS,TBM,23.657,25.616,HDN,2,130
SEC_011,TBM,PRGL,25.616,29.014,HDN,2,130
SEC_012,PRGL,VDR,29.014,30.888,HDN,2,130
SEC_013,VDR,UPM,30.888,33.94,HDN,2,130
SEC_014,UPM,GI,33.94,36.855,HDN,2,130
SEC_015,GI,CTM,36.855,42.432,HDN,2,130
SEC_016,CTM,SKL,42.432,48.066,HDN,2,130
SEC_017,SKL,CGL,48.066,56.42,HDN,2,130
SEC_018,CGL,OV,56.42,64.77,HDN,2,130
SEC_019,OV,KGZ,64.77,77.232,HDN,2,130
SEC_020,KGZ,MMK,77.232,80.898,HDN,2,130
SEC_021,MMK,MLMR,80.898,91.831,HDN,2,130
SEC_022,MLMR,TZD,91.831,100.425,HDN,2,130
SEC_023,TZD,KSGL,100.425,105.744,HDN,2,130
SEC_024,KSGL,OLA,105.744,110.378,HDN,2,130
SEC_025,OLA,TMV,110.378,121.852,HDN,2,130
SEC_026,TMV,MTL,121.852,131.32,HDN,2,130
SEC_027,MTL,PEI,131.32,140.03,HDN,2,130
SEC_028,PEI,VVN,140.03,146.518,HDN,2,130
SEC_029,VVN,MYP,146.518,153.125,HDN,2,130
SEC_030,MYP,VM,153.125,162.847,HDN,2,130
SEC_031,VM,KDMD,162.847,171.29,HDN,2,130
SEC_032,KDMD,TVNL,171.29,179.578,HDN,2,130
SEC_033,TVNL,PVN,179.578,208.649,HDN,2,130
SEC_034,PVN,VRI,208.649,222.364,HDN,2,130
SEC_035,VRI,TLNR,222.364,231.225,HDN,2,130
SEC_036,TLNR,PNDM,231.225,241.073,HDN,2,130
SEC_037,PNDM,ICG,241.073,244.317,HDN,2,130
SEC_038,ICG,MTUR,244.317,250.437,HDN,2,130
SEC_039,MTUR,SNDI,250.437,258.852,HDN,2,130
SEC_040,SNDI,OTK,258.852,267.341,HDN,2,130
SEC_041,OTK,ALU,267.341,275.909,HDN,2,130
SEC_042,ALU,SLTH,275.909,282.838,HDN,2,130
SEC_043,SLTH,KLGM,282.838,291.726,HDN,2,130
SEC_044,KLGM,KKPM,291.726,300.65,HDN,2,130
SEC_045,KKPM,PMB,300.65,305.296,HDN,2,130
SEC_046,PMB,KTTR,305.296,313.75,HDN,2,130
SEC_047,KTTR,LLI,313.75,318.922,HDN,2,130
SEC_048,LLI,VLDE,318.922,325.209,HDN,2,130
SEC_049,VLDE,SRGM,325.209,332.857,HDN,2,130
SEC_050,SRGM,TPTN,332.857,336.293,HDN,2,130
SEC_051,TPTN,TP,336.293,341.285,HDN,2,130
SEC_052,TP,TPE,341.285,343.38,HDN,2,130
SEC_053,TPE,TPJ,343.38,347.271,HDN,2,130
SEC_054,TPJ,PUG,347.271,358.247,HDN,2,120
SEC_055,PUG,KLS,358.247,367.743,HDN,2,120
SEC_056,KLS,MPA,367.743,385.526,HDN,2,120
SEC_057,MPA,CII,385.526,392.787,HDN,2,120
SEC_058,CII,VPJ,392.787,399.593,HDN,2,120
SEC_059,VPJ,KFC,399.593,407.844,HDN,2,120
SEC_060,KFC,AYR,407.844,419.702,HDN,2,120
SEC_061,AYR,VDM,419.702,428.05,HDN,2,120
SEC_062,VDM,KON,428.05,482.544,HDN,2,120
SEC_063,KON,MDU,482.544,486.205,HDN,2,120
SEC_064,MDU,TDN,486.205,510.761,HDN,2,120
SEC_065,TDN,APK,510.761,550.669,HUN,2,110
SEC_066,APK,TIP,550.669,628.649,HUN,1,110
SEC_067,TIP,MVN,628.649,640.733,HUN,1,110
SEC_068,MVN,TN,640.733,648.228,HUN,1,110
