signal_id,signal_type,section_id,equivalent_km
SIG_SEC_001_0001,Starter,SEC_001,0.0
SIG_SEC_001_0002,Distant,SEC_001,2.214
SIG_SEC_001_0003,Point Machine,SEC_001,5.387
SIG_SEC_001_0004,Home,SEC_001,6.012
SIG_SEC_001_0005,Distant,SEC_001,6.229
SIG_SEC_002_0006,Starter,SEC_002,6.229
SIG_SEC_002_0007,Point Machine,SEC_002,7.292
SIG_SEC_002_0008,Starter,SEC_002,9.862
SIG_SEC_002_0009,Distant,SEC_002,10.022
SIG_SEC_003_0010,Point Machine,SEC_003,10.022
SIG_SEC_003_0011,Point Machine,SEC_003,10.65
SIG_SEC_003_0012,Starter,SEC_003,11.215
SIG_SEC_003_0013,Starter,SEC_003,12.016
SIG_SEC_003_0014,Home,SEC_003,12.22
SIG_SEC_004_0015,Home,SEC_004,12.22
SIG_SEC_004_0016,Axle Counter,SEC_004,13.891
SIG_SEC_004_0017,Axle Counter,SEC_004,13.908
SIG_SEC_004_0018,Point Machine,SEC_004,14.803
SIG_SEC_005_0019,Distant,SEC_005,14.803
SIG_SEC_005_0020,Home,SEC_005,16.348
SIG_SEC_006_0021,Point Machine,SEC_006,16.348
SIG_SEC_006_0022,Axle Counter,SEC_006,16.393
SIG_SEC_006_0023,Home,SEC_006,16.766
SIG_SEC_006_0024,Point Machine,SEC_006,16.818
SIG_SEC_006_0025,Distant,SEC_006,17.464
SIG_SEC_007_0026,Distant,SEC_007,17.464
SIG_SEC_007_0027,Point Machine,SEC_007,19.536
SIG_SEC_008_0028,Axle Counter,SEC_008,19.536
SIG_SEC_008_0029,Point Machine,SEC_008,19.972
SIG_SEC_008_0030,Starter,SEC_008,21.616
SIG_SEC_009_0031,Point Machine,SEC_009,21.616
SIG_SEC_009_0032,Starter,SEC_009,22.509
SIG_SEC_009_0033,Axle Counter,SEC_009,23.389
SIG_SEC_009_0034,Distant,SEC_009,23.657
SIG_SEC_010_0035,Axle Counter,SEC_010,23.657
SIG_SEC_010_0036,Distant,SEC_010,23.814
SIG_SEC_010_0037,Starter,SEC_010,24.989
SIG_SEC_010_0038,Home,SEC_010,25.381
SIG_SEC_010_0039,Axle Counter,SEC_010,25.616
SIG_SEC_011_0040,Distant,SEC_011,25.616
SIG_SEC_011_0041,Home,SEC_011,28.754
SIG_SEC_011_0042,Distant,SEC_011,29.014
SIG_SEC_012_0043,Axle Counter,SEC_012,29.014
SIG_SEC_012_0044,Point Machine,SEC_012,29.486
SIG_SEC_012_0045,Axle Counter,SEC_012,29.53
SIG_SEC_012_0046,Point Machine,SEC_012,29.985
SIG_SEC_012_0047,Starter,SEC_012,30.888
SIG_SEC_013_0048,Distant,SEC_013,30.888
SIG_SEC_013_0049,Home,SEC_013,32.286
SIG_SEC_013_0050,Point Machine,SEC_013,33.94
SIG_SEC_014_0051,Point Machine,SEC_014,33.94
SIG_SEC_014_0052,Point Machine,SEC_014,34.765
SIG_SEC_014_0053,Axle Counter,SEC_014,35.581
SIG_SEC_014_0054,Starter,SEC_014,36.855
SIG_SEC_015_0055,Starter,SEC_015,36.855
SIG_SEC_015_0056,Point Machine,SEC_015,41.241
SIG_SEC_015_0057,Axle Counter,SEC_015,41.798
SIG_SEC_015_0058,Starter,SEC_015,42.432
SIG_SEC_016_0059,Starter,SEC_016,42.432
SIG_SEC_016_0060,Axle Counter,SEC_016,45.383
SIG_SEC_016_0061,Point Machine,SEC_016,47.932
SIG_SEC_016_0062,Axle Counter,SEC_016,48.066
SIG_SEC_017_0063,Axle Counter,SEC_017,48.066
SIG_SEC_017_0064,Starter,SEC_017,49.008
SIG_SEC_017_0065,Axle Counter,SEC_017,51.533
SIG_SEC_017_0066,Axle Counter,SEC_017,56.42
SIG_SEC_018_0067,Starter,SEC_018,56.42
SIG_SEC_018_0068,Starter,SEC_018,59.475
SIG_SEC_018_0069,Axle Counter,SEC_018,60.82
SIG_SEC_018_0070,Distant,SEC_018,63.047
SIG_SEC_018_0071,Axle Counter,SEC_018,64.77
SIG_SEC_019_0072,Axle Counter,SEC_019,64.77
SIG_SEC_019_0073,Distant,SEC_019,65.249
SIG_SEC_019_0074,Home,SEC_019,77.232
SIG_SEC_020_0075,Point Machine,SEC_020,77.232
SIG_SEC_020_0076,Distant,SEC_020,77.888
SIG_SEC_020_0077,Home,SEC_020,78.692
SIG_SEC_020_0078,Axle Counter,SEC_020,79.348
SIG_SEC_020_0079,Distant,SEC_020,80.898
SIG_SEC_021_0080,Point Machine,SEC_021,80.898
SIG_SEC_021_0081,Axle Counter,SEC_021,91.831
SIG_SEC_022_0082,Point Machine,SEC_022,91.831
SIG_SEC_022_0083,Point Machine,SEC_022,95.519
SIG_SEC_022_0084,Distant,SEC_022,98.257
SIG_SEC_022_0085,Distant,SEC_022,100.425
SIG_SEC_023_0086,Axle Counter,SEC_023,100.425
SIG_SEC_023_0087,Point Machine,SEC_023,100.9
SIG_SEC_023_0088,Starter,SEC_023,105.744
SIG_SEC_024_0089,Distant,SEC_024,105.744
SIG_SEC_024_0090,Point Machine,SEC_024,106.32
