section_id,from_station,to_station,start_km,end_km,line_type,num_lines,max_speed_kmph
SEC_001,NDLS,HAT,0.0,9.673,HDN,2,130
SEC_002,HAT,SAS,9.673,13.636,HUN,3,130
SEC_003,SAS,AMB,13.636,19.647,HDN,2,110
SEC_004,AMB,KAN,19.647,26.366,HUN,2,110
SEC_005,KAN,FIR,26.366,26.724,HDN,2,130
SEC_006,FIR,RUR,26.724,31.549,HDN,3,110
SEC_007,RUR,GOV,31.549,38.515,HDN,2,130
SEC_008,GOV,PHA,38.515,39.538,HDN,3,160
SEC_009,PHA,MAI,39.538,45.928,HDN,2,110
SEC_010,MAI,GO1,45.928,45.993,HDN,3,110
SEC_011,GO1,DAN,45.993,58.089,HDN,4,110
SEC_012,DAN,GO2,58.089,62.849,HDN,2,130
SEC_013,GO2,ETA,62.849,65.513,HDN,1,110
SEC_014,ETA,PH1,65.513,71.196,HDN,2,160
SEC_015,PH1,MA1,71.196,74.351,HDN,2,110
SEC_016,MA1,AM1,74.351,74.418,HDN,2,160
SEC_017,AM1,DAD,74.418,77.721,HUN,3,130
SEC_018,DAD,PH2,77.721,87.556,HDN,2,160
SEC_019,PH2,RU1,87.556,87.898,HDN,2,110
SEC_020,RU1,BHA,87.898,88.796,HDN,1,110
SEC_021,BHA,SHI,88.796,90.176,HDN,2,130
SEC_022,SHI,SOM,90.176,93.411,HUN,2,130
SEC_023,SOM,KA1,93.411,93.972,HDN,3,160
SEC_024,KA1,HIR,93.972,95.19,HUN,4,110
SEC_025,HIR,SHU,95.19,110.808,HUN,2,160
SEC_026,SHU,RU2,110.808,126.07,HUN,2,160
SEC_027,RU2,PH3,126.07,128.485,HDN,3,130
SEC_028,PH3,SA1,128.485,133.623,HDN,2,160
SEC_029,SA1,KOI,133.623,136.244,HDN,2,130
SEC_030,KOI,SH1,136.244,139.079,HDN,2,130
SEC_031,SH1,ET1,139.079,139.652,HDN,2,110
SEC_032,ET1,JHI,139.652,148.463,HDN,2,110
SEC_033,JHI,TUN,148.463,151.101,HDN,4,160
SEC_034,TUN,KA2,151.101,151.706,HUN,2,160
SEC_035,KA2,JH1,151.706,154.243,HDN,3,110
SEC_036,JH1,PH4,154.243,155.12,HDN,3,130
SEC_037,PH4,HI1,155.12,156.641,HDN,2,130
SEC_038,HI1,ALI,156.641,160.343,HDN,2,130
SEC_039,ALI,AL1,160.343,163.907,HUN,2,160
SEC_040,AL1,KAU,163.907,164.871,HDN,2,130
SEC_041,KAU,PH5,164.871,165.787,HDN,4,160
SEC_042,PH5,GO3,165.787,165.87,HDN,4,110
SEC_043,GO3,DA1,165.87,171.002,HDN,3,160
SEC_044,DA1,DA2,171.002,177.838,HUN,4,110
SEC_045,DA2,SH2,177.838,184.499,HDN,2,110
SEC_046,SH2,SA2,184.499,192.567,HDN,2,110
SEC_047,SA2,AM2,192.567,193.198,HDN,2,130
SEC_048,AM2,MAN,193.198,194.173,HDN,3,160
SEC_049,MAN,CNB,194.173,200.0,HDN,2,160
