signal_id,signal_type,section_id,equivalent_km
SIG_SEC_001_0001,Starter,SEC_001,0.191
SIG_SEC_001_0002,Distant,SEC_001,3.055
SIG_SEC_001_0003,Point Machine,SEC_001,7.16
SIG_SEC_001_0004,Home,SEC_001,7.969
SIG_SEC_001_0005,Distant,SEC_001,8.25
SIG_SEC_002_0006,Starter,SEC_002,10.185
SIG_SEC_002_0007,Point Machine,SEC_002,11.133
SIG_SEC_002_0008,Starter,SEC_002,13.425
SIG_SEC_002_0009,Distant,SEC_002,13.568
SIG_SEC_003_0010,Point Machine,SEC_003,13.749
SIG_SEC_003_0011,Point Machine,SEC_003,14.922
SIG_SEC_003_0012,Starter,SEC_003,15.979
SIG_SEC_003_0013,Starter,SEC_003,17.474
SIG_SEC_003_0014,Home,SEC_003,17.856
SIG_SEC_004_0015,Home,SEC_004,23.377
SIG_SEC_004_0016,Axle Counter,SEC_004,25.232
SIG_SEC_004_0017,Axle Counter,SEC_004,25.251
SIG_SEC_004_0018,Point Machine,SEC_004,26.244
SIG_SEC_005_0019,Distant,SEC_005,26.51
SIG_SEC_005_0020,Home,SEC_005,26.528
SIG_SEC_006_0021,Point Machine,SEC_006,27.486
SIG_SEC_006_0022,Axle Counter,SEC_006,27.629
SIG_SEC_006_0023,Home,SEC_006,28.824
SIG_SEC_006_0024,Point Machine,SEC_006,28.992
SIG_SEC_006_0025,Distant,SEC_006,31.06
SIG_SEC_007_0026,Distant,SEC_007,34.965
SIG_SEC_007_0027,Point Machine,SEC_007,35.626
SIG_SEC_008_0028,Axle Counter,SEC_008,38.643
SIG_SEC_008_0029,Point Machine,SEC_008,38.79
SIG_SEC_008_0030,Starter,SEC_008,39.344
SIG_SEC_009_0031,Point Machine,SEC_009,39.954
SIG_SEC_009_0032,Starter,SEC_009,41.894
SIG_SEC_009_0033,Axle Counter,SEC_009,43.804
SIG_SEC_009_0034,Distant,SEC_009,44.387
SIG_SEC_010_0035,Axle Counter,SEC_010,45.959
SIG_SEC_010_0036,Distant,SEC_010,45.961
SIG_SEC_010_0037,Starter,SEC_010,45.976
SIG_SEC_010_0038,Home,SEC_010,45.981
SIG_SEC_010_0039,Axle Counter,SEC_010,45.984
SIG_SEC_011_0040,Distant,SEC_011,47.302
SIG_SEC_011_0041,Home,SEC_011,52.027
SIG_SEC_011_0042,Distant,SEC_011,52.418
SIG_SEC_012_0043,Axle Counter,SEC_012,58.255
SIG_SEC_012_0044,Point Machine,SEC_012,58.966
SIG_SEC_012_0045,Axle Counter,SEC_012,59.032
SIG_SEC_012_0046,Point Machine,SEC_012,59.718
SIG_SEC_012_0047,Starter,SEC_012,61.079
SIG_SEC_013_0048,Distant,SEC_013,62.918
SIG_SEC_013_0049,Home,SEC_013,63.612
SIG_SEC_013_0050,Point Machine,SEC_013,64.433
SIG_SEC_014_0051,Point Machine,SEC_014,68.229
SIG_SEC_014_0052,Point Machine,SEC_014,69.026
SIG_SEC_014_0053,Axle Counter,SEC_014,69.814
SIG_SEC_014_0054,Starter,SEC_014,71.044
SIG_SEC_015_0055,Starter,SEC_015,71.595
SIG_SEC_015_0056,Point Machine,SEC_015,73.635
SIG_SEC_015_0057,Axle Counter,SEC_015,73.894
SIG_SEC_015_0058,Starter,SEC_015,74.189
SIG_SEC_016_0059,Starter,SEC_016,74.372
SIG_SEC_016_0060,Axle Counter,SEC_016,74.394
SIG_SEC_016_0061,Point Machine,SEC_016,74.413
SIG_SEC_016_0062,Axle Counter,SEC_016,74.414
SIG_SEC_017_0063,Axle Counter,SEC_017,74.599
SIG_SEC_017_0064,Starter,SEC_017,74.865
SIG_SEC_017_0065,Axle Counter,SEC_017,75.578
SIG_SEC_017_0066,Axle Counter,SEC_017,76.958
SIG_SEC_018_0067,Starter,SEC_018,78.597
SIG_SEC_018_0068,Starter,SEC_018,81.778
SIG_SEC_018_0069,Axle Counter,SEC_018,83.178
SIG_SEC_018_0070,Distant,SEC_018,85.497
SIG_SEC_018_0071,Axle Counter,SEC_018,87.291
SIG_SEC_019_0072,Axle Counter,SEC_019,87.584
SIG_SEC_019_0073,Distant,SEC_019,87.588
SIG_SEC_019_0074,Home,SEC_019,87.688
SIG_SEC_020_0075,Point Machine,SEC_020,88.519
SIG_SEC_020_0076,Distant,SEC_020,88.541
SIG_SEC_020_0077,Home,SEC_020,88.568
SIG_SEC_020_0078,Axle Counter,SEC_020,88.59
SIG_SEC_020_0079,Distant,SEC_020,88.642
SIG_SEC_021_0080,Point Machine,SEC_021,88.852
SIG_SEC_021_0081,Axle Counter,SEC_021,89.944
SIG_SEC_022_0082,Point Machine,SEC_022,90.319
SIG_SEC_022_0083,Point Machine,SEC_022,91.484
SIG_SEC_022_0084,Distant,SEC_022,92.349
