segment_id,section_id,start_km,end_km,latitude_start,longitude_start,latitude_end,longitude_end
SEG_00001,SEC_001,0.0,1.158,28.643635,77.218989,28.630859,77.237297
SEG_00002,SEC_001,1.158,9.673,28.630859,77.237297,28.536916,77.371918
SEG_00003,SEC_002,9.673,10.021,28.536916,77.371918,28.532998,77.377306
SEG_00004,SEC_002,10.021,10.137,28.532998,77.377306,28.531692,77.379102
SEG_00005,SEC_002,10.137,11.332,28.531692,77.379102,28.518237,77.397603
SEG_00006,SEC_002,11.332,12.28,28.518237,77.397603,28.507564,77.412279
SEG_00007,SEC_002,12.28,13.636,28.507564,77.412279,28.492297,77.433273
SEG_00008,SEC_003,13.636,15.641,28.492297,77.433273,28.470506,77.465026
SEG_00009,SEC_003,15.641,17.671,28.470506,77.465026,28.448444,77.497176
SEG_00010,SEC_003,17.671,18.22,28.448444,77.497176,28.442477,77.50587
SEG_00011,SEC_003,18.22,19.036,28.442477,77.50587,28.433608,77.518794
SEG_00012,SEC_003,19.036,19.647,28.433608,77.518794,28.426968,77.52847
SEG_00013,SEC_004,19.647,20.706,28.426968,77.52847,28.415588,77.544833
SEG_00014,SEC_004,20.706,21.465,28.415588,77.544833,28.407431,77.556561
SEG_00015,SEC_004,21.465,21.76,28.407431,77.556561,28.404261,77.561119
SEG_00016,SEC_004,21.76,22.094,28.404261,77.561119,28.400672,77.56628
SEG_00017,SEC_004,22.094,26.366,28.400672,77.56628,28.354764,77.63229
SEG_00018,SEC_005,26.366,26.503,28.354764,77.63229,28.353466,77.633896
SEG_00019,SEC_005,26.503,26.523,28.353466,77.633896,28.353276,77.63413
SEG_00020,SEC_005,26.523,26.627,28.353276,77.63413,28.35229,77.635349
SEG_00021,SEC_005,26.627,26.701,28.35229,77.635349,28.351589,77.636216
SEG_00022,SEC_005,26.701,26.724,28.351589,77.636216,28.351371,77.636486
SEG_00023,SEC_006,26.724,29.392,28.351371,77.636486,28.322813,77.678169
SEG_00024,SEC_006,29.392,31.549,28.322813,77.678169,28.299724,77.711868
SEG_00025,SEC_007,31.549,34.171,28.299724,77.711868,28.271374,77.754047
SEG_00026,SEC_007,34.171,34.888,28.271374,77.754047,28.263622,77.765581
SEG_00027,SEC_007,34.888,36.985,28.263622,77.765581,28.240949,77.799314
SEG_00028,SEC_007,36.985,38.422,28.240949,77.799314,28.225412,77.82243
SEG_00029,SEC_007,38.422,38.515,28.225412,77.82243,28.224406,77.823926
SEG_00030,SEC_008,38.515,38.636,28.224406,77.823926,28.222786,77.825829
SEG_00031,SEC_008,38.636,39.249,28.222786,77.825829,28.21458,77.835468
SEG_00032,SEC_008,39.249,39.385,28.21458,77.835468,28.212759,77.837606
SEG_00033,SEC_008,39.385,39.488,28.212759,77.837606,28.21138,77.839226
SEG_00034,SEC_008,39.488,39.538,28.21138,77.839226,28.210711,77.840012
SEG_00035,SEC_009,39.538,39.617,28.210711,77.840012,28.209829,77.841225
SEG_00036,SEC_009,39.617,40.317,28.209829,77.841225,28.202014,77.851974
SEG_00037,SEC_009,40.317,43.297,28.202014,77.851974,28.168746,77.897732
SEG_00038,SEC_009,43.297,43.922,28.168746,77.897732,28.161769,77.907329
SEG_00039,SEC_009,43.922,45.928,28.161769,77.907329,28.139374,77.938131
SEG_00040,SEC_010,45.928,45.947,28.139374,77.938131,28.138832,77.938369
SEG_00041,SEC_010,45.947,45.958,28.138832,77.938369,28.138519,77.938507
SEG_00042,SEC_010,45.958,45.982,28.138519,77.938507,28.137835,77.938807
SEG_00043,SEC_010,45.982,45.993,28.137835,77.938807,28.137521,77.938945
SEG_00044,SEC_011,45.993,49.645,28.137521,77.938945,28.098278,77.996667
SEG_00045,SEC_011,49.645,51.343,28.098278,77.996667,28.080032,78.023505
SEG_00046,SEC_011,51.343,55.444,28.080032,78.023505,28.035964,78.088323
SEG_00047,SEC_011,55.444,57.102,28.035964,78.088323,28.018148,78.114529
SEG_00048,SEC_011,57.102,58.089,28.018148,78.114529,28.007542,78.130129
SEG_00049,SEC_012,58.089,58.615,28.007542,78.130129,28.001666,78.138079
SEG_00050,SEC_012,58.615,62.835,28.001666,78.138079,27.954524,78.201856
SEG_00051,SEC_012,62.835,62.849,27.954524,78.201856,27.954368,78.202068
SEG_00052,SEC_013,62.849,63.605,27.954368,78.202068,27.946207,78.213962
SEG_00053,SEC_013,63.605,65.513,27.946207,78.213962,27.92561,78.24398
SEG_00054,SEC_014,65.513,66.118,27.92561,78.24398,27.918968,78.253614
SEG_00055,SEC_014,66.118,69.296,27.918968,78.253614,27.884078,78.304219
SEG_00056,SEC_014,69.296,70.269,27.884078,78.304219,27.873396,78.319713
SEG_00057,SEC_014,70.269,71.191,27.873396,78.319713,27.863274,78.334394
SEG_00058,SEC_014,71.191,71.196,27.863274,78.334394,27.863219,78.334474
SEG_00059,SEC_015,71.196,71.481,27.863219,78.334474,27.860143,78.338841
SEG_00060,SEC_015,71.481,74.351,27.860143,78.338841,27.829162,78.382822
SEG_00061,SEC_016,74.351,74.353,27.829162,78.382822,27.829176,78.382865
SEG_00062,SEC_016,74.353,74.367,27.829176,78.382865,27.829275,78.383165
SEG_00063,SEC_016,74.367,74.411,27.829275,78.383165,27.829586,78.38411
SEG_00064,SEC_016,74.411,74.418,27.829586,78.38411,27.829635,78.38426
SEG_00065,SEC_017,74.418,75.073,27.829635,78.38426,27.822286,78.394481
SEG_00066,SEC_017,75.073,76.984,27.822286,78.394481,27.800847,78.424302
SEG_00067,SEC_017,76.984,77.721,27.800847,78.424302,27.792578,78.435803
SEG_00068,SEC_018,77.721,86.677,27.792578,78.435803,27.694277,78.576448
SEG_00069,SEC_018,86.677,87.556,27.694277,78.576448,27.684629,78.590252
SEG_00070,SEC_019,87.556,87.558,27.684629,78.590252,27.684602,78.59029
SEG_00071,SEC_019,87.558,87.568,27.684602,78.59029,27.684467,78.590477
SEG_00072,SEC_019,87.568,87.898,27.684467,78.590477,27.680009,78.596675
SEG_00073,SEC_020,87.898,87.944,27.680009,78.596675,27.679473,78.597328
SEG_00074,SEC_020,87.944,88.442,27.679473,78.597328,27.673668,78.604392
SEG_00075,SEC_020,88.442,88.618,27.673668,78.604392,27.671617,78.606889
SEG_00076,SEC_020,88.618,88.796,27.671617,78.606889,27.669542,78.609414
SEG_00077,SEC_021,88.796,88.875,27.669542,78.609414,27.668745,78.610682
SEG_00078,SEC_021,88.875,89.901,27.668745,78.610682,27.658401,78.627154
SEG_00079,SEC_021,89.901,89.968,27.658401,78.627154,27.657725,78.62823
SEG_00080,SEC_021,89.968,90.076,27.657725,78.62823,27.656636,78.629964
SEG_00081,SEC_021,90.076,90.176,27.656636,78.629964,27.655628,78.631569
SEG_00082,SEC_022,90.176,92.674,27.655628,78.631569,27.628623,78.66859
SEG_00083,SEC_022,92.674,93.411,27.628623,78.66859,27.620656,78.679512
SEG_00084,SEC_023,93.411,93.434,27.620656,78.679512,27.620479,78.679954
SEG_00085,SEC_023,93.434,93.481,27.620479,78.679954,27.620117,78.680857
SEG_00086,SEC_023,93.481,93.524,27.620117,78.680857,27.619786,78.681684
SEG_00087,SEC_023,93.524,93.881,27.619786,78.681684,27.617038,78.688546
SEG_00088,SEC_023,93.881,93.972,27.617038,78.688546,27.616338,78.690295
SEG_00089,SEC_024,93.972,94.587,27.616338,78.690295,27.608781,78.699521
SEG_00090,SEC_024,94.587,94.739,27.608781,78.699521,27.606913,78.701801
