crew_id,department,home_depot,shift_start,shift_end,headcount,is_available
CREW_0001,S&T,Aligarh Naya,22:00:00,06:00:00,10,True
CREW_0002,Engineering,Shujatpur Purani,08:00:00,16:00:00,11,True
CREW_0003,Engineering,Aligarh Naya,08:00:00,16:00:00,4,True
CREW_0004,Engineering,Etawah Stn-13,08:00:00,16:00:00,7,True
CREW_0005,Engineering,Dadri Stn-17,08:00:00,16:00:00,11,True
CREW_0006,S&T,Rura Khas,22:00:00,06:00:00,6,False
CREW_0007,Engineering,Manauri Stn-48,08:00:00,16:00:00,11,True
CREW_0008,S&T,Rura Khas,06:00:00,14:00:00,8,True
CREW_0009,Engineering,Jhinjhak North,06:00:00,14:00:00,6,True
CREW_0010,TRD,Shikohabad Stn-45,06:00:00,14:00:00,6,True
CREW_0011,TRD,Manauri Stn-48,22:00:00,06:00:00,9,True
CREW_0012,TRD,Dadri Stn-17,14:00:00,22:00:00,9,True
CREW_0013,TRD,Shikohabad Purani,22:00:00,06:00:00,7,True
CREW_0014,Engineering,Aligarh Naya,08:00:00,16:00:00,9,False
CREW_0015,S&T,Rura Khas,08:00:00,16:00:00,5,False
CREW_0016,Engineering,Etawah Stn-13,08:00:00,16:00:00,4,True
CREW_0017,Engineering,Rura Khas,08:00:00,16:00:00,6,True
CREW_0018,Engineering,Manauri Stn-48,22:00:00,06:00:00,4,True
CREW_0019,Engineering,Jhinjhak North,14:00:00,22:00:00,7,True
CREW_0020,Engineering,Shikohabad Purani,06:00:00,14:00:00,7,True
CREW_0021,Engineering,Dadri Stn-17,22:00:00,06:00:00,5,True
CREW_0022,S&T,Etawah Stn-13,06:00:00,14:00:00,6,True
CREW_0023,TRD,Dadri Stn-17,22:00:00,06:00:00,8,True
CREW_0024,Engineering,Shikohabad Purani,22:00:00,06:00:00,7,True
CREW_0025,Engineering,Shujatpur Purani,08:00:00,16:00:00,5,True
CREW_0026,S&T,Rura Khas,22:00:00,06:00:00,9,True
CREW_0027,Engineering,Shikohabad Stn-45,06:00:00,14:00:00,4,True
CREW_0028,Engineering,Rura Khas,22:00:00,06:00:00,4,True
CREW_0029,S&T,Dadri Stn-17,06:00:00,14:00:00,4,True
CREW_0030,TRD,Manauri Stn-48,08:00:00,16:00:00,4,True
CREW_0031,S&T,Dadri Stn-17,06:00:00,14:00:00,11,True
CREW_0032,Engineering,Shujatpur Purani,06:00:00,14:00:00,11,True
CREW_0033,S&T,Rura Khas,22:00:00,06:00:00,4,True
CREW_0034,Engineering,Shikohabad Stn-45,14:00:00,22:00:00,10,True
CREW_0035,Engineering,Manauri Stn-48,08:00:00,16:00:00,9,True
CREW_0036,Engineering,Shikohabad Stn-45,14:00:00,22:00:00,6,True
CREW_0037,Engineering,Rura Stn-26,14:00:00,22:00:00,10,True
CREW_0038,Engineering,Shujatpur Purani,06:00:00,14:00:00,11,True
CREW_0039,Engineering,Shujatpur Purani,06:00:00,14:00:00,9,True
CREW_0040,S&T,Rura Stn-26,06:00:00,14:00:00,11,True
CREW_0041,Engineering,Manauri Stn-48,22:00:00,06:00:00,8,True
CREW_0042,TRD,Manauri Stn-48,06:00:00,14:00:00,11,True
CREW_0043,S&T,Aligarh Naya,08:00:00,16:00:00,9,True
CREW_0044,Engineering,Etawah Stn-13,08:00:00,16:00:00,9,True
CREW_0045,Engineering,Etawah Stn-13,14:00:00,22:00:00,5,True
CREW_0046,Engineering,Shikohabad Purani,14:00:00,22:00:00,8,True
CREW_0047,Engineering,Shujatpur Purani,14:00:00,22:00:00,8,True
CREW_0048,TRD,Shujatpur Purani,14:00:00,22:00:00,11,True
