slot_id,section_id,window_start,window_end,passenger_traffic_density,is_blocked
SLOT_000001,SEC_005,2024-02-04 04:45:00,2024-02-04 06:45:00,0.2,False
SLOT_000002,SEC_038,2024-12-15 17:45:00,2024-12-15 20:45:00,0.94,True
SLOT_000003,SEC_033,2024-07-10 21:30:00,2024-07-10 23:00:00,0.53,True
SLOT_000004,SEC_022,2024-12-28 16:00:00,2024-12-28 17:00:00,0.74,True
SLOT_000005,SEC_022,2024-05-31 05:45:00,2024-05-31 06:00:00,0.42,False
SLOT_000006,SEC_043,2024-10-31 15:45:00,2024-10-31 17:15:00,0.49,False
SLOT_000007,SEC_005,2024-05-01 23:15:00,2024-05-02 02:15:00,0.47,False
SLOT_000008,SEC_035,2024-06-11 10:30:00,2024-06-11 10:45:00,0.65,False
SLOT_000009,SEC_010,2024-05-06 11:30:00,2024-05-06 12:00:00,0.53,False
SLOT_000010,SEC_005,2024-07-19 19:45:00,2024-07-19 21:15:00,0.83,False
SLOT_000011,SEC_026,2024-03-22 11:45:00,2024-03-22 13:15:00,0.66,False
SLOT_000012,SEC_048,2024-07-03 03:00:00,2024-07-03 04:00:00,0.19,True
SLOT_000013,SEC_037,2024-11-03 12:00:00,2024-11-03 12:15:00,0.37,False
SLOT_000014,SEC_038,2024-02-26 01:15:00,2024-02-26 02:15:00,0.25,True
SLOT_000015,SEC_036,2024-10-17 03:45:00,2024-10-17 05:15:00,0.4,True
SLOT_000016,SEC_039,2024-11-08 16:30:00,2024-11-08 17:00:00,0.61,False
SLOT_000017,SEC_026,2024-01-13 22:15:00,2024-01-13 23:45:00,0.46,True
SLOT_000018,SEC_007,2024-09-04 14:30:00,2024-09-04 17:30:00,0.57,False
SLOT_000019,SEC_042,2024-06-26 04:30:00,2024-06-26 04:45:00,0.33,False
SLOT_000020,SEC_023,2024-08-21 06:00:00,2024-08-21 06:15:00,0.64,True
SLOT_000021,SEC_025,2024-04-17 16:00:00,2024-04-17 17:30:00,0.69,False
SLOT_000022,SEC_019,2024-03-21 13:45:00,2024-03-21 15:45:00,0.23,False
SLOT_000023,SEC_009,2024-04-15 16:15:00,2024-04-15 16:30:00,0.5,True
SLOT_000024,SEC_046,2024-02-26 18:30:00,2024-02-26 21:30:00,0.77,True
SLOT_000025,SEC_039,2024-05-28 13:15:00,2024-05-28 14:15:00,0.26,False
SLOT_000026,SEC_032,2024-11-15 12:30:00,2024-11-15 12:45:00,0.13,False
SLOT_000027,SEC_020,2024-10-11 00:15:00,2024-10-11 01:15:00,0.46,True
SLOT_000028,SEC_041,2024-03-06 14:00:00,2024-03-06 15:00:00,0.7,True
SLOT_000029,SEC_027,2024-07-23 19:45:00,2024-07-23 20:45:00,0.78,True
SLOT_000030,SEC_022,2024-01-27 16:00:00,2024-01-27 17:30:00,0.53,False
SLOT_000031,SEC_023,2024-01-22 13:30:00,2024-01-22 14:00:00,0.34,False
SLOT_000032,SEC_012,2024-08-16 15:15:00,2024-08-16 18:15:00,0.63,False
SLOT_000033,SEC_005,2024-04-20 07:00:00,2024-04-20 07:30:00,0.85,True
SLOT_000034,SEC_028,2024-09-14 04:15:00,2024-09-14 07:15:00,0.22,False
SLOT_000035,SEC_044,2024-02-27 01:15:00,2024-02-27 03:15:00,0.2,False
SLOT_000036,SEC_004,2024-02-13 01:45:00,2024-02-13 02:45:00,0.16,False
SLOT_000037,SEC_043,2024-09-18 00:00:00,2024-09-18 00:30:00,0.57,True
SLOT_000038,SEC_041,2024-03-16 05:45:00,2024-03-16 08:45:00,0.72,True
SLOT_000039,SEC_014,2024-01-22 10:45:00,2024-01-22 12:15:00,0.48,True
SLOT_000040,SEC_031,2024-10-15 14:45:00,2024-10-15 15:15:00,0.53,True
SLOT_000041,SEC_009,2024-09-15 18:00:00,2024-09-15 18:15:00,0.79,False
SLOT_000042,SEC_038,2024-12-06 15:00:00,2024-12-06 16:00:00,0.47,False
SLOT_000043,SEC_035,2024-08-07 01:15:00,2024-08-07 02:45:00,0.41,False
SLOT_000044,SEC_018,2024-06-23 01:30:00,2024-06-23 03:00:00,0.43,False
SLOT_000045,SEC_004,2024-09-02 13:00:00,2024-09-02 13:15:00,0.34,False
SLOT_000046,SEC_048,2024-10-16 16:00:00,2024-10-16 18:00:00,0.41,False
SLOT_000047,SEC_022,2024-08-18 09:00:00,2024-08-18 09:30:00,0.96,True
SLOT_000048,SEC_044,2024-04-26 01:15:00,2024-04-26 01:45:00,0.35,False
SLOT_000049,SEC_034,2024-11-21 02:15:00,2024-11-21 04:15:00,0.32,True
SLOT_000050,SEC_039,2024-09-14 21:15:00,2024-09-14 23:15:00,0.74,False
SLOT_000051,SEC_038,2024-11-17 13:15:00,2024-11-17 15:15:00,0.42,False
SLOT_000052,SEC_010,2024-07-22 18:15:00,2024-07-22 18:30:00,0.96,True
SLOT_000053,SEC_018,2024-06-13 12:45:00,2024-06-13 13:45:00,0.29,True
SLOT_000054,SEC_023,2024-11-04 13:00:00,2024-11-04 13:30:00,0.27,True
SLOT_000055,SEC_025,2024-08-11 00:45:00,2024-08-11 02:15:00,0.51,True
SLOT_000056,SEC_003,2024-10-10 02:30:00,2024-10-10 05:30:00,0.31,True
SLOT_000057,SEC_027,2024-11-21 16:00:00,2024-11-21 16:15:00,0.66,True
SLOT_000058,SEC_008,2024-04-13 17:00:00,2024-04-13 18:30:00,0.98,True
SLOT_000059,SEC_037,2024-03-11 00:45:00,2024-03-11 01:45:00,0.54,False
SLOT_000060,SEC_034,2024-02-24 09:15:00,2024-02-24 10:15:00,0.91,False
SLOT_000061,SEC_046,2024-08-07 11:15:00,2024-08-07 14:15:00,0.41,True
SLOT_000062,SEC_037,2024-10-22 23:45:00,2024-10-23 01:45:00,0.6,False
SLOT_000063,SEC_018,2024-12-23 06:15:00,2024-12-23 06:30:00,0.42,True
SLOT_000064,SEC_048,2024-01-13 10:00:00,2024-01-13 11:00:00,0.52,True
SLOT_000065,SEC_021,2024-01-01 10:00:00,2024-01-01 12:00:00,0.44,False
SLOT_000066,SEC_016,2024-09-05 11:30:00,2024-09-05 11:45:00,0.72,True
SLOT_000067,SEC_045,2024-04-08 18:30:00,2024-04-08 20:00:00,0.85,False
SLOT_000068,SEC_019,2024-06-23 19:30:00,2024-06-23 20:30:00,0.75,True
SLOT_000069,SEC_004,2024-01-29 11:30:00,2024-01-29 11:45:00,0.66,True
SLOT_000070,SEC_024,2024-01-28 20:30:00,2024-01-28 23:30:00,0.75,False
SLOT_000071,SEC_039,2024-07-12 17:45:00,2024-07-12 18:45:00,0.94,False
SLOT_000072,SEC_010,2024-09-09 00:45:00,2024-09-09 01:15:00,0.5,False
SLOT_000073,SEC_023,2024-11-20 09:00:00,2024-11-20 09:15:00,0.83,True
SLOT_000074,SEC_007,2024-06-25 06:30:00,2024-06-25 06:45:00,0.43,False
SLOT_000075,SEC_034,2024-08-24 22:45:00,2024-08-24 23:15:00,0.74,True
SLOT_000076,SEC_024,2024-11-10 08:45:00,2024-11-10 10:45:00,0.78,True
SLOT_000077,SEC_017,2024-06-07 17:45:00,2024-06-07 18:15:00,0.73,False
SLOT_000078,SEC_012,2024-03-17 05:45:00,2024-03-17 06:45:00,0.59,True
SLOT_000079,SEC_028,2024-10-29 22:45:00,2024-10-30 00:15:00,0.65,True
SLOT_000080,SEC_033,2024-01-01 06:15:00,2024-01-01 07:15:00,0.55,False
SLOT_000081,SEC_047,2024-04-11 17:45:00,2024-04-11 18:45:00,0.85,True
SLOT_000082,SEC_022,2024-02-17 19:30:00,2024-02-17 20:30:00,0.83,True
SLOT_000083,SEC_008,2024-08-23 20:45:00,2024-08-23 23:45:00,0.98,True
SLOT_000084,SEC_041,2024-04-08 12:45:00,2024-04-08 15:45:00,0.19,True
SLOT_000085,SEC_031,2024-05-06 09:30:00,2024-05-06 10:00:00,0.84,True
SLOT_000086,SEC_035,2024-08-26 05:00:00,2024-08-26 05:30:00,0.57,False
SLOT_000087,SEC_005,2024-04-18 16:30:00,2024-04-18 17:30:00,0.5,False
SLOT_000088,SEC_016,2024-05-12 14:30:00,2024-05-12 15:00:00,0.59,False
SLOT_000089,SEC_038,2024-07-01 16:15:00,2024-07-01 17:45:00,0.52,True
SLOT_000090,SEC_041,2024-02-13 19:00:00,2024-02-13 20:30:00,0.85,False
SLOT_000091,SEC_022,2024-12-08 19:45:00,2024-12-08 20:45:00,0.85,True
SLOT_000092,SEC_040,2024-12-25 12:45:00,2024-12-25 13:45:00,0.44,False
SLOT_000093,SEC_042,2024-09-17 05:00:00,2024-09-17 08:00:00,0.62,False
SLOT_000094,SEC_019,2024-02-09 05:00:00,2024-02-09 05:15:00,0.53,True
SLOT_000095,SEC_045,2024-06-21 13:15:00,2024-06-21 15:15:00,0.25,True
SLOT_000096,SEC_015,2024-05-09 14:15:00,2024-05-09 15:45:00,0.47,False
SLOT_000097,SEC_012,2024-03-01 10:00:00,2024-03-01 12:00:00,0.58,True
SLOT_000098,SEC_034,2024-11-16 11:15:00,2024-11-16 12:45:00,0.54,False
SLOT_000099,SEC_032,2024-05-31 23:30:00,2024-06-01 01:30:00,0.42,False
SLOT_000100,SEC_007,2024-08-26 00:30:00,2024-08-26 02:00:00,0.44,True
SLOT_000101,SEC_041,2024-09-09 10:00:00,2024-09-09 12:00:00,0.6,True
SLOT_000102,SEC_010,2024-04-27 23:00:00,2024-04-28 00:00:00,0.63,True
SLOT_000103,SEC_040,2024-05-07 13:45:00,2024-05-07 16:45:00,0.42,False
SLOT_000104,SEC_001,2024-12-21 15:15:00,2024-12-21 15:45:00,0.42,True
SLOT_000105,SEC_040,2024-10-28 19:45:00,2024-10-28 21:45:00,0.73,True
SLOT_000106,SEC_039,2024-07-02 16:30:00,2024-07-02 17:00:00,0.62,True
SLOT_000107,SEC_039,2024-07-14 15:00:00,2024-07-14 17:00:00,0.42,True
SLOT_000108,SEC_033,2024-01-03 07:15:00,2024-01-03 10:15:00,0.73,True
SLOT_000109,SEC_024,2024-03-15 10:45:00,2024-03-15 11:15:00,0.42,False
SLOT_000110,SEC_035,2024-01-03 23:15:00,2024-01-04 00:45:00,0.54,False
SLOT_000111,SEC_014,2024-10-21 05:30:00,2024-10-21 07:00:00,0.41,False
SLOT_000112,SEC_039,2024-12-10 08:30:00,2024-12-10 09:30:00,0.92,True
SLOT_000113,SEC_028,2024-02-29 04:15:00,2024-02-29 04:45:00,0.42,False
SLOT_000114,SEC_023,2024-04-12 23:30:00,2024-04-13 01:00:00,0.63,False
SLOT_000115,SEC_025,2024-05-08 08:45:00,2024-05-08 10:45:00,0.76,False
SLOT_000116,SEC_028,2024-10-24 21:00:00,2024-10-24 22:00:00,0.57,False
SLOT_000117,SEC_002,2024-05-29 14:30:00,2024-05-29 15:30:00,0.57,False
SLOT_000118,SEC_007,2024-01-16 13:00:00,2024-01-16 16:00:00,0.25,False
SLOT_000119,SEC_013,2024-08-02 12:30:00,2024-08-02 14:30:00,0.23,False
