section_id,forecast_date,expected_rakes,commodity_type,seasonal_factor
SEC_005,2024-03-25,3,Coal,1.05
SEC_038,2024-05-07,11,Steel,1.0
SEC_033,2024-11-11,10,Cement,1.19
SEC_022,2024-02-07,5,Foodgrain,1.13
SEC_022,2024-02-09,4,Coal,1.18
SEC_043,2024-04-20,4,Other,1.07
SEC_005,2024-08-08,6,Coal,0.75
SEC_035,2024-10-22,17,Coal,1.38
SEC_010,2024-07-24,8,Steel,0.73
SEC_005,2024-06-29,11,Coal,0.84
SEC_026,2024-11-14,5,Foodgrain,1.37
SEC_048,2024-03-03,9,Foodgrain,1.47
SEC_037,2024-11-26,8,Other,1.27
SEC_038,2024-04-24,4,Coal,1.1
SEC_036,2024-04-11,5,Steel,1.09
SEC_039,2024-12-15,3,Cement,1.14
SEC_026,2024-08-24,3,Cement,0.9
SEC_007,2024-06-07,7,Steel,0.8
SEC_042,2024-04-30,8,Other,0.98
SEC_023,2024-06-10,6,Other,0.8
SEC_025,2024-10-16,3,Cement,1.33
SEC_019,2024-02-26,8,Cement,1.18
SEC_009,2024-03-04,17,Foodgrain,1.32
SEC_046,2024-04-21,14,Foodgrain,1.3
SEC_039,2024-06-25,8,Foodgrain,0.83
SEC_032,2024-10-25,16,Other,1.34
SEC_020,2024-03-18,6,Coal,0.97
SEC_041,2024-10-14,14,Coal,1.17
SEC_027,2024-11-28,13,Foodgrain,1.17
SEC_022,2024-06-08,9,Foodgrain,0.74
SEC_023,2024-12-17,16,Coal,1.14
SEC_012,2024-11-23,17,Cement,1.2
SEC_005,2024-10-18,12,Coal,1.35
SEC_028,2024-05-19,9,Steel,1.01
SEC_044,2024-04-20,18,Foodgrain,1.39
SEC_004,2024-11-12,10,Coal,1.36
SEC_043,2024-06-10,2,Cement,0.86
SEC_041,2024-01-12,7,Foodgrain,1.19
SEC_014,2024-09-19,12,Foodgrain,1.03
SEC_031,2024-05-07,11,Foodgrain,0.96
SEC_009,2024-12-08,16,Cement,1.12
SEC_038,2024-11-08,8,Cement,1.3
SEC_035,2024-02-08,5,Cement,1.09
SEC_018,2024-11-25,11,Steel,1.39
SEC_004,2024-12-13,4,Cement,1.06
SEC_048,2024-10-03,9,Coal,1.18
SEC_022,2024-04-10,5,Coal,1.04
SEC_044,2024-09-02,5,Other,1.09
SEC_034,2024-11-13,14,Coal,1.23
SEC_039,2024-10-25,16,Coal,1.15
SEC_038,2024-06-06,3,Steel,0.87
SEC_010,2024-09-15,5,Other,0.98
SEC_018,2024-05-21,14,Other,1.08
SEC_023,2024-04-03,5,Cement,1.04
SEC_025,2024-09-03,11,Coal,1.06
SEC_003,2024-06-19,5,Cement,0.72
SEC_027,2024-03-23,14,Other,1.09
SEC_008,2024-08-29,9,Steel,0.88
SEC_037,2024-04-27,3,Steel,1.07
SEC_034,2024-08-03,10,Other,0.82
SEC_046,2024-05-12,10,Coal,0.95
SEC_037,2024-11-19,18,Other,1.36
SEC_018,2024-11-07,7,Foodgrain,1.33
SEC_048,2024-06-22,10,Cement,0.74
SEC_021,2024-09-17,8,Steel,0.99
SEC_016,2024-03-06,4,Cement,1.05
SEC_045,2024-12-31,11,Other,1.14
SEC_019,2024-03-19,4,Foodgrain,1.42
SEC_004,2024-11-13,2,Steel,1.23
SEC_024,2024-11-05,10,Coal,1.22
SEC_039,2024-03-06,11,Other,0.97
SEC_010,2024-01-04,8,Other,1.1
SEC_023,2024-09-26,3,Cement,1.01
SEC_007,2024-11-14,8,Coal,1.39
SEC_034,2024-09-19,7,Other,0.98
SEC_024,2024-01-21,6,Foodgrain,1.21
SEC_017,2024-08-24,6,Steel,0.76
SEC_012,2024-05-23,8,Steel,1.06
SEC_028,2024-12-01,4,Other,1.05
SEC_033,2024-10-19,18,Cement,1.27
SEC_047,2024-10-19,12,Foodgrain,1.34
SEC_022,2024-05-29,14,Cement,1.08
SEC_008,2024-04-27,3,Other,0.98
SEC_041,2024-10-27,11,Cement,1.25
SEC_031,2024-02-12,14,Steel,1.16
SEC_035,2024-02-06,13,Coal,1.12
SEC_005,2024-01-23,14,Coal,1.15
SEC_016,2024-07-06,7,Steel,0.75
SEC_038,2024-01-28,13,Cement,1.17
SEC_041,2024-08-01,2,Coal,0.82
SEC_022,2024-03-02,3,Coal,0.97
SEC_040,2024-11-22,14,Other,1.2
SEC_042,2024-06-07,6,Foodgrain,0.83
SEC_019,2024-02-04,10,Coal,1.14
SEC_045,2024-09-10,12,Other,1.05
SEC_015,2024-05-03,13,Other,0.97
SEC_012,2024-04-05,10,Foodgrain,1.44
SEC_034,2024-08-29,6,Coal,0.83
SEC_032,2024-12-15,14,Cement,1.23
SEC_007,2024-12-24,11,Other,1.08
SEC_041,2024-06-08,4,Other,0.78
SEC_010,2024-11-06,11,Foodgrain,1.18
SEC_040,2024-03-17,10,Other,1.05
SEC_001,2024-11-05,15,Other,1.34
SEC_040,2024-12-10,6,Coal,1.07
SEC_039,2024-07-08,8,Cement,0.77
SEC_039,2024-07-10,10,Cement,0.74
SEC_033,2024-07-25,6,Cement,0.81
SEC_024,2024-01-27,7,Foodgrain,1.14
SEC_035,2024-11-10,14,Cement,1.19
SEC_014,2024-09-26,13,Foodgrain,1.01
SEC_039,2024-11-14,6,Steel,1.16
SEC_028,2024-02-12,6,Foodgrain,1.12
SEC_023,2024-10-20,14,Other,1.28
SEC_025,2024-05-12,9,Other,1.01
SEC_028,2024-10-26,10,Cement,1.23
SEC_002,2024-12-29,12,Steel,1.07
SEC_007,2024-11-17,12,Steel,1.35
SEC_013,2024-12-01,13,Steel,1.21
SEC_006,2024-02-11,6,Steel,1.14
SEC_022,2024-04-30,13,Other,1.03
SEC_033,2024-04-17,16,Foodgrain,1.34
SEC_033,2024-07-07,5,Steel,0.73
SEC_024,2024-12-23,15,Other,1.08
SEC_042,2024-09-08,8,Steel,1.1
SEC_028,2024-07-18,7,Cement,0.8
SEC_004,2024-10-21,17,Cement,1.2
SEC_038,2024-03-05,13,Steel,0.98
SEC_029,2024-08-29,8,Other,0.78
SEC_032,2024-07-03,1,Cement,0.7
SEC_028,2024-03-15,6,Other,1.06
SEC_028,2024-08-24,3,Coal,0.82
SEC_005,2024-11-03,4,Steel,1.33
SEC_028,2024-10-30,10,Steel,1.31
SEC_039,2024-11-04,6,Cement,1.21
SEC_015,2024-10-24,14,Other,1.2
SEC_030,2024-06-20,8,Coal,0.82
SEC_002,2024-01-19,15,Coal,1.21
SEC_018,2024-12-19,4,Cement,1.06
SEC_022,2024-06-14,5,Steel,0.87
SEC_049,2024-08-19,5,Cement,0.87
SEC_011,2024-01-08,11,Coal,1.07
SEC_014,2024-11-21,14,Foodgrain,1.25
SEC_021,2024-11-21,17,Coal,1.18
SEC_049,2024-12-05,6,Other,1.21
SEC_042,2024-03-04,7,Coal,1.06
SEC_002,2024-11-04,12,Coal,1.16
SEC_012,2024-08-16,2,Coal,0.76
SEC_041,2024-02-23,17,Steel,1.22
SEC_003,2024-07-27,8,Foodgrain,0.82
SEC_042,2024-06-23,12,Cement,0.9
SEC_014,2024-08-16,5,Other,0.87
SEC_045,2024-01-31,2,Other,1.07
SEC_015,2024-07-25,3,Coal,0.8
SEC_022,2024-09-04,8,Foodgrain,1.09
SEC_033,2024-09-18,11,Other,0.97
SEC_007,2024-10-08,19,Coal,1.39
SEC_028,2024-08-17,9,Cement,0.85
SEC_025,2024-09-13,13,Foodgrain,1.03
SEC_039,2024-02-03,7,Coal,1.07
SEC_049,2024-10-19,9,Coal,1.3
SEC_033,2024-05-14,3,Steel,1.04
SEC_021,2024-07-19,5,Coal,0.81
SEC_020,2024-07-19,8,Coal,0.87
SEC_021,2024-12-23,3,Foodgrain,1.13
SEC_040,2024-04-29,7,Cement,0.96
SEC_016,2024-05-20,6,Foodgrain,0.99
SEC_009,2024-10-05,4,Cement,1.19
SEC_017,2024-08-20,9,Coal,0.79
SEC_002,2024-04-26,8,Steel,1.09
SEC_006,2024-05-06,9,Cement,0.97
SEC_005,2024-10-30,4,Coal,1.34
SEC_038,2024-11-01,10,Foodgrain,1.16
SEC_036,2024-02-23,12,Coal,1.2
SEC_035,2024-05-26,5,Foodgrain,1.04
SEC_023,2024-10-08,6,Cement,1.18
SEC_036,2024-02-13,12,Other,1.25
SEC_008,2024-03-08,14,Coal,1.06
SEC_045,2024-02-28,4,Foodgrain,1.09
SEC_025,2024-07-12,6,Foodgrain,0.84
SEC_046,2024-06-14,7,Coal,0.72
SEC_008,2024-04-27,15,Cement,1.09
SEC_025,2024-02-19,4,Coal,1.08
SEC_035,2024-08-21,3,Cement,0.77
SEC_025,2024-10-22,15,Steel,1.26
SEC_022,2024-03-18,7,Coal,1.05
SEC_009,2024-08-31,8,Coal,0.79
SEC_019,2024-10-18,5,Foodgrain,1.22
SEC_012,2024-07-22,4,Steel,0.78
