train_number,train_type,section_id,scheduled_departure,scheduled_arrival,priority_class,day_of_week
22367,Freight,SEC_005,00:17:33,00:45:33,Goods,Monday
22441,Freight,SEC_038,04:51:19,05:08:19,Goods,Sunday
22285,Passenger,SEC_033,08:28:40,08:39:40,Mail Passenger,Thursday
22207,Freight,SEC_022,13:15:13,13:42:13,Goods,Sunday
12002,Express,SEC_022,16:15:33,16:23:33,Superfast,Wednesday
12306,Express,SEC_043,10:43:03,10:52:03,Rajdhani,Saturday
12454,Freight,SEC_005,11:42:46,12:02:46,Goods,Wednesday
12070,Freight,SEC_035,22:57:52,23:18:52,Goods,Thursday
12122,Freight,SEC_010,11:58:37,12:24:37,Goods,Wednesday
22263,Freight,SEC_005,01:06:17,01:25:17,Goods,Thursday
12266,Express,SEC_026,23:12:04,23:19:04,Rajdhani,Tuesday
22211,Express,SEC_048,19:50:30,19:55:30,Rajdhani,Thursday
22073,Passenger,SEC_037,05:37:57,05:49:57,Mail Passenger,Saturday
22241,Express,SEC_038,07:29:14,07:38:14,Rajdhani,Tuesday
22251,Passenger,SEC_036,21:42:16,21:54:16,Mail Passenger,Saturday
12092,Passenger,SEC_039,19:01:50,19:19:50,Mail Passenger,Saturday
12304,Freight,SEC_026,12:45:45,13:05:45,Goods,Monday
22433,Freight,SEC_007,13:17:13,13:36:13,Goods,Friday
22043,Express,SEC_042,19:04:33,19:10:33,Superfast,Thursday
22039,Passenger,SEC_023,17:43:55,17:53:55,Mail Passenger,Friday
22283,Passenger,SEC_025,08:11:19,08:23:19,Mail Passenger,Wednesday
12390,Express,SEC_019,20:48:00,20:55:00,Superfast,Tuesday
22051,Express,SEC_009,17:51:33,18:00:33,Rajdhani,Wednesday
12472,Passenger,SEC_046,18:16:00,18:32:00,Mail Passenger,Tuesday
12238,Passenger,SEC_039,08:33:01,08:49:01,Mail Passenger,Wednesday
22053,Express,SEC_032,01:22:29,01:29:29,Superfast,Sunday
22223,Freight,SEC_020,00:59:12,01:16:12,Goods,Saturday
12216,Express,SEC_041,17:16:12,17:26:12,Rajdhani,Tuesday
22195,Freight,SEC_027,12:06:25,12:33:25,Goods,Thursday
12292,Express,SEC_022,16:21:49,16:26:49,Superfast,Monday
22123,Express,SEC_023,15:05:42,15:11:42,Superfast,Monday
